osmid,ref,highway,oneway,reversed,length,name,geometry,lanes,maxspeed,tunnel
437727906,St 2384,secondary,False,True,131.347,,"LINESTRING (10.7245588 48.872044, 10.7250369 48.8709054)",,,
31006831,,residential,False,True,62.91,Riesblick,"LINESTRING (10.7245588 48.872044, 10.7246525 48.8720383, 10.7247573 48.871978, 10.7249348 48.8718572, 10.725193 48.8716816)",,,
43706406,St 2384,secondary,False,False,52.644000000000005,,"LINESTRING (10.7245588 48.872044, 10.7244567 48.8723002, 10.7243801 48.8725026)",,,
4066070,St 2214,secondary,False,False,31.198,Bahnhofstraße,"LINESTRING (10.7221568 48.8724327, 10.7217413 48.8724962)",2,50,
4765522,,residential,False,False,56.485,Nördlinger Straße,"LINESTRING (10.7221568 48.8724327, 10.7221708 48.8725298, 10.722184 48.8726512, 10.7222018 48.8729397)",,30,
43706405,St 2214,secondary,False,True,166.17,Kapuzinergraben,"LINESTRING (10.7221568 48.8724327, 10.7225954 48.8723705, 10.7227433 48.8723616, 10.7227949 48.8723585, 10.723015 48.8723451, 10.7234263 48.8723511, 10.7237584 48.8723677, 10.7239808 48.8723958, 10.7243801 48.8725026)",2,50,
47433240,,residential,False,True,5.142,,"LINESTRING (10.7224217 48.8732799, 10.7223559 48.8732636)",,30,
28769896,,residential,True,False,101.49199999999999,Langgasse,"LINESTRING (10.7224217 48.8732799, 10.7227164 48.8732938, 10.7228003 48.8732963, 10.7230081 48.8733113, 10.7232243 48.8733335, 10.7234346 48.8733669, 10.7237833 48.8734357)",,30,
39247393,,residential,False,False,7.261,Langgasse,"LINESTRING (10.7237833 48.8734357, 10.7238772 48.8734569)",,,
28769898,,residential,True,False,106.247,Wolfgangstraße,"LINESTRING (10.7237833 48.8734357, 10.7237267 48.8737031, 10.7237114 48.8737887, 10.7237095 48.8738047, 10.7236781 48.8740685, 10.7236403 48.8743862)",,30,
28769517,,residential,False,False,9.957,Marktplatz,"LINESTRING (10.7236403 48.8743862, 10.7236445 48.8744757)",,30,
4765523,,residential,True,False,76.633,Weissenbachstraße,"LINESTRING (10.7236403 48.8743862, 10.7232883 48.8743546, 10.7228133 48.874319, 10.7225989 48.8743231)",,30,
154319980,,residential,False,False,5.857,Wallfahrtstraße,"LINESTRING (10.7237616 48.8747426, 10.723733 48.8746934)",,30,
43705699,,residential,False,False,45.049,Marktplatz,"LINESTRING (10.7237616 48.8747426, 10.7239973 48.8747057, 10.7242233 48.8746551, 10.7243497 48.874624)",,30,
47441810,,residential,False,True,58.007,Wallfahrtstraße,"LINESTRING (10.7237616 48.8747426, 10.7238111 48.8749497, 10.7238176 48.8752617)",,30,
