osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,width
"[72839289, 35551011, 1174521609]",True,"['2', '1']",B 87,Neue Straße,primary,False,216.42299999999997,"LINESTRING (11.559876 51.1234326, 11.5598083 51.1234217, 11.5596747 51.1233934, 11.5595091 51.1233631, 11.5593572 51.1233543, 11.5591022 51.1233403, 11.5590133 51.1233354, 11.5586877 51.1233176, 11.5583062 51.1232822, 11.5580888 51.1232625, 11.5579776 51.1232487, 11.5577619 51.123208, 11.5574792 51.1231558, 11.5573315 51.1231249, 11.5572234 51.1230909, 11.5570564 51.1230064, 11.5570127 51.1229651, 11.5569789 51.1229166)",,
23001734,False,3,B 87,,primary,False,38.501999999999995,"LINESTRING (11.5641128 51.1217297, 11.5643498 51.1216587, 11.5644327 51.1216339, 11.564607 51.121576)",50,
886509706,True,1,B 87,,primary,False,45.659000000000006,"LINESTRING (11.5641128 51.1217297, 11.5640131 51.1218034, 11.5638394 51.1219046, 11.5636793 51.1220357)",,
23001734,False,3,B 87,,primary,True,38.501999999999995,"LINESTRING (11.564607 51.121576, 11.5644327 51.1216339, 11.5643498 51.1216587, 11.5641128 51.1217297)",50,
35549895,False,2,B 250,Bibraer Straße,primary,True,324.8850000000001,"LINESTRING (11.564607 51.121576, 11.5647054 51.1216554, 11.5647413 51.121685, 11.5647742 51.1217224, 11.5648108 51.1217758, 11.5648255 51.1218365, 11.5648217 51.1219, 11.5648045 51.1219715, 11.5647677 51.122045, 11.5646806 51.1221833, 11.5645659 51.1223498, 11.5644379 51.1225259, 11.5642334 51.1227718, 11.5640111 51.123012, 11.5636815 51.1233668, 11.5636085 51.1234454, 11.5635245 51.1235485, 11.5634747 51.1236306, 11.5634501 51.1236876, 11.5634321 51.1237442, 11.5634258 51.1238103, 11.5634336 51.1238574, 11.5634578 51.1239019, 11.5634942 51.1239663, 11.5635469 51.1240221, 11.5636574 51.1241306, 11.5637191 51.1242066)",,
"[1174521608, 35551010, 1174521607]",False,2,B 87,Hauptstraße,primary,True,303.19,"LINESTRING (11.5563611 51.119827, 11.5561662 51.1199969, 11.5560022 51.1201399, 11.5559307 51.1202033, 11.555787 51.1203325, 11.5557133 51.1204172, 11.5556298 51.1205557, 11.5555868 51.1206556, 11.5555282 51.1208149, 11.5554851 51.1209412, 11.5554789 51.1210663, 11.5555755 51.1214322, 11.5556407 51.1216817, 11.5557051 51.1219246, 11.5557442 51.1220711, 11.5557741 51.1221799, 11.5558038 51.1222667, 11.5558588 51.122384)",50,
49787071,False,,,Oberer Heideweg,residential,True,93.90200000000002,"LINESTRING (11.553471 51.1215493, 11.5539664 51.1212938, 11.5540752 51.1212397, 11.5541875 51.1212069, 11.5542889 51.1211811, 11.5544041 51.1211626, 11.5544938 51.1211527, 11.5546149 51.1211427)",,4
167523002,False,,,,residential,True,32.013999999999996,"LINESTRING (11.553471 51.1215493, 11.5536411 51.1215555, 11.5537867 51.1215222, 11.5539086 51.1214883)",,
34256236,False,,,,tertiary,False,20.666,"LINESTRING (11.5637191 51.1242066, 11.5640144 51.1242204)",,
35549895,False,2,B 250,Bibraer Straße,primary,False,324.88499999999993,"LINESTRING (11.5637191 51.1242066, 11.5636574 51.1241306, 11.5635469 51.1240221, 11.5634942 51.1239663, 11.5634578 51.1239019, 11.5634336 51.1238574, 11.5634258 51.1238103, 11.5634321 51.1237442, 11.5634501 51.1236876, 11.5634747 51.1236306, 11.5635245 51.1235485, 11.5636085 51.1234454, 11.5636815 51.1233668, 11.5640111 51.123012, 11.5642334 51.1227718, 11.5644379 51.1225259, 11.5645659 51.1223498, 11.5646806 51.1221833, 11.5647677 51.122045, 11.5648045 51.1219715, 11.5648217 51.1219, 11.5648255 51.1218365, 11.5648108 51.1217758, 11.5647742 51.1217224, 11.5647413 51.121685, 11.5647054 51.1216554, 11.564607 51.121576)",,
