osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,access
756877087,3,B 478,Brölstraße,primary,50,False,True,5.102,"LINESTRING (7.613454 50.8737215, 7.6133884 50.8737017)",,,
52436344,3,B 256,Kaiserstraße,primary,50,False,False,36.111000000000004,"LINESTRING (7.613454 50.8737215, 7.6137651 50.8738451, 7.6138639 50.8739138)",,,
1072211254,2,,Bahnhofstraße,tertiary,,False,False,60.67,"LINESTRING (7.6191811 50.8795426, 7.6189638 50.8793595, 7.6186698 50.8791026)",,,
1072211256,1,,,tertiary,,True,False,13.815999999999999,"LINESTRING (7.6191811 50.8795426, 7.6192233 50.8795266, 7.6192709 50.8795187, 7.6193201 50.8795195, 7.619367 50.879529)",roundabout,,
9683800,2,,Friedenstraße,tertiary,50,False,True,125.436,"LINESTRING (7.619367 50.879529, 7.619839 50.8790235, 7.6203136 50.8785725)",,,
1072211257,1,,,tertiary,,True,False,16.572000000000003,"LINESTRING (7.619367 50.879529, 7.619415 50.8795508, 7.6194486 50.8795814, 7.619464 50.8796174, 7.6194594 50.8796545)",roundabout,,
55284355,2,B 256,Kaiserstraße,primary,50,False,False,7.594,"LINESTRING (7.6209534 50.8780208, 7.6210429 50.8780592)",,,
9683800,2,,Friedenstraße,tertiary,50,False,False,76.01599999999999,"LINESTRING (7.6209534 50.8780208, 7.6208528 50.8781058, 7.6203136 50.8785725)",,,
217319739,,,Heinrich-Heine-Straße,residential,30,False,False,80.633,"LINESTRING (7.6095818 50.8773404, 7.6103969 50.8768292)",,,
1078379913,,,Höhenweg,residential,30,False,True,97.365,"LINESTRING (7.6095818 50.8773404, 7.6106378 50.8779085)",,,
"[58977789, 635014652, 217112749]",1,B 256,Kaiserstraße,primary,30,True,False,112.312,"LINESTRING (7.6152658 50.8754107, 7.615525 50.8755367, 7.6156758 50.8755969, 7.6158771 50.8756619, 7.6164408 50.8758439, 7.616639 50.8759244)",,,
"[607179140, 24927580]",,,Querstraße,residential,,True,False,96.336,"LINESTRING (7.6152658 50.8754107, 7.6153207 50.8753742, 7.6154354 50.8752692, 7.615489 50.8751983, 7.6155245 50.8750079, 7.6155706 50.8749261, 7.6156644 50.8748493, 7.6159276 50.8746838)",,,
530420905,1,B 256,Kaiserstraße,primary,50,True,False,34.658,"LINESTRING (7.6145843 50.8746773, 7.6146506 50.8747755, 7.6146919 50.87488, 7.6147155 50.8749761)",,,
24927425,,,Höhenweg,residential,30,False,False,121.592,"LINESTRING (7.6134352 50.879185, 7.6132242 50.8791197, 7.6125946 50.8788725, 7.6123147 50.87877, 7.6119796 50.8785971)",,,
"[29069608, 1080273505]",,,Höhenweg,residential,,False,True,111.79599999999999,"LINESTRING (7.6134352 50.879185, 7.6141677 50.8793927, 7.6144104 50.8794614, 7.6148911 50.8795936)",,,
79704854,,,Ritter-Huhn-Straße,residential,,False,False,142.00000000000003,"LINESTRING (7.6134352 50.879185, 7.6136503 50.8789238, 7.6140716 50.8786077, 7.6143435 50.8784788, 7.6145302 50.8784207, 7.6147674 50.8784026, 7.6148408 50.8783462)",,,
24927425,,,Höhenweg,residential,30,False,True,121.349,"LINESTRING (7.6106378 50.8779085, 7.6119796 50.8785971)",,,
1078379913,,,Höhenweg,residential,30,False,False,97.365,"LINESTRING (7.6106378 50.8779085, 7.6095818 50.8773404)",,,
24927440,,,Kalkberg,residential,30,False,False,55.648,"LINESTRING (7.6106378 50.8779085, 7.6107087 50.8778642, 7.6108644 50.8776969, 7.6111455 50.8775301)",,,
"[24927440, 1078379727]",,,Kalkberg,residential,30,False,False,115.497,"LINESTRING (7.6122686 50.8768707, 7.6121807 50.8767171, 7.6121203 50.876632, 7.6120636 50.8765771, 7.611958 50.876499, 7.6118921 50.8764162, 7.6118305 50.8762449, 7.6118332 50.8761908, 7.6118718 50.8761608, 7.6119268 50.8761515, 7.6120008 50.8761637, 7.6120504 50.8761992, 7.6120931 50.8762149, 7.6121457 50.8762076, 7.6122167 50.8761737)",,,
24927440,,,Kalkberg,residential,30,False,True,53.816,"LINESTRING (7.6122686 50.8768707, 7.6120584 50.8769357, 7.6119773 50.8769863, 7.6116797 50.8771723)",,,
79704938,,,Dechant-Wolter-Straße,residential,30,False,False,169.69,"LINESTRING (7.6122686 50.8768707, 7.6124056 50.8768564, 7.6129415 50.8769356, 7.6133786 50.8770159, 7.6139133 50.8771637, 7.6140513 50.8771777, 7.6141439 50.877128, 7.6142856 50.8769933, 7.6144009 50.8769122)",,,
"[48768706, 144079507]",2,,Brölbahnstraße,residential,50,False,False,65.494,"LINESTRING (7.6126271 50.8747445, 7.6125822 50.8747161, 7.612434 50.8746224, 7.6121651 50.8744356, 7.6119902 50.8743141)",,,
217112735,,,Brölbahnstraße,residential,50,True,False,75.06400000000001,"LINESTRING (7.6126271 50.8747445, 7.612792 50.8747897, 7.6129306 50.8748453, 7.6130786 50.8748955, 7.6133875 50.8749831, 7.6135755 50.8750541)",,,
24927481,,,Am Marktplatz,residential,,False,False,102.65299999999999,"LINESTRING (7.6138639 50.8739138, 7.6140207 50.8738733, 7.6142476 50.8738875, 7.6150383 50.873973, 7.6152887 50.8740244)",,,
"[52436344, 813143318]","['2', '3']",B 256,Kaiserstraße,primary,50,False,False,77.469,"LINESTRING (7.6138639 50.8739138, 7.6140008 50.874057, 7.6144092 50.8745195)",,,
52436344,3,B 256,Kaiserstraße,primary,50,False,True,36.111000000000004,"LINESTRING (7.6138639 50.8739138, 7.6137651 50.8738451, 7.613454 50.8737215)",,,
24927571,,,Alte Poststraße,residential,,True,False,87.827,"LINESTRING (7.6152887 50.8740244, 7.6145843 50.8746773)",,,
48770223,,,Hochstraße,residential,,False,False,12.189,"LINESTRING (7.6152887 50.8740244, 7.6154303 50.8740879)",,,
24927481,,,Am Marktplatz,residential,,False,True,102.65299999999999,"LINESTRING (7.6152887 50.8740244, 7.6150383 50.873973, 7.6142476 50.8738875, 7.6140207 50.8738733, 7.6138639 50.8739138)",,,
"[199027305, 1079963430]",,,"['Löher Weg', 'Gerberstraße']",residential,20,False,True,72.425,"LINESTRING (7.6152887 50.8740244, 7.6151868 50.8736953, 7.6150664 50.8735045, 7.6149618 50.8734157)",,,
472145808,,,Hochstraße,residential,20,True,False,75.119,"LINESTRING (7.6159276 50.8746838, 7.6156149 50.8742568, 7.6154303 50.8740879)",,,
"[1162967505, 24927501, 217125501]",1,,Wiedenhof,residential,"['20', '50']",False,False,79.212,"LINESTRING (7.6181183 50.8759014, 7.6182179 50.8758344, 7.6183553 50.8757081, 7.6184298 50.8756362, 7.6184592 50.8756087, 7.6187652 50.8753189)",,,
29884731,,,Hochstraße,residential,20,True,False,58.65700000000001,"LINESTRING (7.6181183 50.8759014, 7.6179208 50.8758891, 7.6178045 50.8758548, 7.6176415 50.8757806, 7.6174513 50.8756276)",,,
29884825,,,Hochstraße,residential,20,False,False,29.698999999999998,"LINESTRING (7.6181183 50.8759014, 7.6180668 50.8759609, 7.6180865 50.8761598)",,,
38854209,,,Hahnenstraße,residential,20,True,False,120.33500000000001,"LINESTRING (7.6181183 50.8759014, 7.6180674 50.8758338, 7.6179802 50.8757179, 7.6177229 50.8755218, 7.6176708 50.8754411, 7.6175489 50.875349, 7.6172872 50.8751938, 7.6170662 50.8750637)",,,
"[217112771, 217112772]",1,,Oststraße,residential,"['20', '50']",False,True,132.887,"LINESTRING (7.6181183 50.8759014, 7.6183244 50.8759325, 7.6184925 50.875973, 7.6186469 50.8760073, 7.6196522 50.8760364, 7.6197863 50.8760403, 7.6199839 50.876046)",,,
217112745,,,Hochstraße,residential,50,False,True,51.306999999999995,"LINESTRING (7.6182243 50.8769431, 7.6182705 50.8768947, 7.6182895 50.8768422, 7.6181944 50.8765472, 7.618181 50.8764979)",,,
"[813143321, 813143319]",1,B 256,Kaiserstraße,primary,30,True,False,125.409,"LINESTRING (7.6182243 50.8769431, 7.6187168 50.8771415, 7.6197563 50.8775237)",,,
217112786,1,,Wiedenhof,residential,50,True,False,20.153,"LINESTRING (7.6187652 50.8753189, 7.6188026 50.8751392)",,,
"[1162967505, 24927501, 217125501]",1,,Wiedenhof,residential,"['50', '20']",False,True,79.212,"LINESTRING (7.6187652 50.8753189, 7.6184592 50.8756087, 7.6184298 50.8756362, 7.6183553 50.8757081, 7.6182179 50.8758344, 7.6181183 50.8759014)",,,
38857483,1,,Wiedenhof,residential,30,True,False,17.122,"LINESTRING (7.6190291 50.8750074, 7.6191781 50.8749795, 7.6192667 50.87498)",,,
