osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,junction
26438048,Windthorststraße,residential,30,False,True,297.46900000000005,"LINESTRING (7.3389565 53.0551776, 7.3384152 53.0546353, 7.3381444 53.0543194, 7.3378707 53.0539298, 7.3374957 53.0533022, 7.3374423 53.0532128, 7.3373215 53.0531189, 7.3367107 53.0530064)",,,,
"[26438041, 995572124]",Zur Waage,residential,50,False,False,256.97900000000004,"LINESTRING (7.3368415 53.0527389, 7.3368505 53.0526884, 7.3368421 53.0526343, 7.3368007 53.0525494, 7.3366977 53.0523615, 7.336641 53.0522688, 7.336609 53.0522114, 7.3365551 53.0521146, 7.3365377 53.0520842, 7.3361147 53.0513633, 7.3352711 53.0508327, 7.3351294 53.0507375)",2,,,
409292881,Emdener Straße,tertiary,50,False,True,133.454,"LINESTRING (7.3368415 53.0527389, 7.3374132 53.0528571, 7.3375142 53.0528774, 7.337594 53.0528933, 7.3376687 53.0529087, 7.3378435 53.0529445, 7.3380226 53.0529813, 7.3384015 53.0530583, 7.3387302 53.0531282)",2,K 151,,
"[824927738, 824927739]",Dr.-Horstmann-Straße,residential,,False,True,31.040999999999997,"LINESTRING (7.3368415 53.0527389, 7.3367998 53.0528141, 7.3367547 53.0528923, 7.3367107 53.0530064)",,,,
888541822,Große Straße,tertiary,50,False,True,132.755,"LINESTRING (7.3368415 53.0527389, 7.3364079 53.0526473, 7.3359014 53.0525462, 7.3354597 53.0524615, 7.3351727 53.0524037, 7.3349462 53.0524085)",2,K 151,,
26439235,Mühlenstraße,tertiary,50,False,False,60.283,"LINESTRING (7.3351294 53.0507375, 7.3353411 53.0506262, 7.3355579 53.0505219, 7.3356806 53.0504823, 7.3357163 53.0504707, 7.335875 53.0504481)",2,K 109,,
29495530,Mühlenstraße,tertiary,50,False,False,84.66,"LINESTRING (7.3351294 53.0507375, 7.3349486 53.0508691, 7.3348175 53.0510151, 7.3347907 53.0511889, 7.3348152 53.0514387)",2,K 109,,
"[26438041, 995572124]",Zur Waage,residential,50,False,True,256.979,"LINESTRING (7.3351294 53.0507375, 7.3352711 53.0508327, 7.3361147 53.0513633, 7.3365377 53.0520842, 7.3365551 53.0521146, 7.336609 53.0522114, 7.336641 53.0522688, 7.3366977 53.0523615, 7.3368007 53.0525494, 7.3368421 53.0526343, 7.3368505 53.0526884, 7.3368415 53.0527389)",2,,,
128534283,Lindenstraße,residential,50,False,True,61.269999999999996,"LINESTRING (7.3387302 53.0531282, 7.3387602 53.0530775, 7.3387707 53.0530668, 7.3388112 53.052983, 7.3388059 53.0528092, 7.3387092 53.0525932)",,,,
409292881,Emdener Straße,tertiary,50,False,False,133.454,"LINESTRING (7.3387302 53.0531282, 7.3384015 53.0530583, 7.3380226 53.0529813, 7.3378435 53.0529445, 7.3376687 53.0529087, 7.337594 53.0528933, 7.3375142 53.0528774, 7.3374132 53.0528571, 7.3368415 53.0527389)",2,K 151,,
