osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,width,bridge,access
23487607,4,Grottenau,tertiary,50,False,True,98.87700000000001,"LINESTRING (10.8932377 48.3698226, 10.8933301 48.3698339, 10.8935018 48.3698508, 10.8937474 48.3698692, 10.8940412 48.3698985, 10.8942879 48.3699361, 10.8943452 48.3699463, 10.8945486 48.3699912)",,,,
1158536742,2,Kennedy-Platz,tertiary,50,True,False,7.952,"LINESTRING (10.8932377 48.3698226, 10.893181 48.3698229, 10.8931304 48.369819)",,,,
48113499,1,Fuggerstraße,secondary,50,True,False,4.798,"LINESTRING (10.8926402 48.3695751, 10.8925963 48.3696069)",,,,
109434625,2,Kennedy-Platz,tertiary,50,True,False,52.026,"LINESTRING (10.8926402 48.3695751, 10.8927751 48.3696261, 10.8932377 48.3698226)",,,,
"[23367824, 315036757]",3,Schaezlerstraße,secondary,50,False,False,153.105,"LINESTRING (10.8916687 48.3691601, 10.8917226 48.3691085, 10.891755 48.3690545, 10.8917685 48.3690286, 10.8919572 48.3685343, 10.8921599 48.3680056, 10.8921618 48.3680006, 10.8921829 48.3679454, 10.8922246 48.367838)",,,,
32849788,5,Am Alten Einlaß,secondary,50,False,False,65.69399999999999,"LINESTRING (10.8916687 48.3691601, 10.8918385 48.3692475, 10.8921595 48.3693998, 10.8921997 48.3694193, 10.8922778 48.3694592, 10.8923747 48.3695185)",,,,
160141720,1,Schaezlerstraße,tertiary,50,True,False,18.087,"LINESTRING (10.8934813 48.3651087, 10.8934901 48.3650715, 10.8934991 48.3650494, 10.8935072 48.3650381, 10.8935083 48.3650358, 10.8935187 48.3650147, 10.8935243 48.3650031, 10.8935489 48.3649529)",,,,
160141722,1,Schaezlerstraße,secondary,50,True,False,23.835,"LINESTRING (10.8934813 48.3651087, 10.8935266 48.3650804, 10.8935626 48.3650553, 10.8935727 48.3650489, 10.8935984 48.3650309, 10.8936194 48.3650152, 10.893662 48.3649831, 10.8936999 48.3649514)",,,,
"[33434068, 33434069]",2,Fuggerstraße,residential,30,False,True,18.877000000000002,"LINESTRING (10.8936116 48.3681031, 10.8935033 48.3680845, 10.8934807 48.3680806, 10.8934599 48.368077, 10.8933642 48.3680606)",,,,
491793436,1,Fuggerstraße,residential,30,True,False,38.145,"LINESTRING (10.8936116 48.3681031, 10.8935764 48.3681825, 10.8935178 48.3683091, 10.8934957 48.3683568, 10.8934629 48.3684316)",,,,
92481416,2,Forsterstraße,tertiary,50,False,False,10.739,"LINESTRING (10.9039637 48.3657491, 10.9038318 48.3657085)",,,,
66154341,1,Oberer Graben,tertiary,50,True,False,37.939,"LINESTRING (10.9039637 48.3657491, 10.9039152 48.3658278, 10.9038859 48.3658753, 10.9037671 48.3660643)",,,,
92481427,3,Jakoberwallstraße,tertiary,50,False,True,58.853,"LINESTRING (10.9039637 48.3657491, 10.9040606 48.3657773, 10.9041188 48.3657955, 10.904277 48.3658448, 10.9044739 48.3659269, 10.9046585 48.3660056)",,,,
4275871,,Henisiusstraße,residential,30,False,False,158.603,"LINESTRING (10.9014469 48.3732232, 10.9015802 48.3732154, 10.9016303 48.3732127, 10.9020313 48.3731901, 10.9026557 48.3731905, 10.9027166 48.3731908, 10.9027753 48.373191, 10.903592 48.3731892)",,,,
"[48125344, 233129275, 23547022]",2,Unterer Graben,tertiary,50,False,False,169.76899999999998,"LINESTRING (10.9014469 48.3732232, 10.9014345 48.3731506, 10.9014251 48.3730974, 10.9013915 48.3729057, 10.9013468 48.3727841, 10.9013249 48.3727337, 10.9012987 48.3726758, 10.9011948 48.3724736, 10.9011586 48.372376, 10.9011141 48.3722365, 10.9011032 48.372143, 10.901127 48.372031, 10.9011755 48.3719108, 10.9011822 48.3718109, 10.9011746 48.3717301)",,,,
"[138242746, 138242749]",,"['Am Rößlebad', 'Erstes Quergäßchen']",residential,30,False,True,71.357,"LINESTRING (10.901977 48.3723318, 10.9016691 48.372217, 10.901459 48.3721301, 10.9013737 48.3720686, 10.9014352 48.3719148)",,,,
138242746,,Am Rößlebad,residential,30,False,True,17.63,"LINESTRING (10.9014352 48.3719148, 10.9014901 48.3717605)",,,,
138242760,,Zweites Quergäßchen,residential,30,False,False,49.609,"LINESTRING (10.9014352 48.3719148, 10.9020759 48.3720486)",,,,
"[138242746, 138242749]",,"['Am Rößlebad', 'Erstes Quergäßchen']",residential,30,False,False,71.357,"LINESTRING (10.9014352 48.3719148, 10.9013737 48.3720686, 10.901459 48.3721301, 10.9016691 48.372217, 10.901977 48.3723318)",,,,
138242747,,Am Rößlebad,residential,30,False,True,20.756,"LINESTRING (10.9017625 48.3714072, 10.90178 48.3715935)",,,,
138242747,,Am Rößlebad,residential,30,False,False,17.182,"LINESTRING (10.9017625 48.3714072, 10.9017662 48.3712607, 10.9017663 48.3712569, 10.9017664 48.3712527)",,,,
"[138242752, 138168528]",,Fünftes Quergäßchen,residential,30,False,False,61.215,"LINESTRING (10.9017625 48.3714072, 10.9021585 48.3714759, 10.9024272 48.3715103, 10.9025698 48.3715305)",,,,
