osmid,ref,name,highway,oneway,reversed,length,geometry,junction,maxspeed,access,tunnel,bridge
233668692,445,Uničovská,secondary,False,False,69.88,"LINESTRING (17.2954948 49.7308118, 17.2955203 49.7308676, 17.2955517 49.7309148, 17.2955943 49.7309686, 17.2956452 49.7310174, 17.2957071 49.7310701, 17.2957616 49.731115, 17.2958012 49.7311526, 17.295837 49.7311953, 17.2958677 49.7312389, 17.2959029 49.7313013, 17.2959361 49.7313658)",,,,,
"[233668756, 233668692]",445,Uničovská,secondary,False,True,239.82500000000002,"LINESTRING (17.2954948 49.7308118, 17.2954855 49.7307809, 17.2954827 49.7307473, 17.2954868 49.7307083, 17.2954982 49.7306615, 17.2955165 49.7306084, 17.2955403 49.7305464, 17.2955686 49.7304846, 17.295683 49.7302204, 17.2957228 49.7301269, 17.2957416 49.7300583, 17.2957508 49.7299964, 17.2957463 49.7299448, 17.2957321 49.7298807, 17.2956994 49.729832, 17.2956593 49.7297861, 17.2955999 49.7297363, 17.2955282 49.729699, 17.2954972 49.7296859, 17.295435 49.7296615, 17.2953515 49.7296316, 17.2952793 49.7296075, 17.2950303 49.7295264, 17.2947533 49.7294422, 17.2945304 49.7293793, 17.294339 49.7293273, 17.2941676 49.7292813)",,,,,
233702901,,Vinohradská,residential,True,False,139.235,"LINESTRING (17.2954948 49.7308118, 17.2954417 49.7308197, 17.2953821 49.7308192, 17.2953131 49.7308094, 17.2947916 49.7307033, 17.2945692 49.7306494, 17.2943903 49.7305939, 17.2942244 49.7305532, 17.2938105 49.7304398, 17.2936777 49.7304059)",,,,,
4332716,445,Rýmařovská,secondary,False,False,152.22199999999998,"LINESTRING (17.295704 49.7316693, 17.2956475 49.7317343, 17.2955962 49.7318086, 17.2955413 49.7318789, 17.2954426 49.7319874, 17.2953333 49.7321166, 17.295224 49.7322476, 17.295128 49.7323633, 17.2950364 49.7324855, 17.2949579 49.7326048, 17.2948682 49.7327587, 17.2947876 49.7329006)",,,,,
24393808,,Babická,residential,False,False,119.33099999999999,"LINESTRING (17.295704 49.7316693, 17.295631 49.731662, 17.2954818 49.7316481, 17.2952776 49.731664, 17.2948277 49.7316697, 17.2947574 49.7316804, 17.2945288 49.7317152, 17.2940834 49.731818)",,,,,
443538956,445,Rýmařovská,secondary,False,True,20.729,"LINESTRING (17.295704 49.7316693, 17.2957766 49.7316032, 17.2958147 49.7315751, 17.2958895 49.7315273)",,,,,
4332716,445,Rýmařovská,secondary,False,True,102.267,"LINESTRING (17.2943676 49.733779, 17.2943993 49.7336976, 17.2944559 49.7335966, 17.2945783 49.7333559, 17.2947876 49.7329006)",,,,,
47016443,445,Jesenická,secondary,False,False,100.675,"LINESTRING (17.2943676 49.733779, 17.2943461 49.7338771, 17.2943171 49.7339796, 17.2942971 49.7340594, 17.2942708 49.7341621, 17.2942448 49.7342442, 17.2942265 49.7343314, 17.2942295 49.7344058, 17.2942482 49.7344828, 17.2942727 49.7345703, 17.2943179 49.7346702)",,,,,
4475006,,,residential,False,False,35.998999999999995,"LINESTRING (17.2967404 49.7263541, 17.2969227 49.7263552, 17.2972412 49.7263571)",,,,,
233819394,,náměstí Svobody,residential,False,False,65.374,"LINESTRING (17.2967404 49.7263541, 17.2970257 49.7268375, 17.2970732 49.726901)",,,,,
"[4475018, 407454891, 47040300]",,"['Bezručova', 'náměstí Svobody']",tertiary,False,False,176.68800000000002,"LINESTRING (17.2970732 49.726901, 17.2971916 49.7269578, 17.2972739 49.7270119, 17.2974172 49.7271499, 17.2974464 49.7272083, 17.2974464 49.727244, 17.2974423 49.7272922, 17.2974075 49.7273713, 17.2973066 49.7274971, 17.2972425 49.7276409, 17.2971846 49.7278182, 17.2971175 49.7281034, 17.2971048 49.7283241, 17.2971024 49.7283662)",,,,,
4838058,,náměstí Svobody,tertiary,False,True,100.676,"LINESTRING (17.2970732 49.726901, 17.2961643 49.72652, 17.2958881 49.726419)",,,,,
233819394,,náměstí Svobody,residential,False,True,65.374,"LINESTRING (17.2970732 49.726901, 17.2970257 49.7268375, 17.2967404 49.7263541)",,,,,
4475006,,,residential,False,True,35.998999999999995,"LINESTRING (17.2972412 49.7263571, 17.2969227 49.7263552, 17.2967404 49.7263541)",,,,,
47040293,,Bezručova,residential,False,False,29.975,"LINESTRING (17.2971024 49.7283662, 17.2972537 49.7284093, 17.2974841 49.7284748)",,,,,
