osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,width,tunnel,bridge
150490540,Bahnhofstraße,residential,30,False,True,43.808,,,"LINESTRING (12.5355207 48.0021669, 12.5355382 48.0017731)",,,
171024125,Hauptstraße,primary,50,False,False,56.534,2,B 304,"LINESTRING (12.5355207 48.0021669, 12.5355899 48.0022306, 12.5356335 48.0022753, 12.5357151 48.0024196, 12.5357352 48.0024759, 12.5357598 48.0025669, 12.5357677 48.0026042, 12.5357785 48.0026374)",,,
"[171024125, 1186177102]",Hauptstraße,primary,50,False,True,73.271,2,B 304,"LINESTRING (12.5355207 48.0021669, 12.5353299 48.0020577, 12.5351955 48.0019885, 12.5351176 48.0019391, 12.5350303 48.0018726, 12.5349818 48.0018219, 12.5349268 48.0017683, 12.5348677 48.0016853)",,,
150732933,Laufenauer Straße,residential,,False,False,9.224,,,"LINESTRING (12.5348677 48.0016853, 12.5347472 48.0017048)",,,
156943348,Hauptstraße,primary,50,False,True,150.12399999999997,,B 304,"LINESTRING (12.5348677 48.0016853, 12.5347304 48.0014392, 12.5345729 48.0009962, 12.5344768 48.0006602, 12.5344635 48.000599, 12.5344586 48.0005762, 12.5344532 48.0004998, 12.5344465 48.0003713)",,,
"[171024125, 1186177102]",Hauptstraße,primary,50,False,False,73.27100000000002,2,B 304,"LINESTRING (12.5348677 48.0016853, 12.5349268 48.0017683, 12.5349818 48.0018219, 12.5350303 48.0018726, 12.5351176 48.0019391, 12.5351955 48.0019885, 12.5353299 48.0020577, 12.5355207 48.0021669)",,,
33791976,Harald-Friedrich-Straße,residential,,False,False,85.341,,,"LINESTRING (12.5344801 48.0001393, 12.5356271 48.0001383)",,,
225987302,Hauptstraße,primary,50,False,False,25.959000000000003,,B 304,"LINESTRING (12.5344801 48.0001393, 12.5344559 48.0002391, 12.5344465 48.0003713)",,,
39458727,Traunweg,residential,30,False,False,138.884,,,"LINESTRING (12.5368341 48.0037013, 12.5372913 48.0037537, 12.5377379 48.0038121, 12.5380705 48.0038641, 12.5384112 48.0039377, 12.5386539 48.0039727)",,,
150490555,Schulweg,residential,30,False,True,239.4439999999999,,,"LINESTRING (12.5368341 48.0037013, 12.5369735 48.0034379, 12.5370068 48.0034096, 12.5370634 48.0033751, 12.5371787 48.0033069, 12.5372887 48.003227, 12.537345 48.0031561, 12.5373678 48.0031081, 12.5373825 48.0029964, 12.5373799 48.0028223, 12.5373651 48.0027748, 12.5373262 48.0027416, 12.5372887 48.0027102, 12.5372417 48.0026895, 12.5371867 48.0026761, 12.5371157 48.0026635, 12.5367844 48.0026456, 12.53648 48.002615, 12.5362151 48.0025973, 12.5357785 48.0026374)",,,
150490556,Traunweg,residential,,False,True,107.865,,,"LINESTRING (12.5368341 48.0037013, 12.5365085 48.0036538, 12.5361676 48.0036023, 12.5357403 48.003535, 12.5356385 48.0035096, 12.535571 48.0034874, 12.5354573 48.003428)",,,
150490560,Zieglerweg,residential,,False,False,92.87299999999999,,,"LINESTRING (12.5368341 48.0037013, 12.5366326 48.0039687, 12.536428 48.0041972, 12.5361888 48.0044139)",,,
150732933,Laufenauer Straße,residential,,False,True,9.224,,,"LINESTRING (12.5347472 48.0017048, 12.5348677 48.0016853)",,,
"[225987292, 150490557]",Alzweg,residential,,False,False,325.617,,,"LINESTRING (12.5347472 48.0017048, 12.5348504 48.0019184, 12.5348669 48.0019887, 12.5348778 48.0020465, 12.5348758 48.0021036, 12.5348679 48.0021495, 12.5348292 48.0022205, 12.5347984 48.0022704, 12.5347557 48.0023116, 12.5346802 48.0023521, 12.5346127 48.0023926, 12.5345472 48.0024424, 12.5344886 48.0025308, 12.5344468 48.0026245, 12.534438 48.002661, 12.5344409 48.0026903, 12.5344598 48.0027142, 12.5345549 48.0027794, 12.534566 48.0027999, 12.5345658 48.0028277, 12.5345491 48.0029305, 12.5345018 48.0030728, 12.5344447 48.0031815, 12.5343683 48.0032777, 12.5342821 48.0033427, 12.534141 48.0034426, 12.5340083 48.0035198, 12.5340077 48.0036146, 12.5340253 48.0037571, 12.5340577 48.0041534, 12.5341181 48.0042422, 12.5342682 48.0043141)",2,,
34274655,Baumburg,residential,,False,False,67.003,,,"LINESTRING (12.5306249 47.9989317, 12.5306559 47.9987106, 12.5307025 47.9985205, 12.5308147 47.9983483)",,,
840614010,Baumburger Straße,residential,,False,True,294.736,,,"LINESTRING (12.5306249 47.9989317, 12.5307617 47.9991287, 12.5309497 47.9992585, 12.5315292 47.9995973, 12.5318987 47.9998354, 12.5324298 47.9999639, 12.53311 48.000109, 12.5338861 48.0002528)",,,
34274655,Baumburg,residential,,False,True,39.387,,,"LINESTRING (12.5308331 47.9979943, 12.5308147 47.9983483)",,,
150490542,Margaretenstraße,residential,,False,True,76.092,,,"LINESTRING (12.5365577 48.0018274, 12.5355382 48.0017731)",,,
39458729,Frühlingstraße,residential,,False,True,153.90099999999998,,,"LINESTRING (12.5365577 48.0018274, 12.5365315 48.0015608, 12.5365096 48.0014038, 12.5364977 48.0013185, 12.5364197 48.0007142, 12.5364286 48.0006409, 12.5365306 48.0004599)",,,
"[39458730, 150490542]",Margaretenstraße,residential,,False,False,257.091,,,"LINESTRING (12.5365577 48.0018274, 12.5370665 48.0018667, 12.5374144 48.0018608, 12.5375133 48.0018074, 12.5375591 48.0015811, 12.5376057 48.0013513, 12.5376315 48.0012237, 12.5371879 48.0008785, 12.5365306 48.0004599)",,,
39458729,Frühlingstraße,residential,,False,False,153.90099999999998,,,"LINESTRING (12.5365306 48.0004599, 12.5364286 48.0006409, 12.5364197 48.0007142, 12.5364977 48.0013185, 12.5365096 48.0014038, 12.5365315 48.0015608, 12.5365577 48.0018274)",,,
