osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access,tunnel,width
512331925,4,L 524,Königswall,secondary,50,False,True,10.846,"LINESTRING (7.1973631 51.6117971, 7.1972068 51.6118068)",,,,
529069286,4,L 524,Kaiserwall,secondary,50,False,False,33.853,"LINESTRING (7.1973631 51.6117971, 7.1975174 51.6117911, 7.1975691 51.6117897, 7.1977133 51.6117872, 7.1978529 51.6117898)",,,,
611529300,1,,Schaumburgstraße,living_street,10,False,True,7.369,"LINESTRING (7.2017359 51.6140429, 7.2018421 51.6140363)",,,,
"[603575819, 184687699]",2,L 524,Kaiserwall,secondary,50,True,False,224.214,"LINESTRING (7.2017359 51.6140429, 7.20172 51.6138831, 7.2016831 51.613687, 7.2016252 51.6135241, 7.2015034 51.6133238, 7.2014108 51.6132087, 7.2012685 51.6130676, 7.2011376 51.6129516, 7.2007398 51.6126362, 7.2004771 51.6124722, 7.200421 51.6124376, 7.2002599 51.6123126)",,,,
611529300,1,,Schaumburgstraße,living_street,10,False,False,67.393,"LINESTRING (7.2017359 51.6140429, 7.2016226 51.6140499, 7.2007667 51.6141144)",,,,
23120261,,,Löhrgasse,residential,10,False,True,46.510999999999996,"LINESTRING (7.1978529 51.6117898, 7.1978537 51.6118788, 7.1978566 51.6119518, 7.1979124 51.6122057)",,,,
"[4729324, 529069286]",4,L 524,Kaiserwall,secondary,50,False,False,178.623,"LINESTRING (7.1978529 51.6117898, 7.1980251 51.6118009, 7.1982189 51.6118167, 7.1986011 51.6118568, 7.1988872 51.611901, 7.1992361 51.6119729, 7.1995866 51.6120511, 7.1997719 51.612108, 7.200008 51.6122007, 7.200067 51.6122272, 7.2002599 51.6123126)",,,,
529069286,4,L 524,Kaiserwall,secondary,50,False,True,33.853,"LINESTRING (7.1978529 51.6117898, 7.1977133 51.6117872, 7.1975691 51.6117897, 7.1975174 51.6117911, 7.1973631 51.6117971)",,,,
23120260,1,,Hermann-Bresser-Straße,residential,10,True,False,114.091,"LINESTRING (7.1979124 51.6122057, 7.1982142 51.6121809, 7.1984104 51.6121707, 7.1986322 51.6121707, 7.1988076 51.6121892, 7.1990094 51.6122313, 7.1991364 51.6122899, 7.1994432 51.6124293)",,,,
23120261,,,Löhrgasse,residential,10,False,False,46.510999999999996,"LINESTRING (7.1979124 51.6122057, 7.1978566 51.6119518, 7.1978537 51.6118788, 7.1978529 51.6117898)",,,,
