osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,access
"[24017601, 1040768633]",2,"['Schorfheidestraße', 'Feldstraße']",residential,"['50', '30']",False,True,139.66099999999997,"LINESTRING (13.5741794 52.5749582, 13.5742193 52.5748433, 13.5742874 52.5746274, 13.5743582 52.5745253, 13.5744101 52.5744504, 13.5744315 52.5744195, 13.5745795 52.5742061, 13.5747978 52.5738602, 13.574834 52.5738029, 13.5748499 52.5737748)",,,
"[30824818, 425404772]",3,Dorfstraße,primary,30,False,True,158.821,"LINESTRING (13.5741794 52.5749582, 13.5743852 52.5749888, 13.5751536 52.5750968, 13.575255 52.5751115, 13.5754179 52.5751351, 13.5754688 52.5751427, 13.5756342 52.5751675, 13.5756974 52.575177, 13.575989 52.5752254, 13.5761595 52.5752546, 13.5762028 52.5752629, 13.5762952 52.5752819, 13.5764541 52.5753146)",B 158,,
"[30824818, 425404772]",3,Dorfstraße,primary,30,False,False,158.82100000000003,"LINESTRING (13.5764541 52.5753146, 13.5762952 52.5752819, 13.5762028 52.5752629, 13.5761595 52.5752546, 13.575989 52.5752254, 13.5756974 52.575177, 13.5756342 52.5751675, 13.5754688 52.5751427, 13.5754179 52.5751351, 13.575255 52.5751115, 13.5751536 52.5750968, 13.5743852 52.5749888, 13.5741794 52.5749582)",B 158,,
"[26239493, 432205790]","['2', '3']",Lindenberger Straße,tertiary,50,False,False,155.513,"LINESTRING (13.5764541 52.5753146, 13.5763998 52.5753989, 13.5763782 52.5754287, 13.5763124 52.5755277, 13.5762423 52.5756174, 13.5762149 52.5756525, 13.5761418 52.5757238, 13.5760832 52.5757811, 13.5759505 52.5759331, 13.5757314 52.5761724, 13.5755402 52.5763812, 13.5753848 52.5765509)",,,
"[897429852, 40232727]",2,Lindenberger Straße,tertiary,50,False,True,172.953,"LINESTRING (13.5672599 52.5826637, 13.567506 52.5824801, 13.567607 52.5824058, 13.5677546 52.5822973, 13.5678142 52.5822535, 13.5679938 52.5821215, 13.5688851 52.581462)",,,
1106763722,,Ahrensfelder Dreieck,residential,30,False,False,37.379,"LINESTRING (13.5743714 52.5810865, 13.5745522 52.5807688)",,,
"[892366667, 1011846486, 25628495]",,Bahnstraße,residential,30,False,True,163.741,"LINESTRING (13.5743714 52.5810865, 13.5742816 52.5810681, 13.5740079 52.5810133, 13.573786 52.5809445, 13.5736398 52.5808651, 13.5735083 52.5807676, 13.5730215 52.5802076, 13.5728524 52.5800245)",,,
"[25628521, 1106758118]",,Ernst-Thälmann-Straße,residential,30,False,False,190.428,"LINESTRING (13.5743714 52.5810865, 13.5745773 52.5811246, 13.5746939 52.5811312, 13.574794 52.5811263, 13.5749111 52.5811123, 13.5750095 52.5811011, 13.5751023 52.5810997, 13.5752339 52.5811097, 13.5752783 52.5811183, 13.5753907 52.581144, 13.5759276 52.5812652, 13.5760818 52.5813023, 13.5763365 52.5813637, 13.5770434 52.5815356)",,,
29283053,,Ahornweg,residential,30,False,False,102.24100000000001,"LINESTRING (13.5706944 52.5801224, 13.5706109 52.5800776, 13.5705972 52.5800707, 13.5701514 52.5798469, 13.5695302 52.5795351)",,,
40232727,2,Lindenberger Straße,tertiary,50,False,False,89.959,"LINESTRING (13.5706944 52.5801224, 13.5702272 52.5804744, 13.5698585 52.5807521)",,,
"[897429847, 40232727]",2,Lindenberger Straße,tertiary,50,False,True,65.098,"LINESTRING (13.5706944 52.5801224, 13.5711745 52.5797726, 13.5713066 52.5796704)",,,
20135497,2,Lindenberger Straße,tertiary,50,False,True,133.694,"LINESTRING (13.5721048 52.5790738, 13.572147 52.5790419, 13.572355 52.5788845, 13.5729559 52.5784409, 13.5733574 52.5781431)",,,
897429847,2,Lindenberger Straße,tertiary,50,False,False,85.49699999999999,"LINESTRING (13.5721048 52.5790738, 13.571956 52.579185, 13.5718506 52.5792634, 13.5716535 52.5794101, 13.5713066 52.5796704)",,,
"[934370757, 25628495]",,Bahnstraße,residential,30,False,False,118.706,"LINESTRING (13.5721048 52.5790738, 13.5721821 52.5791144, 13.5722086 52.579133, 13.5722351 52.5791517, 13.5723342 52.5792561, 13.5724129 52.5793645, 13.572454 52.579494, 13.5724693 52.5795422, 13.572528 52.5796403, 13.5725718 52.5796922, 13.5728524 52.5800245)",,,
25628521,,Ernst-Thälmann-Straße,residential,30,False,False,136.44,"LINESTRING (13.5770434 52.5815356, 13.5778336 52.5817269, 13.5784435 52.5818758, 13.5787759 52.581978, 13.5788999 52.5820161)",,,
"[25628521, 1106758118]",,Ernst-Thälmann-Straße,residential,30,False,True,190.42800000000003,"LINESTRING (13.5770434 52.5815356, 13.5763365 52.5813637, 13.5760818 52.5813023, 13.5759276 52.5812652, 13.5753907 52.581144, 13.5752783 52.5811183, 13.5752339 52.5811097, 13.5751023 52.5810997, 13.5750095 52.5811011, 13.5749111 52.5811123, 13.574794 52.5811263, 13.5746939 52.5811312, 13.5745773 52.5811246, 13.5743714 52.5810865)",,,
25628528,,Fliederstraße,residential,30,False,False,134.579,"LINESTRING (13.5770434 52.5815356, 13.5770821 52.5814797, 13.5771465 52.5813735, 13.5772198 52.5812374, 13.5773131 52.581059, 13.5774077 52.580874, 13.5774823 52.5806754, 13.5775313 52.5805285, 13.5775832 52.5803729)",,,
