osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,tunnel,access
"[130852168, 130855545]",2,Andreasstraße,residential,50,False,False,139.411,"LINESTRING (11.0216018 50.9812353, 11.0217351 50.9810324, 11.0218892 50.9808324, 11.0220327 50.9806667, 11.0222357 50.9804363, 11.0223899 50.9802699, 11.0224837 50.9801627, 11.0225188 50.9801239)",,,,
25701232,,Kaufmännerstraße,living_street,,True,False,177.619,"LINESTRING (11.0328182 50.9783178, 11.0328007 50.9781037, 11.0328145 50.9780611, 11.0328589 50.9780067, 11.0329217 50.9779822, 11.0331718 50.9779734, 11.0332951 50.9779553, 11.0334126 50.9779144, 11.0335689 50.9778465, 11.033741 50.9777923, 11.0338906 50.9777783, 11.0340051 50.9777822, 11.0347092 50.9778063, 11.0347999 50.9778149)",,,,
32457549,,Meienbergstraße,residential,20,True,False,123.46,"LINESTRING (11.0328182 50.9783178, 11.0328655 50.9783135, 11.0330033 50.978301, 11.0331961 50.9782835, 11.0337182 50.978257, 11.0345758 50.9782438)",,,,
107793227,,Meienbergstraße,living_street,,False,True,40.644,"LINESTRING (11.0328182 50.9783178, 11.0324498 50.9783579, 11.0322545 50.9784005)",,,,
993462740,,Meienbergstraße,residential,20,False,True,8.797,"LINESTRING (11.0347013 50.9782399, 11.0345758 50.9782438)",,,,
25696668,,Anger,living_street,,False,False,47.809000000000005,"LINESTRING (11.0347013 50.9782399, 11.0347012 50.9782024, 11.0347999 50.9778149)",,,,
"[218091544, 30814135]",,Meienbergstraße,residential,20,False,False,46.678999999999995,"LINESTRING (11.0347013 50.9782399, 11.0350254 50.9782303, 11.0351733 50.9782276, 11.0353073 50.9782298, 11.0353444 50.9782321, 11.0353673 50.9782334)",,,,
14360349,,Glockenquergasse,living_street,,True,False,101.305,"LINESTRING (11.0230937 50.981693, 11.0232696 50.9814947, 11.023458 50.9812974, 11.0236041 50.9811605, 11.0236792 50.9810941, 11.0238005 50.9810124, 11.0239214 50.9809548)",2.1,,,
416149192,,Glockengasse,living_street,,True,False,116.25399999999999,"LINESTRING (11.0230937 50.981693, 11.0226511 50.9815612, 11.0222215 50.9814441, 11.0216877 50.9812656, 11.0216135 50.9812398, 11.0216018 50.9812353)",2,,,
4497195,,Moritzstraße,residential,30,False,True,4.042,"LINESTRING (11.0249911 50.9817141, 11.0249567 50.9817433)",,,,
"[14809208, 14809209, 14360350]",,Venedig,living_street,,False,"[False, True]",62.09,"LINESTRING (11.0249911 50.9817141, 11.025421 50.9819096, 11.0255969 50.9819782, 11.0257179 50.9820337)",,yes,,
34090999,,Moritzstraße,residential,30,False,False,65.27799999999999,"LINESTRING (11.0249911 50.9817141, 11.0252278 50.9815372, 11.0253124 50.9814495, 11.0254945 50.9812238)",8,,,
130852168,2,Andreasstraße,residential,50,False,False,41.857,"LINESTRING (11.0225188 50.9801239, 11.0227967 50.9797906)",,,,
"[130852168, 130855545]",2,Andreasstraße,residential,50,False,True,139.411,"LINESTRING (11.0225188 50.9801239, 11.0224837 50.9801627, 11.0223899 50.9802699, 11.0222357 50.9804363, 11.0220327 50.9806667, 11.0218892 50.9808324, 11.0217351 50.9810324, 11.0216018 50.9812353)",,,,
132197270,,Michaelisstraße,living_street,,False,True,35.758,"LINESTRING (11.0280754 50.9794202, 11.0276856 50.979628)",,,,
24591496,,Michaelisstraße,living_street,,False,False,22.346,"LINESTRING (11.0280754 50.9794202, 11.0281902 50.9794455, 11.0282801 50.9794438, 11.0283747 50.9794115)",,,,
119574304,,Allerheiligenstraße,living_street,,False,True,101.576,"LINESTRING (11.0280754 50.9794202, 11.0276877 50.9792307, 11.0276289 50.9791917, 11.0274851 50.9790961, 11.0274243 50.9790391, 11.0273195 50.978905, 11.0271973 50.9787194)",8,,,
"[230635945, 525547396]",,Augustinerstraße,"['residential', 'living_street']",30,False,False,36.715999999999994,"LINESTRING (11.0283401 50.9811013, 11.0282167 50.9809792, 11.0280576 50.9808231)",,,,
"[230635945, 4806321]",,Augustinerstraße,residential,30,False,True,156.772,"LINESTRING (11.0283401 50.9811013, 11.028533 50.9812096, 11.0287697 50.9813262, 11.0290835 50.9814456, 11.029318 50.9815356, 11.0295025 50.9816064, 11.0296291 50.9816523, 11.0296745 50.9816693, 11.0299311 50.9817696, 11.0301696 50.9818629, 11.0302051 50.9818762)",,,,
27354319,1,Domplatz,residential,50,True,False,43.730999999999995,"LINESTRING (11.0240641 50.97822, 11.0241328 50.9781284, 11.0243309 50.9778644)",1.9,,,
129218377,2,Pergamentergasse,residential,50,False,False,6.4990000000000006,"LINESTRING (11.0240641 50.97822, 11.0241215 50.9782423, 11.0241431 50.9782507)",,,,
"[1126755509, 461420214]",3,Domplatz,residential,50,False,False,40.292,"LINESTRING (11.0240641 50.97822, 11.0240189 50.9782013, 11.0239657 50.9781754, 11.0236106 50.9779971)",,,,
4610414,,Waagegasse,living_street,,False,False,33.785,"LINESTRING (11.0271973 50.9787194, 11.027392 50.978688, 11.0276711 50.9787115)",2.5,,,
119574304,,Allerheiligenstraße,living_street,,False,False,101.576,"LINESTRING (11.0271973 50.9787194, 11.0273195 50.978905, 11.0274243 50.9790391, 11.0274851 50.9790961, 11.0276289 50.9791917, 11.0276877 50.9792307, 11.0280754 50.9794202)",8,,,
119574304,,Allerheiligenstraße,living_street,,False,True,50.234,"LINESTRING (11.0271973 50.9787194, 11.0270201 50.9785407, 11.0268113 50.9783386)",8,,,
585498071,,Benediktsplatz,living_street,,False,True,4.995,"LINESTRING (11.0300348 50.9786503, 11.0299748 50.978626)",,,,
8769310,,Kürschnergasse,living_street,,False,True,76.02900000000001,"LINESTRING (11.0315034 50.9777866, 11.0315387 50.9779297, 11.0316352 50.9784154, 11.0316445 50.9784645)",,,,
