osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,junction,ref
28508011,Bismarckstraße,residential,30,False,False,45.992000000000004,"LINESTRING (11.8115422 52.4347157, 11.8114735 52.4347175, 11.8114095 52.4347174, 11.8113053 52.4347065, 11.8112013 52.4346905, 11.8110224 52.4346541, 11.8108853 52.4346271)",,,,
"[28508018, 1207041031]",Bahnhofstraße,residential,30,False,True,162.60000000000002,"LINESTRING (11.8115422 52.4347157, 11.81155 52.4347588, 11.8115761 52.4348125, 11.8116254 52.4349112, 11.8116573 52.434986, 11.8116845 52.4350608, 11.8119231 52.4359696, 11.8119399 52.4360256, 11.8119898 52.4361505)",,,,
49606808,Bismarckstraße,residential,30,False,True,122.201,"LINESTRING (11.8115422 52.4347157, 11.8118122 52.4347, 11.8121713 52.4346792, 11.8125467 52.4346593, 11.8132276 52.434619, 11.8133367 52.4346118)",6,,,
125153661,Bismarckstraße,residential,30,False,False,43.468,"LINESTRING (11.8090897 52.4344084, 11.8086069 52.4344391, 11.8084523 52.4344507)",,,,
"[1215944197, 1215944196, 125153661]",Bismarckstraße,residential,30,False,True,126.044,"LINESTRING (11.8090897 52.4344084, 11.8093118 52.4343906, 11.8093771 52.4343875, 11.8095022 52.4343841, 11.8095732 52.4343855, 11.8096551 52.4343904, 11.80972 52.4343961, 11.8097991 52.4344076, 11.80988 52.4344239, 11.8100138 52.4344508, 11.8101411 52.4344764, 11.8102543 52.4344998, 11.8103353 52.4345161, 11.8103903 52.4345272, 11.8108853 52.4346271)",,,,
305462819,Blumenstraße,residential,30,False,True,105.946,"LINESTRING (11.8090897 52.4344084, 11.8090969 52.4344489, 11.8092111 52.4348945, 11.8093535 52.4353473)",,,,
125153661,Bismarckstraße,residential,30,False,True,84.837,"LINESTRING (11.8052727 52.4348204, 11.8053474 52.4348213, 11.805393 52.4348238, 11.8054996 52.434827, 11.8056522 52.4348229, 11.8058704 52.4348035, 11.8061383 52.4347715, 11.8063136 52.434751, 11.8064135 52.4347383, 11.8065082 52.4347244)",,,,
621117550,Schönwalder Straße,residential,50,False,False,117.01299999999999,"LINESTRING (11.8052727 52.4348204, 11.8052669 52.4348632, 11.8052548 52.434901, 11.8052237 52.4349461, 11.8049326 52.4353385, 11.8046794 52.435671, 11.8045922 52.4357838)",,,,
"[29382872, 1181163363, 1181163364]",Breite Straße,residential,50,False,False,34.797,"LINESTRING (11.8052727 52.4348204, 11.8052696 52.4347436, 11.8052678 52.4347342, 11.8052595 52.434691, 11.8052519 52.4346508, 11.8052495 52.4346382, 11.8052406 52.4345083)",,,,
31694281,,secondary,50,True,False,22.812000000000005,"LINESTRING (11.8035501 52.4305909, 11.8035211 52.4305958, 11.8034912 52.4305978, 11.8034611 52.4305967, 11.8034318 52.4305925, 11.803404 52.4305855, 11.8033785 52.4305758, 11.8033559 52.4305637, 11.803337 52.4305494, 11.8033222 52.4305334, 11.8033119 52.4305162, 11.8033072 52.4305043, 11.8033057 52.4304949)",,1,roundabout,
"[29382872, 1165657273, 1165657274, 257353309]",Breite Straße,residential,50,False,True,451.4100000000001,"LINESTRING (11.8035501 52.4305909, 11.8035664 52.4306165, 11.8035799 52.4306383, 11.8035972 52.4306661, 11.8036068 52.4306816, 11.8036113 52.4306888, 11.8036889 52.430817, 11.8037643 52.4309534, 11.8038475 52.4311234, 11.8040951 52.4316584, 11.8043799 52.4322771, 11.8044604 52.432455, 11.8048522 52.4332871, 11.8050964 52.4338167, 11.8051314 52.4339117, 11.8051567 52.4339975, 11.8051881 52.4341607, 11.8052069 52.4342597, 11.8052287 52.4344227, 11.8052406 52.4345083)",,2,,
112354145,Fritz-Reuter-Straße,residential,30,False,False,91.08,"LINESTRING (11.8119898 52.4361505, 11.8133294 52.4360876)",,,,
112369659,Bahnhofstraße,residential,30,False,True,42.635000000000005,"LINESTRING (11.8119898 52.4361505, 11.8120751 52.4363901, 11.8120986 52.4364373, 11.8121289 52.4364758, 11.8121666 52.4365159)",,,,
"[28508018, 1207041031]",Bahnhofstraße,residential,30,False,False,162.60000000000002,"LINESTRING (11.8119898 52.4361505, 11.8119399 52.4360256, 11.8119231 52.4359696, 11.8116845 52.4350608, 11.8116573 52.434986, 11.8116254 52.4349112, 11.8115761 52.4348125, 11.81155 52.4347588, 11.8115422 52.4347157)",,,,
29280306,Otto-Nuschke-Straße,residential,50,False,False,94.006,"LINESTRING (11.7994977 52.4359933, 11.7994803 52.4358691, 11.7994153 52.4354619, 11.7993631 52.4351519)",,,,
29280306,Otto-Nuschke-Straße,residential,50,False,True,285.47299999999996,"LINESTRING (11.7994977 52.4359933, 11.7995601 52.4363658, 11.7996038 52.4366473, 11.7996783 52.4369417, 11.7998174 52.4374949, 11.7999735 52.4381289, 11.8000273 52.4384028, 11.8000447 52.438538)",,,,
29280306,Otto-Nuschke-Straße,residential,50,False,False,285.473,"LINESTRING (11.8000447 52.438538, 11.8000273 52.4384028, 11.7999735 52.4381289, 11.7998174 52.4374949, 11.7996783 52.4369417, 11.7996038 52.4366473, 11.7995601 52.4363658, 11.7994977 52.4359933)",,,,
621130988,Schönwalder Chaussee,residential,50,False,True,101.69,"LINESTRING (11.8000447 52.438538, 11.8003786 52.4385191, 11.8005553 52.4385086, 11.8011239 52.4384752, 11.8015381 52.4384513)",,,,
29280306,Otto-Nuschke-Straße,residential,50,False,True,47.076,"LINESTRING (11.7992957 52.4347306, 11.7993037 52.4348099, 11.799326 52.4349389, 11.799332 52.4349716, 11.7993514 52.4350783, 11.7993631 52.4351519)",,,,
29280307,Rosa-Luxemburg-Straße,residential,30,False,False,235.173,"LINESTRING (11.7992957 52.4347306, 11.7995344 52.4347193, 11.8008562 52.4346719, 11.8013238 52.4346542, 11.8027578 52.4345974)",,,,
