osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,junction,bridge,ref
25628103,True,1,Jetenburger Straße,residential,50,False,32.854,"LINESTRING (9.0549758 52.2652546, 9.0551499 52.2651497, 9.0552177 52.2651296, 9.055318 52.2650999, 9.0553642 52.2650857)",,,,
336485246,False,2,Jetenburger Straße,residential,50,False,197.06,"LINESTRING (9.0549758 52.2652546, 9.0539666 52.2655099, 9.0536802 52.2655824, 9.0532937 52.2656164, 9.0529938 52.2656428, 9.0527242 52.2656441, 9.0524243 52.2656215, 9.0521996 52.2655959)",,,,
"[338105437, 25628094]",False,"['2', '3']",Ulmenallee,tertiary,50,False,227.81799999999998,"LINESTRING (9.0557833 52.2617573, 9.0557607 52.2613565, 9.0557494 52.2611569, 9.0557165 52.2606145, 9.0556851 52.2600885, 9.0556559 52.25971)",,,,
"[15035840, 1239469532, 338105404]",False,"['2', '3']",Obertorstraße,tertiary,50,True,174.563,"LINESTRING (9.0557833 52.2617573, 9.0554217 52.2616899, 9.054884 52.2615908, 9.0539561 52.261417, 9.0535477 52.2613397, 9.0534708 52.2613258, 9.0533295 52.2613003)",7,,,
"[336485250, 338105435]",False,"['2', '3']",Scheier Straße,tertiary,50,True,161.371,"LINESTRING (9.0557833 52.2617573, 9.0557699 52.2619249, 9.0557376 52.2623268, 9.0557231 52.2625082, 9.0556671 52.2632068)",,,,
961819091,True,1,Georgstraße,tertiary,50,False,20.932000000000002,"LINESTRING (9.0484764 52.2580485, 9.0485437 52.2580625, 9.0486028 52.2580944, 9.048636 52.2581381, 9.0486374 52.2581864)",,roundabout,,
"[1217494274, 15035837]",False,2,Schulstraße,tertiary,50,False,81.59299999999999,"LINESTRING (9.0484228 52.2582858, 9.0484222 52.258386, 9.048431 52.258443, 9.0484985 52.2586004, 9.0485502 52.2586771, 9.0487784 52.2589134, 9.0488251 52.2589617)",5,,,
1020972980,True,1,Georgstraße,tertiary,50,False,18.232,"LINESTRING (9.0484228 52.2582858, 9.0483503 52.2582671, 9.0482791 52.2582272, 9.0482585 52.2581719)",,roundabout,,
25628145,True,1,Wallstraße,residential,30,False,190.78000000000003,"LINESTRING (9.0525564 52.2611386, 9.0522933 52.2618942, 9.0522458 52.2619857, 9.0521139 52.2620665, 9.0519222 52.26214, 9.0510737 52.2624293)",,,,
28449398,True,1,Herderstraße,residential,30,False,226.99099999999999,"LINESTRING (9.0525564 52.2611386, 9.0527696 52.2608497, 9.0528947 52.2606268, 9.0528689 52.2604759, 9.0516364 52.2593721)",,,,
"[148357203, 364376743]",False,3,Obertorstraße,tertiary,50,False,55.661,"LINESTRING (9.0525564 52.2611386, 9.052835 52.2612085, 9.0533295 52.2613003)",,,,
"[1217494274, 364376521, 148357202, 1239469529, 1239469530]",False,3,"['Schulstraße', 'Lange Straße']",tertiary,50,True,360.63199999999995,"LINESTRING (9.0525564 52.2611386, 9.052353 52.2610692, 9.0523118 52.2610517, 9.0522418 52.2610221, 9.0521612 52.2609875, 9.051827 52.2608447, 9.0517258 52.2607999, 9.0512349 52.2605908, 9.0510177 52.2604978, 9.050885 52.2604428, 9.0507458 52.260406, 9.050606 52.2603829, 9.0505523 52.2603743, 9.0504559 52.2603588, 9.0503213 52.2603156, 9.0502332 52.2602565, 9.0501258 52.2601618, 9.050083 52.2601265, 9.0497745 52.259863, 9.0493843 52.2595076, 9.0488251 52.2589617)","['6', '5']",,,
"[15035840, 1239469532, 338105404]",False,"['2', '3']",Obertorstraße,tertiary,50,False,174.563,"LINESTRING (9.0533295 52.2613003, 9.0534708 52.2613258, 9.0535477 52.2613397, 9.0539561 52.261417, 9.054884 52.2615908, 9.0554217 52.2616899, 9.0557833 52.2617573)",7,,,
15035841,False,2,Unterwallweg,tertiary,30,False,228.62400000000002,"LINESTRING (9.0533295 52.2613003, 9.0532186 52.2616082, 9.0531908 52.2617113, 9.0531499 52.2619133, 9.0531073 52.2620759, 9.0530752 52.2621987, 9.0530308 52.2622955, 9.052949 52.2623808, 9.0527451 52.2624892, 9.052352 52.2626158, 9.05163 52.2628645)",,,,
