osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,bridge
152473580,Michelsberg,residential,False,True,132.441,"LINESTRING (11.4095917 49.7682968, 11.4097208 49.7683249, 11.4098175 49.7681486, 11.4098958 49.7679294, 11.4099588 49.7678752, 11.4100208 49.7678575, 11.4100702 49.7678851, 11.4102703 49.7681774, 11.4103492 49.7682271, 11.4105489 49.7682967)",,,,,
"[314365713, 314365714, 152473595]",Pegnitzer Straße,primary,False,False,146.79000000000002,"LINESTRING (11.4095917 49.7682968, 11.4094907 49.7684489, 11.4093653 49.7686147, 11.4092711 49.7687102, 11.4091778 49.7688051, 11.409025 49.7689182, 11.4088236 49.7690236, 11.4087206 49.7690611, 11.4085549 49.7691077, 11.4083885 49.7691451, 11.4082076 49.7691726)","['2', '3']",B 470,50,,
"[1225837056, 19851649]",Alter Burgweg,residential,False,True,177.398,"LINESTRING (11.412347 49.7713504, 11.4121974 49.7712527, 11.4121673 49.7712252, 11.4118859 49.771084, 11.4116547 49.7709715, 11.4114365 49.7708742, 11.4112106 49.7707952, 11.410989 49.7706984, 11.4106264 49.7705867, 11.4104751 49.7705322, 11.4103183 49.7704574)",,,,,
139506683,Löhrgäßchen,unclassified,False,False,41.549,"LINESTRING (11.412347 49.7713504, 11.4120703 49.7713623, 11.4117691 49.7713587)",,,,destination,
139506683,Löhrgäßchen,unclassified,False,True,41.549,"LINESTRING (11.4117691 49.7713587, 11.4120703 49.7713623, 11.412347 49.7713504)",,,,destination,
"[30783572, 147589556, 30783575]",Mariental,secondary,True,False,77.985,"LINESTRING (11.4117691 49.7713587, 11.4118577 49.7714156, 11.4118969 49.7714808, 11.4119916 49.771638, 11.4120721 49.7717279, 11.4123551 49.7719376)",,St 2163,,,yes
8405155,Freiherr-von-Redwitz-Gasse,residential,False,False,128.95399999999998,"LINESTRING (11.4079864 49.7717322, 11.4080918 49.7716665, 11.4083567 49.7715956, 11.4085817 49.771552, 11.4088371 49.7715262, 11.4089327 49.7714574, 11.4090784 49.7711854, 11.4091505 49.7710105)",,,,,
"[152473219, 224861951]",Am Stadtgraben,residential,False,True,170.425,"LINESTRING (11.4079864 49.7717322, 11.4077819 49.7716546, 11.4075871 49.771579, 11.4074921 49.7715254, 11.407379 49.7714597, 11.4072166 49.7713415, 11.4070832 49.7712263, 11.4069844 49.7711131, 11.406922 49.7710225, 11.4068725 49.7709085, 11.4068512 49.7707864, 11.4068475 49.7706778, 11.4068483 49.7706247, 11.4068502 49.7705057)",,,30,,
"[30783627, 30783628, 30416092, 30416093, 1225837055]",Am Stadtgraben,residential,False,False,157.821,"LINESTRING (11.4079864 49.7717322, 11.4082639 49.7718244, 11.4083945 49.7718726, 11.4085913 49.7719417, 11.4087565 49.7719877, 11.4088241 49.7720071, 11.4090219 49.772048, 11.4091576 49.7720644, 11.4093579 49.7720874, 11.4095536 49.7721053, 11.4097095 49.7721126, 11.4098275 49.7721094, 11.4100594 49.7720809)",,,30,,yes
152473223,,primary,False,True,18.696,"LINESTRING (11.4059624 49.7696761, 11.4061301 49.7695475)",2,B 470,50,,
