osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,bridge,est_width,width
741175468,2,St 2450,secondary,50,False,False,137.497,"LINESTRING (10.1661456 49.8016271, 10.1658151 49.8015803, 10.16524 49.8014747, 10.1648769 49.8013963, 10.1647069 49.8013563, 10.1643217 49.8012554)",,,,
14792492,2,KT 25,tertiary,50,False,False,37.534,"LINESTRING (10.1643217 49.8012554, 10.164286 49.8013095, 10.164223 49.801448, 10.164191 49.8015808)",,,,
40982578,2,St 2450,secondary,50,False,False,221.35999999999999,"LINESTRING (10.1643217 49.8012554, 10.1640362 49.8011731, 10.1637852 49.8011012, 10.1629615 49.8008282, 10.1618829 49.8004761, 10.1615542 49.8003777)",,,,
741175468,2,St 2450,secondary,50,False,True,137.49699999999999,"LINESTRING (10.1643217 49.8012554, 10.1647069 49.8013563, 10.1648769 49.8013963, 10.16524 49.8014747, 10.1658151 49.8015803, 10.1661456 49.8016271)",,,,
14792492,2,KT 25,tertiary,50,False,False,34.126,"LINESTRING (10.164191 49.8015808, 10.1642131 49.8016601, 10.1642995 49.8018084, 10.1643183 49.8018752)",,,,
14792492,2,KT 25,tertiary,50,False,True,37.534,"LINESTRING (10.164191 49.8015808, 10.164223 49.801448, 10.164286 49.8013095, 10.1643217 49.8012554)",,,,
"[42987001, 85602201]",,,living_street,,False,True,35.907000000000004,"LINESTRING (10.164191 49.8015808, 10.1641116 49.8015815, 10.1638563 49.8016329, 10.1637072 49.8016564)",Bamberger Straße,,,
14792492,2,KT 25,tertiary,50,False,True,34.126,"LINESTRING (10.1643183 49.8018752, 10.1642995 49.8018084, 10.1642131 49.8016601, 10.164191 49.8015808)",,,,
24702255,2,KT 25,tertiary,30,False,False,74.553,"LINESTRING (10.1643183 49.8018752, 10.1643083 49.8019734, 10.164302 49.8020358, 10.1642478 49.8022407, 10.164136 49.8025336)",Am Felsenkeller,,,
240620045,,,residential,30,False,True,222.06,"LINESTRING (10.1643183 49.8018752, 10.1645153 49.8019743, 10.1646128 49.8020234, 10.1647084 49.8020682, 10.1649316 49.8021428, 10.1655705 49.8023156, 10.1659876 49.8024245, 10.1661305 49.8024511, 10.1662141 49.8024666, 10.1671445 49.80265)",Weingartenstraße,,,
24651178,,,residential,30,True,False,191.78199999999998,"LINESTRING (10.164136 49.8025336, 10.1645395 49.8026223, 10.1648176 49.8026962, 10.1656492 49.8029969, 10.1662102 49.8031499, 10.1662918 49.8031619, 10.1665902 49.8031771)",Michael-Göbel-Straße,,,
24702255,2,KT 25,tertiary,30,False,False,92.108,"LINESTRING (10.164136 49.8025336, 10.1640209 49.802943, 10.1640037 49.8032324, 10.1640127 49.8032967, 10.1640425 49.8033515)",Am Felsenkeller,,,
24702255,2,KT 25,tertiary,30,False,True,74.553,"LINESTRING (10.164136 49.8025336, 10.1642478 49.8022407, 10.164302 49.8020358, 10.1643083 49.8019734, 10.1643183 49.8018752)",Am Felsenkeller,,,
24545621,,,residential,30,False,False,68.514,"LINESTRING (10.1641506 49.8034033, 10.1650417 49.8036244)",Luitpold-Baumann-Straße,,,
24702253,2,KT 25,tertiary,50,False,True,9.758,"LINESTRING (10.1641506 49.8034033, 10.1640953 49.8033844, 10.1640425 49.8033515)",Neuseser Straße,,,
498355095,,KT 25,tertiary,50,False,False,105.72300000000001,"LINESTRING (10.1641506 49.8034033, 10.1641526 49.8035173, 10.164162 49.8035996, 10.1641681 49.803655, 10.1641388 49.8038948, 10.164123 49.8040173, 10.1641043 49.8041988, 10.1641107 49.8043521)",Neuseser Straße,,,
15081196,,,residential,,False,False,56.653,"LINESTRING (10.1562362 49.8027389, 10.1564121 49.8028336, 10.1564679 49.8029254, 10.1566067 49.8029933, 10.1568308 49.8030354)",,,,
30567376,2,,residential,30,False,False,55.449,"LINESTRING (10.1562362 49.8027389, 10.1564989 49.8024808, 10.156677 49.8023297)",Würzburger Straße,,,
30567376,2,,residential,30,False,True,110.083,"LINESTRING (10.1562362 49.8027389, 10.1561387 49.8028048, 10.155923 49.802903, 10.1558438 49.8029361, 10.1557135 49.8029603, 10.1551894 49.8030099, 10.1550876 49.8030344, 10.1548275 49.8030431)",Würzburger Straße,,,
14793416,,,residential,,False,False,216.852,"LINESTRING (10.1568308 49.8030354, 10.156787 49.8031133, 10.1567279 49.8032181, 10.1568618 49.8033104, 10.1574091 49.8033496, 10.1582643 49.803436, 10.159181 49.8035733, 10.1593451 49.8035939)",Kühngasse,,,
15081196,,,residential,,False,True,56.653,"LINESTRING (10.1568308 49.8030354, 10.1566067 49.8029933, 10.1564679 49.8029254, 10.1564121 49.8028336, 10.1562362 49.8027389)",,,,
39394660,,,residential,,False,False,39.367999999999995,"LINESTRING (10.1568308 49.8030354, 10.1571409 49.8030472, 10.1572532 49.8030327, 10.1573742 49.8030171)",Langgasse,,,
14793306,2,,secondary,50,False,False,49.486000000000004,"LINESTRING (10.1615542 49.8003777, 10.161527 49.8004158, 10.1614437 49.8005324, 10.1614033 49.8005666, 10.1613439 49.8006043, 10.1612668 49.8006421, 10.1612237 49.8006649, 10.1611752 49.8006919, 10.161135 49.8007198)",Am Bach,,,
40982578,2,St 2450,secondary,50,False,True,221.35999999999999,"LINESTRING (10.1615542 49.8003777, 10.1618829 49.8004761, 10.1629615 49.8008282, 10.1637852 49.8011012, 10.1640362 49.8011731, 10.1643217 49.8012554)",,,,
42987000,2,St 2270,secondary,50,False,False,37.513,"LINESTRING (10.1608784 49.8012053, 10.1607887 49.8014579, 10.1607523 49.8015325)",Am Bach,,,
"[32459960, 26245937, 115097495]",,,residential,,False,False,21.741,"LINESTRING (10.1608784 49.8012053, 10.160787 49.8012004, 10.1607127 49.8011956, 10.1606601 49.8012003, 10.1605771 49.8012059)",Landgerichtsgasse,yes,,
398852725,2,St 2270,secondary,50,False,True,33.725,"LINESTRING (10.1608784 49.8012053, 10.1609566 49.8010107, 10.160998 49.800912)",Am Bach,,,
"[24731019, 740979646]",,,living_street,,False,False,88.072,"LINESTRING (10.1608784 49.8012053, 10.1609674 49.8012192, 10.1610285 49.8012359, 10.1613507 49.8013565, 10.1615264 49.8014177, 10.1616617 49.8015002, 10.1617473 49.8015966, 10.1617889 49.8016821)",Maingasse,,,
42987000,2,St 2270,secondary,50,False,True,37.513,"LINESTRING (10.1607523 49.8015325, 10.1607887 49.8014579, 10.1608784 49.8012053)",Am Bach,,,
498355099,2,St 2270,secondary,50,False,False,60.068,"LINESTRING (10.1607523 49.8015325, 10.1607315 49.8015605, 10.1605872 49.8017904, 10.1604482 49.8020356)",Am Bach,,,
"[25026140, 740979645]",,,living_street,,False,True,72.616,"LINESTRING (10.1607523 49.8015325, 10.1608837 49.8015666, 10.1609627 49.8015854, 10.1611946 49.8016978, 10.1616042 49.8018783)",Erbsengasse,,,
26163929,,,residential,,False,True,13.558,"LINESTRING (10.1604482 49.8020356, 10.1603617 49.8020183, 10.1602679 49.8019992)",Spitalgasse,,,
32152257,2,St 2270,secondary,50,False,False,38.419,"LINESTRING (10.1604482 49.8020356, 10.1603454 49.8021267, 10.1602941 49.8021718, 10.1601938 49.8022321, 10.1600886 49.8022887)",Rathausplatz,,,
498355099,2,St 2270,secondary,50,False,True,60.068000000000005,"LINESTRING (10.1604482 49.8020356, 10.1605872 49.8017904, 10.1607315 49.8015605, 10.1607523 49.8015325)",Am Bach,,,
"[693675224, 24632187]",,,living_street,,False,True,38.63,"LINESTRING (10.1604482 49.8020356, 10.160558 49.8023192, 10.1606025 49.8023662)",Rathausplatz,,,
693675228,2,St 2270,secondary,50,False,True,10.447,"LINESTRING (10.1599775 49.8023494, 10.1600886 49.8022887)",Rathausplatz,,,
"[398852728, 398852729, 741020243]","['2', '1']",,residential,"['50', '30']",False,True,62.766999999999996,"LINESTRING (10.1599775 49.8023494, 10.1599225 49.8023343, 10.1596249 49.8022951, 10.1595586 49.8022838, 10.1594553 49.8022631, 10.1591258 49.8022265)",Würzburger Straße,,,
"[741020244, 741181431]",,St 2270,secondary,50,False,False,50.980000000000004,"LINESTRING (10.1599775 49.8023494, 10.15995 49.8023886, 10.1599119 49.8026221, 10.1598972 49.8028025)",Schweinfurter Straße,,,
24628099,,,living_street,,False,True,59.735,"LINESTRING (10.1598972 49.8028025, 10.1602289 49.8028745, 10.160462 49.8029047, 10.1607062 49.8029141)",Mansgasse,,,
741181431,,St 2270,secondary,50,False,False,43.419000000000004,"LINESTRING (10.1598972 49.8028025, 10.1598877 49.8029203, 10.1598828 49.8030347, 10.1598895 49.8031033, 10.1599133 49.8031913)",Schweinfurter Straße,,,
"[741020244, 741181431]",,St 2270,secondary,50,False,True,50.980000000000004,"LINESTRING (10.1598972 49.8028025, 10.1599119 49.8026221, 10.15995 49.8023886, 10.1599775 49.8023494)",Schweinfurter Straße,,,
24702194,,,living_street,,False,False,47.409,"LINESTRING (10.1599133 49.8031913, 10.1600139 49.8031902, 10.1602612 49.8032144, 10.1605704 49.8032274)",Eichgasse,,,
"[39394660, 741020245]",,,residential,,False,True,120.906,"LINESTRING (10.1599133 49.8031913, 10.1598722 49.8031924, 10.1596769 49.8031979, 10.1592254 49.8032106, 10.1582337 49.8031499)",Langgasse,,,
741181431,,St 2270,secondary,50,False,False,46.027,"LINESTRING (10.1599133 49.8031913, 10.159928 49.8035432, 10.1599186 49.8036048)",Schweinfurter Straße,,,
741181431,,St 2270,secondary,50,False,True,43.419,"LINESTRING (10.1599133 49.8031913, 10.1598895 49.8031033, 10.1598828 49.8030347, 10.1598877 49.8029203, 10.1598972 49.8028025)",Schweinfurter Straße,,,
741181431,,St 2270,secondary,50,False,True,6.395,"LINESTRING (10.1598936 49.80366, 10.1599186 49.8036048)",Schweinfurter Straße,,,
741020246,,,residential,,False,True,40.044,"LINESTRING (10.1598936 49.80366, 10.15986 49.803656, 10.1593451 49.8035939)",Kühngasse,,,
"[741181430, 32152255]",,St 2270,secondary,50,False,False,159.29,"LINESTRING (10.1598936 49.80366, 10.159779 49.8038189, 10.159681 49.8039565, 10.1596451 49.8039968, 10.1594813 49.8042361, 10.1593913 49.8044017, 10.1592837 49.8046281, 10.1592261 49.8048036, 10.1591943 49.8050086)",Schweinfurter Straße,,,
