osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,ref,lanes,bridge,access,junction
9509366,Kaiserstraße,tertiary,30,5,False,True,93.214,"LINESTRING (8.437147 52.8927417, 8.4370905 52.8929577, 8.4370623 52.8930999, 8.4369767 52.8935735)",,,,,
10783156,Konradstraße,residential,10,,False,False,163.055,"LINESTRING (8.437147 52.8927417, 8.4377616 52.8927946, 8.4381444 52.893084, 8.4387477 52.8935543, 8.4388774 52.8936542)",,,,,
9702991,Gartenstraße,living_street,,,False,True,209.00900000000001,"LINESTRING (8.4339076 52.8936198, 8.4344108 52.8936893, 8.4345783 52.8936953, 8.4348531 52.8936691, 8.4351568 52.8936401, 8.4354395 52.8936101, 8.4357469 52.8935774, 8.4359135 52.8935596, 8.4362456 52.8935197, 8.4364128 52.8935168, 8.4369767 52.8935735)",,,,,
1209689225,Deekenstraße,residential,50,,False,False,71.376,"LINESTRING (8.4339076 52.8936198, 8.4339341 52.8935741, 8.433944 52.8935569, 8.4341499 52.8931049, 8.434231 52.8930103)",,,,,
"[1209689225, 109407187]",Deekenstraße,residential,50,,False,True,145.048,"LINESTRING (8.4339076 52.8936198, 8.4337502 52.8938573, 8.433538 52.8941403, 8.4334613 52.8942174, 8.433381 52.8943024, 8.4333022 52.8943864, 8.4331246 52.8945756, 8.4330085 52.8946763, 8.432865 52.89475)",,,,,
"[27822921, 1209689226]",Feldstraße,tertiary,50,,False,True,245.765,"LINESTRING (8.434231 52.8930103, 8.433844 52.8930933, 8.4335778 52.893134, 8.4333054 52.8931452, 8.4330586 52.8931418, 8.4327778 52.8931176, 8.4324917 52.8930734, 8.4324203 52.8930578, 8.431371 52.8928282, 8.4308895 52.8927176, 8.4308472 52.8927079, 8.4307322 52.8926758)",K 248,,,,
1209689225,Deekenstraße,residential,50,,False,True,71.376,"LINESTRING (8.434231 52.8930103, 8.4341499 52.8931049, 8.433944 52.8935569, 8.4339341 52.8935741, 8.4339076 52.8936198)",,,,,
109406914,Heemstraße,tertiary,50,,False,False,204.56700000000004,"LINESTRING (8.4379085 52.9009365, 8.4365951 52.9006183, 8.4364888 52.9005926, 8.4355006 52.9003564, 8.4353456 52.9003321, 8.4351895 52.9003164, 8.4350511 52.9003114)",,,,,
"[893397696, 109406914, 11813836, 1076606447, 29355674]","['Heembrücke', 'Im Hagen', 'Heemstraße']",tertiary,50,,False,True,166.969,"LINESTRING (8.4379085 52.9009365, 8.4387019 52.9011054, 8.4387884 52.9011237, 8.4391942 52.9012064, 8.4397559 52.9013149, 8.4401159 52.9013877, 8.440266 52.9014185)",,2,yes,,
9703009,Ahlhorner Straße,tertiary,50,,False,True,12.694,"LINESTRING (8.430372 52.8951538, 8.4305496 52.8951144)",,,,,
9927695,Wilhelmshöhe,residential,,,True,False,19.366,"LINESTRING (8.430372 52.8951538, 8.4302767 52.8949894)",,,,,
9703009,Ahlhorner Straße,tertiary,50,,False,False,35.605999999999995,"LINESTRING (8.430372 52.8951538, 8.4300463 52.8952245, 8.4298702 52.895258)",,,,,
