osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,ref,access
"[25870752, 4857865]",2,Am Bahnhof,residential,50,False,False,147.693,"LINESTRING (9.1430566 53.4825263, 9.1418987 53.4830167, 9.1412394 53.4832976)",,,,
"[4888381, 28448741, 68706847]",2,"['Bremer Straße', 'Gnarrenburger Straße']",tertiary,50,False,True,63.050999999999995,"LINESTRING (9.1430566 53.4825263, 9.1429942 53.4824814, 9.1428275 53.4823388, 9.1427142 53.4822387, 9.1426709 53.4822076, 9.1425096 53.4820625)",,,,
6375521,,Bahnhofstraße,residential,50,False,True,195.997,"LINESTRING (9.1412394 53.4832976, 9.1418051 53.4836461, 9.142413 53.484023, 9.1425853 53.484129, 9.1432852 53.4845723)",,,,
"[25870752, 4857865]",2,Am Bahnhof,residential,50,False,True,147.693,"LINESTRING (9.1412394 53.4832976, 9.1418987 53.4830167, 9.1430566 53.4825263)",,,,
"[28448738, 406144221]",2,Am Bahnhof,residential,50,False,False,99.103,"LINESTRING (9.1412394 53.4832976, 9.1411038 53.4833525, 9.1407747 53.4834704, 9.1401381 53.4836949, 9.1399864 53.483781)",,,,
4860877,,Ernst-Bode-Straße,residential,30,False,False,181.62,"LINESTRING (9.1399864 53.483781, 9.140084 53.4838627, 9.1403963 53.4842205, 9.1405113 53.484351, 9.1409355 53.4848315, 9.1412916 53.4852169)",,,,
"[28448738, 406144221]",2,Am Bahnhof,residential,50,False,True,99.10300000000001,"LINESTRING (9.1399864 53.483781, 9.1401381 53.4836949, 9.1407747 53.4834704, 9.1411038 53.4833525, 9.1412394 53.4832976)",,,,
"[1220473100, 1243406246]",,Friedrich-Wilhelm-Raiffeisen-Straße,residential,30,False,True,305.06199999999995,"LINESTRING (9.1399864 53.483781, 9.1398049 53.483811, 9.1396688 53.4838422, 9.1395454 53.4838721, 9.1394381 53.483904, 9.1388529 53.4840928, 9.1387863 53.4841143, 9.1387421 53.4841342, 9.1387139 53.484151, 9.1386992 53.4841677, 9.1386898 53.4841885, 9.1386951 53.4842057, 9.1387086 53.4842316, 9.1389835 53.484538, 9.1389942 53.4845616, 9.1389982 53.4845843, 9.1389915 53.4846043, 9.1389781 53.484623, 9.1389426 53.4846438, 9.1388802 53.4846657, 9.1386898 53.4847192, 9.1385235 53.4847399, 9.1374432 53.4850942, 9.1369256 53.4852443)",,,,
4860877,,Ernst-Bode-Straße,residential,30,False,True,181.62,"LINESTRING (9.1412916 53.4852169, 9.1409355 53.4848315, 9.1405113 53.484351, 9.1403963 53.4842205, 9.140084 53.4838627, 9.1399864 53.483781)",,,,
8028561,,Hagenahstraße,residential,50,False,False,150.123,"LINESTRING (9.1412916 53.4852169, 9.1415763 53.4851253, 9.1421844 53.4849299, 9.1432852 53.4845723)",,,,
8028561,,Hagenahstraße,residential,50,False,True,134.77,"LINESTRING (9.1412916 53.4852169, 9.1405827 53.485444, 9.1394912 53.4857837)",,,,
1243406242,,Ernst-Bode-Straße,residential,50,False,False,143.518,"LINESTRING (9.1412916 53.4852169, 9.1420912 53.485693, 9.1423283 53.4858394, 9.1424346 53.4859363, 9.1425583 53.4860616, 9.1426886 53.4861938)",,,,
26194359,,Findorffstraße,residential,30,False,False,101.34799999999998,"LINESTRING (9.1416281 53.4812311, 9.142125 53.4810209, 9.1423632 53.4808588, 9.1425241 53.4807151, 9.1425956 53.4805602)",5.6,,,
28448779,,Am Bahnhof-Süd,residential,30,False,True,132.315,"LINESTRING (9.1416281 53.4812311, 9.141023 53.4815703, 9.1404601 53.481786, 9.1403708 53.4818168, 9.1401552 53.4818853, 9.1400085 53.4819071)",,,,
