osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width
115801084,2,L 82,Großstraße,secondary,50,False,False,29.939,"LINESTRING (12.6896674 52.0721212, 12.689583 52.0723854)",
92292207,,,Grünstraße,residential,,False,False,130.818,"LINESTRING (12.6896674 52.0721212, 12.6887755 52.0721024, 12.688627 52.0721018, 12.688349 52.0721006, 12.6877549 52.0721214)",
115801084,2,L 82,Großstraße,secondary,50,False,True,68.57900000000001,"LINESTRING (12.6896674 52.0721212, 12.689732 52.071898, 12.689817 52.0716641, 12.6898819 52.0715191)",
43321866,1,L 82,Großstraße,secondary,50,True,False,37.454,"LINESTRING (12.6888776 52.0756672, 12.6885771 52.075724, 12.6884865 52.0757347, 12.6884195 52.075739, 12.6883455 52.07574)",
77909370,,,Straße der Jugend,unclassified,,False,False,62.962,"LINESTRING (12.6902118 52.0707957, 12.6911322 52.0707725)",
24874466,2,L 83,Lindenstraße,secondary,50,False,False,199.481,"LINESTRING (12.6902118 52.0707957, 12.6893198 52.0706414, 12.6889109 52.0705901, 12.6884357 52.0705381, 12.6877469 52.0704749, 12.6873555 52.0704404)",
591561325,2,L 82,Großstraße,secondary,50,False,False,74.278,"LINESTRING (12.6902118 52.0707957, 12.6899499 52.0713687, 12.6899179 52.0714388)",
30252347,,,Mittelstraße,residential,,False,True,80.38,"LINESTRING (12.6883316 52.0743869, 12.6877127 52.0743955, 12.6871564 52.0744132)",
"[76833355, 681076068]",,L 82,Mittelstraße,secondary,50,True,False,57.739000000000004,"LINESTRING (12.6883316 52.0743869, 12.6884331 52.0743545, 12.6888932 52.0743568, 12.6889571 52.0743575, 12.6891635 52.0743596)",
115801084,2,L 82,Großstraße,secondary,50,False,True,7.832,"LINESTRING (12.6891635 52.0743596, 12.6891728 52.0742894)",
43321866,1,L 82,Großstraße,secondary,50,True,False,47.197,"LINESTRING (12.6891635 52.0743596, 12.6891398 52.0747218, 12.6891324 52.0747836)",
30252348,1,L 82,Belziger Straße,secondary,50,True,False,46.849000000000004,"LINESTRING (12.6883035 52.0748032, 12.6882925 52.0744427, 12.6883316 52.0743869)",
459456278,2,L 82,Bahnhofstraße,secondary,50,False,True,26.267,"LINESTRING (12.6884035 52.0767479, 12.6884204 52.0765119)",
43321865,2,L 82,Belziger Straße,secondary,50,False,False,85.984,"LINESTRING (12.6883455 52.07574, 12.6884204 52.0765119)",
30252348,1,L 82,Belziger Straße,secondary,50,True,False,104.271,"LINESTRING (12.6883455 52.07574, 12.6883386 52.0756346, 12.6883078 52.075403, 12.6882984 52.0751384, 12.6883035 52.0748032)",
76703351,,,Gartenstraße,residential,,True,False,233.64799999999994,"LINESTRING (12.6883455 52.07574, 12.6878639 52.075707, 12.6873086 52.0756841, 12.6872043 52.0756569, 12.6871458 52.0756157, 12.6870119 52.0753894, 12.6869031 52.074837, 12.6868507 52.0746222, 12.6868488 52.0745391, 12.686893 52.0744852, 12.6869918 52.0744441, 12.6871564 52.0744132)",
30252347,,,Mittelstraße,residential,,False,False,80.38,"LINESTRING (12.6871564 52.0744132, 12.6877127 52.0743955, 12.6883316 52.0743869)",
92292249,,,Grünstraße,residential,,False,True,259.104,"LINESTRING (12.6871564 52.0744132, 12.6872207 52.073748, 12.6873428 52.0732867, 12.6875706 52.0724379, 12.6877549 52.0721214)",
76703923,,,Feldstraße,residential,,False,False,308.05300000000005,"LINESTRING (12.6877549 52.0721214, 12.6874684 52.0721179, 12.6873665 52.0721283, 12.6872925 52.072173, 12.6872193 52.0722439, 12.6871812 52.0723308, 12.6870803 52.0726023, 12.6869311 52.0730955, 12.6867702 52.07382, 12.6867158 52.0742356, 12.6866894 52.0743458, 12.6865122 52.074464, 12.686524 52.0745563)",
92292207,,,Grünstraße,residential,,False,True,130.818,"LINESTRING (12.6877549 52.0721214, 12.688349 52.0721006, 12.688627 52.0721018, 12.6887755 52.0721024, 12.6896674 52.0721212)",
