osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,lanes
33836147,WUG 9,Deisingerstraße,tertiary,50,False,False,79.199,"LINESTRING (10.9729359 48.9320354, 10.9729628 48.932038, 10.9729822 48.9320418, 10.9730095 48.9320501, 10.9730381 48.9320643, 10.9730668 48.9320869, 10.97311 48.9321412, 10.9732861 48.9324107, 10.9734243 48.9326477)",,,
"[34929264, 24540883, 42870253]",,Schützenstraße,residential,30,False,"[False, True]",169.80500000000004,"LINESTRING (10.9729359 48.9320354, 10.9729229 48.9318955, 10.9726395 48.9313315, 10.9725096 48.9310798, 10.9724781 48.9310074, 10.9723862 48.9307439, 10.9722949 48.9305725)",,,
48125895,WUG 9,Bahnhofstraße,tertiary,50,False,True,346.907,"LINESTRING (10.9729359 48.9320354, 10.9728678 48.9320434, 10.9727318 48.9320769, 10.9726491 48.9321002, 10.9725919 48.9321136, 10.9725144 48.9321278, 10.9724304 48.932127, 10.9723504 48.9321211, 10.9722359 48.9320977, 10.9721101 48.9320593, 10.9719067 48.931995, 10.9713693 48.9317983, 10.9709027 48.9315909, 10.9704181 48.9313593, 10.9699675 48.9310774, 10.9695547 48.9307787, 10.9690937 48.9304868)",,,
"[33835433, 24540772]",WUG 9,"['Bauhofstraße', 'Graf-Carl-Straße']",tertiary,50,True,False,360.74999999999994,"LINESTRING (10.9734243 48.9326477, 10.9734889 48.9326352, 10.9740688 48.9325191, 10.9741938 48.932515, 10.9744038 48.9325438, 10.9746142 48.9325753, 10.9746404 48.9325864, 10.9746799 48.9326101, 10.9747085 48.9326416, 10.9747182 48.9326634, 10.9748078 48.9336498, 10.9748989 48.9343501, 10.9749042 48.9344171, 10.9748974 48.9344906, 10.9748803 48.9345585, 10.9748501 48.9346476, 10.9747966 48.9347317, 10.9746871 48.9348172, 10.9746183 48.9348544, 10.9745198 48.9348772)",,,
33836147,WUG 9,Deisingerstraße,tertiary,50,False,True,79.199,"LINESTRING (10.9734243 48.9326477, 10.9732861 48.9324107, 10.97311 48.9321412, 10.9730668 48.9320869, 10.9730381 48.9320643, 10.9730095 48.9320501, 10.9729822 48.9320418, 10.9729628 48.932038, 10.9729359 48.9320354)",,,
"[24540777, 1046090849, 300835612]",,"['Klosterstraße', 'Marktplatz']","['residential', 'living_street']",50,False,False,63.782000000000004,"LINESTRING (10.9741292 48.9347709, 10.9740677 48.9347836, 10.9739938 48.9347951, 10.9737867 48.9348034, 10.9736325 48.9347968, 10.9735689 48.9347898, 10.9732699 48.9347462)",,,
25214830,WUG 9,Deisingerstraße,tertiary,50,True,False,243.893,"LINESTRING (10.9741292 48.9347709, 10.9740821 48.9346894, 10.9740854 48.9345968, 10.9741095 48.934473, 10.9741038 48.9343763, 10.974098 48.9343363, 10.9740689 48.9341335, 10.9740276 48.9340122, 10.9739503 48.9337529, 10.9739011 48.9336311, 10.9737614 48.9332745, 10.9735996 48.9329331, 10.9734612 48.9327044, 10.9734573 48.9326966, 10.9734243 48.9326477)",,,
"[24540773, 166299166, 166299167]",,Stadtmühle,living_street,,False,False,76.62,"LINESTRING (10.9732699 48.9347462, 10.9732019 48.9347736, 10.9729085 48.9347297, 10.9728829 48.9347595, 10.9727977 48.9348588, 10.9727179 48.9349594, 10.9725368 48.9350909)",yes,,
"[24216209, 25214831]",,Klosterstraße,living_street,,False,False,114.054,"LINESTRING (10.9732699 48.9347462, 10.9729486 48.9346595, 10.9728865 48.9346283, 10.9727446 48.934557, 10.9725443 48.934462, 10.9719562 48.9342005)",,,
"[1046090849, 24540777, 300835612]",,"['Klosterstraße', 'Marktplatz']","['living_street', 'residential']",50,False,True,63.782,"LINESTRING (10.9732699 48.9347462, 10.9735689 48.9347898, 10.9736325 48.9347968, 10.9737867 48.9348034, 10.9739938 48.9347951, 10.9740677 48.9347836, 10.9741292 48.9347709)",,,
"[24540773, 166299166, 166299167]",,Stadtmühle,living_street,,False,True,76.62,"LINESTRING (10.9725368 48.9350909, 10.9727179 48.9349594, 10.9727977 48.9348588, 10.9728829 48.9347595, 10.9729085 48.9347297, 10.9732019 48.9347736, 10.9732699 48.9347462)",yes,,
32193989,,Badweg,residential,50,False,False,101.568,"LINESTRING (10.9695287 48.9346525, 10.9691434 48.9349144, 10.9689232 48.9350767, 10.9686205 48.9353423)",,,
32193989,,Badweg,residential,50,False,True,101.568,"LINESTRING (10.9686205 48.9353423, 10.9689232 48.9350767, 10.9691434 48.9349144, 10.9695287 48.9346525)",,,
34929263,,Badweg,residential,50,False,False,38.461,"LINESTRING (10.9686205 48.9353423, 10.9686202 48.9355448, 10.9686067 48.9356451, 10.9685789 48.9356837)",,,
24540882,,Dr.-Wilhelm-Kraft-Weg,residential,30,False,False,24.571,"LINESTRING (10.9690061 48.9322042, 10.9692337 48.9320415)",,,
33836108,,Am Hals,residential,30,False,False,123.299,"LINESTRING (10.9690061 48.9322042, 10.9683157 48.9317678, 10.9678102 48.931422)",,,
"[297598520, 297017513, 24216209, 24216219]",,"['Dr.-Wilhelm-Kraft-Weg', 'Klosterstraße']","['residential', 'living_street']","['7', '30']",False,True,311.71899999999994,"LINESTRING (10.9690061 48.9322042, 10.9695577 48.9325207, 10.970268 48.9331955, 10.9703186 48.9332435, 10.9708724 48.9336008, 10.970979 48.9336493, 10.9711303 48.9337308, 10.9711647 48.9337445, 10.9712132 48.9337644, 10.9712868 48.933795, 10.9714437 48.9338947, 10.971852 48.9341475, 10.9719562 48.9342005)",,building_passage,
34929263,,Badweg,residential,50,False,True,38.461,"LINESTRING (10.9685789 48.9356837, 10.9686067 48.9356451, 10.9686202 48.9355448, 10.9686205 48.9353423)",,,
140493697,WUG 11,Bürgermeister-Rukwid-Straße,tertiary,50,False,False,262.71299999999997,"LINESTRING (10.9685789 48.9356837, 10.9689313 48.9358323, 10.9696771 48.936172, 10.970166 48.9363533, 10.9702703 48.936392, 10.9708137 48.936627, 10.9712598 48.9368077, 10.9716296 48.9369306)",,,
24541848,,Peterleinsbuck,residential,,False,False,71.172,"LINESTRING (10.9716296 48.9369306, 10.9715331 48.9369579, 10.9713989 48.9369614, 10.9712088 48.9370431, 10.9707099 48.9371054)",,,
"[140493697, 42870134, 35559127]",WUG 11,Bürgermeister-Rukwid-Straße,tertiary,50,False,False,212.333,"LINESTRING (10.9716296 48.9369306, 10.9720986 48.9370564, 10.9730239 48.9373047, 10.9734611 48.9374089, 10.9735903 48.9374334, 10.9736927 48.9374464, 10.9737867 48.9374495, 10.9738592 48.9374441, 10.9739604 48.9374296, 10.9740814 48.9374036, 10.9742129 48.9373684, 10.9742804 48.9373485, 10.9743514 48.9373202)",,,
140493697,WUG 11,Bürgermeister-Rukwid-Straße,tertiary,50,False,True,262.713,"LINESTRING (10.9716296 48.9369306, 10.9712598 48.9368077, 10.9708137 48.936627, 10.9702703 48.936392, 10.970166 48.9363533, 10.9696771 48.936172, 10.9689313 48.9358323, 10.9685789 48.9356837)",,,
29350497,WUG 9,Bürgermeister-Rukwid-Straße,tertiary,50,False,True,92.175,"LINESTRING (10.9743514 48.9373202, 10.9743282 48.9372843, 10.9743177 48.9372568, 10.9743153 48.9371712, 10.9743282 48.9370015, 10.9743444 48.9368256, 10.9743715 48.9366832, 10.9743893 48.9366223, 10.974425 48.9365002)",,,
"[140493697, 42870134, 35559127]",WUG 11,Bürgermeister-Rukwid-Straße,tertiary,50,False,True,212.33299999999997,"LINESTRING (10.9743514 48.9373202, 10.9742804 48.9373485, 10.9742129 48.9373684, 10.9740814 48.9374036, 10.9739604 48.9374296, 10.9738592 48.9374441, 10.9737867 48.9374495, 10.9736927 48.9374464, 10.9735903 48.9374334, 10.9734611 48.9374089, 10.9730239 48.9373047, 10.9720986 48.9370564, 10.9716296 48.9369306)",,,
264470493,WUG 11,Dr.-Dr.-Bertha-Kipfmüller-Straße,tertiary,,False,True,124.69800000000001,"LINESTRING (10.9743514 48.9373202, 10.9744503 48.9373921, 10.9750997 48.9377652, 10.9751742 48.9378194, 10.9752301 48.9378714, 10.9754423 48.9381607)",,,
"[1082285952, 505752613, 24541342]",,Beckstraße,residential,30,False,False,168.22499999999997,"LINESTRING (10.9746645 48.9359105, 10.9748181 48.9359313, 10.9750958 48.9359654, 10.9756386 48.9359817, 10.9759624 48.9359705, 10.9762743 48.9359292, 10.9764212 48.9358953, 10.9765427 48.9358469, 10.9768082 48.9356682)",,,
29350497,WUG 9,Bürgermeister-Rukwid-Straße,tertiary,50,False,False,67.894,"LINESTRING (10.9746645 48.9359105, 10.9746261 48.9360329, 10.9745376 48.9362408, 10.974425 48.9365002)",,,
"[33835570, 33835535, 33835479]",WUG 9,An der Altmühlbrücke,tertiary,50,False,True,115.715,"LINESTRING (10.9746645 48.9359105, 10.9746656 48.9358371, 10.9746606 48.9357135, 10.9746591 48.9356864, 10.9746556 48.9356203, 10.9746199 48.9352018, 10.9745198 48.9348772)",yes,,
24540776,WUG 9,Marktplatz,tertiary,50,True,False,32.316,"LINESTRING (10.9745198 48.9348772, 10.9743857 48.9348731, 10.9742224 48.9348349, 10.9741292 48.9347709)",,,1
"[33835479, 33835570, 33835535]",WUG 9,An der Altmühlbrücke,tertiary,50,False,False,115.715,"LINESTRING (10.9745198 48.9348772, 10.9746199 48.9352018, 10.9746556 48.9356203, 10.9746591 48.9356864, 10.9746606 48.9357135, 10.9746656 48.9358371, 10.9746645 48.9359105)",yes,,
24540882,,Dr.-Wilhelm-Kraft-Weg,residential,30,False,True,24.571,"LINESTRING (10.9692337 48.9320415, 10.9690061 48.9322042)",,,
"[289578683, 289578684, 290557309]",,Niederländersteig,residential,,False,"[False, True]",188.59699999999998,"LINESTRING (10.9705081 48.9318845, 10.9703629 48.9318199, 10.9701379 48.9316926, 10.9700134 48.9316123, 10.9697984 48.9315022, 10.9695969 48.9313937, 10.969443 48.9312911, 10.9693412 48.9312242, 10.9691646 48.9311275, 10.9691064 48.9311019, 10.9689247 48.9310219, 10.968812 48.9309878, 10.9684441 48.9308919)",,,
"[289578683, 289578684, 290557309]",,Niederländersteig,residential,,False,"[False, True]",188.597,"LINESTRING (10.9684441 48.9308919, 10.968812 48.9309878, 10.9689247 48.9310219, 10.9691064 48.9311019, 10.9691646 48.9311275, 10.9693412 48.9312242, 10.969443 48.9312911, 10.9695969 48.9313937, 10.9697984 48.9315022, 10.9700134 48.9316123, 10.9701379 48.9316926, 10.9703629 48.9318199, 10.9705081 48.9318845)",,,
29350538,,Sophie-Hoechstetter-Weg,residential,30,True,False,74.959,"LINESTRING (10.9678102 48.931422, 10.9684441 48.9308919)",,,
33836108,,Am Hals,residential,30,False,True,123.299,"LINESTRING (10.9678102 48.931422, 10.9683157 48.9317678, 10.9690061 48.9322042)",,,
