osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,bridge,access
943379800,True,Maubacher Straße,residential,40,False,45.47,"LINESTRING (9.4350411 48.9437506, 9.4350165 48.9436398, 9.4349995 48.9435868, 9.4349527 48.9434735, 9.4349146 48.9433857, 9.4349022 48.9433526)",,,,,
"[943379803, 584944407]",True,Blumenstraße,tertiary,40,False,49.171,"LINESTRING (9.4350411 48.9437506, 9.4350797 48.9435521, 9.435104 48.9433728, 9.4351294 48.943313)",2,K 1917,,,
4304383,True,Blumenstraße,tertiary,40,False,23.235,"LINESTRING (9.4352572 48.9439724, 9.4351363 48.9439504, 9.4350819 48.9439356, 9.4350543 48.9439216, 9.4350315 48.9439048, 9.4349944 48.94387)",,,,,
"[384999700, 944841125, 384999703]",True,Stuttgarter Straße,tertiary,40,False,69.093,"LINESTRING (9.4352572 48.9439724, 9.4347727 48.9441938, 9.434565 48.9442938, 9.4344869 48.944333)",2,K 1917,,,
454574750,True,Blumenstraße,tertiary,40,False,13.722,"LINESTRING (9.4349944 48.94387, 9.4350135 48.9438315, 9.4350411 48.9437506)",3,K 1917,,,
"[148947576, 68307130, 591320333]",False,Annonay-Straße,tertiary,40,False,188.972,"LINESTRING (9.4356152 48.94643, 9.4354915 48.946394, 9.4351754 48.9463718, 9.4350018 48.9463811, 9.4347919 48.9463942, 9.4345986 48.9464177, 9.4343922 48.9464538, 9.4342785 48.9464787, 9.4340402 48.9465466, 9.4339123 48.9465839, 9.4338472 48.9466068, 9.4335405 48.9467246, 9.4333805 48.9468053, 9.4333333 48.9468336, 9.4332411 48.9468889)","['2', '3']",K 1897,,,
477680801,True,Annonay-Straße,tertiary,40,False,34.304,"LINESTRING (9.4356152 48.94643, 9.4356458 48.9463888, 9.4356945 48.9463558, 9.4357565 48.9463345, 9.4358255 48.946327, 9.4358946 48.946334, 9.4359569 48.9463549, 9.435997 48.9463747)",,K 1897,roundabout,,
"[30380004, 171717156, 1111792358, 1111792359, 223595879, 379876524, 379876526]",False,Obere Bahnhofstraße,tertiary,40,"[False, True]",500.3780000000001,"LINESTRING (9.4265744 48.9431774, 9.4268959 48.9432188, 9.4269798 48.9432295, 9.4275916 48.9433393, 9.4276587 48.9433514, 9.4277849 48.9433731, 9.4283151 48.9434542, 9.4286602 48.9435121, 9.4292081 48.94361, 9.4297367 48.9436923, 9.4301235 48.9437616, 9.4304319 48.9438185, 9.430679 48.9438663, 9.4308051 48.9438898, 9.4309865 48.9439216, 9.4310491 48.9439325, 9.4311048 48.9439434, 9.4313128 48.9439877, 9.4314496 48.944014, 9.4318842 48.9440778, 9.43239 48.9441232, 9.4325126 48.9441301, 9.4326369 48.9441371, 9.4329607 48.9441706, 9.4331154 48.9441829, 9.4332368 48.9441974)",2,,,,
"[239215808, 454574754, 30380003, 358934691, 439708423]",False,Obere Bahnhofstraße,tertiary,40,"[False, True]",178.78,"LINESTRING (9.4265744 48.9431774, 9.4264105 48.9431601, 9.4263088 48.9431564, 9.4261886 48.9431619, 9.4260693 48.9431722, 9.4260086 48.9431794, 9.4256867 48.9432212, 9.4255992 48.943229, 9.425587 48.9432279, 9.4254808 48.9432238, 9.4251666 48.943194, 9.424452 48.9430665, 9.4243787 48.9430507, 9.4241812 48.9430093)","['2', '3']",,,,
"[984968120, 4309540]",True,Bahnhofstraße,unclassified,40,False,204.27100000000002,"LINESTRING (9.4265744 48.9431774, 9.4266846 48.9432421, 9.4268625 48.9432925, 9.4270713 48.9433502, 9.4277435 48.9435066, 9.4278726 48.9435366, 9.4283073 48.9436459, 9.4285273 48.9437164, 9.428759 48.9438071, 9.4289689 48.9439254, 9.4290014 48.9440028)",,,,,
