osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,ref,tunnel,bridge,junction
"[36570536, 337163945, 5103531, 37230516]","['Westlicher Stadtgraben', 'Friedhofstraße']",residential,20,False,False,92.861,"LINESTRING (10.0917396 48.8384224, 10.0917214 48.8384691, 10.0916739 48.8385649, 10.0915541 48.8388071, 10.091517 48.8389011, 10.0914731 48.8389992, 10.091405 48.8391655, 10.0914623 48.8392119)",,,,,,
62187741,Friedhofstraße,residential,20,False,True,45.663,"LINESTRING (10.0917396 48.8384224, 10.0916171 48.8383803, 10.0914518 48.8383284, 10.0911794 48.8382417)",2,,,,,
"[255156545, 255156551, 39275884, 25384467, 25384468, 442886872]","['Gmünder Straße', 'Westlicher Stadtgraben']",residential,10,False,"[False, True]",193.83200000000002,"LINESTRING (10.0917396 48.8384224, 10.091818 48.838259, 10.0918801 48.8381247, 10.0920055 48.83786, 10.0920151 48.8378394, 10.0920687 48.8377312, 10.0921369 48.8375982, 10.0921914 48.8374833, 10.0922296 48.8373968, 10.0922614 48.8373291, 10.0922492 48.8372685, 10.0922141 48.8372176, 10.0921623 48.8371801, 10.0919022 48.8370806, 10.0917481 48.8369994, 10.0916931 48.8369639, 10.0916381 48.8369283)",,"['7', '6']",,,,
37256055,Stuttgarter Straße,secondary,50,False,False,12.558,"LINESTRING (10.0923249 48.8350785, 10.0924587 48.8351492)",5,15,,,,
"[256731144, 256731146, 4977894, 256731143]",Julius-Bausch-Straße,secondary,50,True,False,219.74099999999996,"LINESTRING (10.0923249 48.8350785, 10.0924348 48.8349417, 10.0926506 48.8346731, 10.0929022 48.8344057, 10.093153 48.8341604, 10.0932713 48.8340529, 10.0934366 48.8339013, 10.0936662 48.8336995, 10.093826 48.8335659, 10.0938593 48.8335426, 10.0940292 48.833469)","['2', '3']",,,,,
37256055,Stuttgarter Straße,secondary,50,False,True,77.322,"LINESTRING (10.0923249 48.8350785, 10.092147 48.8349804, 10.0921091 48.8349586, 10.0915266 48.8346231)",5,15,,,,
313810665,Walkstraße,secondary,50,False,True,22.925,"LINESTRING (10.0993572 48.8328403, 10.0995468 48.8330044)",2,,L 1080,,,
5019837,Wilhelm-Merz-Straße,residential,,False,False,305.16399999999993,"LINESTRING (10.0993572 48.8328403, 10.0990161 48.8330047, 10.0986377 48.8331871, 10.098066 48.8334626, 10.0972589 48.8338562, 10.0971101 48.8339288, 10.0964151 48.8342583, 10.0959909 48.8344594)",2,,,,,
"[36570532, 23316303]",Alte Heidenheimer Straße,tertiary,,False,False,64.71000000000001,"LINESTRING (10.0982334 48.8378293, 10.098073 48.8379008, 10.097897 48.8379706, 10.097857 48.8379866, 10.097774 48.8380314, 10.0977011 48.8380708, 10.0976731 48.8380877, 10.0975512 48.8381908)",3,,K 3287,,,
"[314843494, 5043863]",Alte Heidenheimer Straße,secondary,50,False,"[False, True]",61.881,"LINESTRING (10.0982334 48.8378293, 10.0982956 48.8377285, 10.0983614 48.837604, 10.0984049 48.8374844, 10.0984303 48.8373776, 10.0983916 48.8372967)","['2', '3']",,L 1080,,,
