osmid,name,highway,maxspeed,access,oneway,reversed,length,geometry,tunnel,lanes,junction
8084738,Roermonder Straße,tertiary,50,destination,False,True,158.29399999999998,"LINESTRING (6.1553656 51.1038772, 6.155415 51.1036607, 6.1555084 51.1033738, 6.1555662 51.1031382, 6.1556932 51.1024693)",,,
24502954,Bahnhofstraße,residential,30,,False,False,148.111,"LINESTRING (6.1553656 51.1038772, 6.1555479 51.1038968, 6.1562163 51.1039844, 6.1573334 51.1041353, 6.157444 51.1041303)",,,
757507280,Rurtalstraße,tertiary,50,,False,True,6.971,"LINESTRING (6.1553656 51.1038772, 6.155335 51.1039007, 6.1552909 51.1039174)",,,
8084734,Graf-Gerhard-Straße,tertiary,30,yes,False,False,156.33,"LINESTRING (6.1554573 51.0963519, 6.1554456 51.0964938, 6.1553367 51.0967808, 6.1552844 51.0969887, 6.1552063 51.0974101, 6.1551717 51.0975694, 6.1551167 51.0977392)",,,
551663640,Graf-Gerhard-Straße,tertiary,20,,True,False,41.856,"LINESTRING (6.1551366 51.0981497, 6.1552773 51.0985156)",,,
8084734,Graf-Gerhard-Straße,tertiary,30,yes,False,True,46.05800000000001,"LINESTRING (6.1551366 51.0981497, 6.1551142 51.0980354, 6.1550957 51.0979743, 6.1550838 51.0978885, 6.1551167 51.0977392)",,,
10588338,Parkstraße,residential,,,False,False,137.386,"LINESTRING (6.1551366 51.0981497, 6.1565863 51.0981981, 6.1571018 51.0982075)",,,
1023364481,Patersgraben,residential,,,False,False,31.644,"LINESTRING (6.1551366 51.0981497, 6.1549884 51.0981785, 6.1547252 51.0982663)",,,
8084733,Kirchstraße,tertiary,50,,True,False,12.395,"LINESTRING (6.1557882 51.0996901, 6.1559573 51.099724)",,,
8084736,,tertiary,50,,False,False,33.322,"LINESTRING (6.1555395 51.1013138, 6.155518 51.101111, 6.1555214 51.1010146)",,,
8084738,Roermonder Straße,tertiary,50,destination,False,False,129.064,"LINESTRING (6.1555395 51.1013138, 6.1555705 51.1016194, 6.155579 51.1016629, 6.1556236 51.1018723, 6.1556388 51.1019463, 6.1556436 51.1019684, 6.1556884 51.1022234, 6.1556932 51.1024693)",,,
8084736,,tertiary,50,,False,True,33.322,"LINESTRING (6.1555214 51.1010146, 6.155518 51.101111, 6.1555395 51.1013138)",,,
8084737,Roermonder Straße,tertiary,20,,True,False,88.515,"LINESTRING (6.1555214 51.1010146, 6.1555256 51.1009843, 6.1555385 51.1008983, 6.1555195 51.1003628, 6.1555136 51.1002712, 6.155511 51.1002193)",,,
24481314,An der Haag,residential,30,,False,True,73.14,"LINESTRING (6.1555214 51.1010146, 6.155277 51.1009667, 6.154899 51.1008746, 6.1545681 51.1007498)",,,
24283533,Am Kulenberg,residential,30,,False,False,162.601,"LINESTRING (6.1545681 51.1007498, 6.154351 51.1010397, 6.1539947 51.1015199, 6.1539477 51.1015884, 6.1539222 51.1016625, 6.1539162 51.1017326, 6.1539031 51.1021241)",,,
24481314,An der Haag,residential,30,,False,False,73.14,"LINESTRING (6.1545681 51.1007498, 6.154899 51.1008746, 6.155277 51.1009667, 6.1555214 51.1010146)",,,
