osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,access,bridge,width
706777984,2,WUG 1,Eichstätter Straße,tertiary,50,False,True,6.84,"LINESTRING (10.9784222 49.0288702, 10.9783702 49.0289214)",,,,
"[26514472, 140494248, 28273781, 1044495446, 1044495448, 1044495449]",,,An der Hagenau,residential,50,False,False,275.355,"LINESTRING (10.9734279 49.0266352, 10.9735013 49.0265886, 10.9737731 49.0265013, 10.9740255 49.0264365, 10.9741712 49.0264159, 10.974442 49.0264164, 10.9748331 49.0264398, 10.9748784 49.0264428, 10.9750281 49.0264602, 10.9751389 49.0264811, 10.9752534 49.0265105, 10.9753554 49.0265438, 10.9754385 49.026586, 10.9755112 49.0266322, 10.9755935 49.0266907, 10.9757148 49.0267768, 10.9758354 49.0268442, 10.9759819 49.0268961, 10.9760571 49.0269155, 10.9761401 49.0269273, 10.9762481 49.0269367, 10.9763791 49.0269405, 10.9765258 49.0269382, 10.9768801 49.0269371)",,,,
26514472,,,An der Hagenau,residential,50,False,True,53.819,"LINESTRING (10.9734279 49.0266352, 10.9733969 49.0267241, 10.9734338 49.0269475, 10.9734574 49.0271149)",,,,
26805934,,,An der Hagenau,residential,50,False,False,87.881,"LINESTRING (10.9734279 49.0266352, 10.9733549 49.0265934, 10.9733341 49.0265217, 10.9733278 49.0260805, 10.9730036 49.0260812)",,,,
9547402,,,Südliche Ringstraße,residential,50,False,True,80.63900000000001,"LINESTRING (10.9734574 49.0271149, 10.9731604 49.0271289, 10.9723589 49.0271972)",,,,
26514472,,,An der Hagenau,residential,50,False,False,53.819,"LINESTRING (10.9734574 49.0271149, 10.9734338 49.0269475, 10.9733969 49.0267241, 10.9734279 49.0266352)",,,,
"[140494389, 140494390]",,,Obere Stadtmühlgasse,residential,,False,False,35.188,"LINESTRING (10.9734574 49.0271149, 10.97348 49.027235, 10.9735208 49.0274286)",,,,
48124965,,,Südliche Ringstraße,tertiary,50,False,True,23.989,"LINESTRING (10.969894 49.027482, 10.9695674 49.0275081)",,,,
"[140494387, 140494386, 26514475, 997789331]",3,,Frauentorstraße,residential,30,False,False,54.507,"LINESTRING (10.969894 49.027482, 10.9699228 49.0275719, 10.9699594 49.0276631, 10.969995 49.0277351, 10.9700579 49.0278991, 10.970085 49.0279556)",,,,
"[972757769, 997789327]",3,,Holzgasse,tertiary,50,False,"[False, True]",75.349,"LINESTRING (10.969894 49.027482, 10.9697906 49.027167, 10.9697948 49.0268116)",,,,
"[997789328, 9547402]",3,,Südliche Ringstraße,residential,50,False,"[False, True]",183.3,"LINESTRING (10.969894 49.027482, 10.9700363 49.0274808, 10.9703928 49.0274819, 10.9707785 49.0274433, 10.97103 49.0274148, 10.9713315 49.0273604, 10.9723589 49.0271972)",,,,
48124965,,,Südliche Ringstraße,tertiary,50,False,False,23.989,"LINESTRING (10.9695674 49.0275081, 10.969894 49.027482)",,,,
