osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,access
"[116065864, 116065865, 240719729]",3,L 409,Freudenstädter Straße,secondary,50,False,True,35.883,yes,"LINESTRING (8.6335652 48.3649948, 8.6336423 48.3649186, 8.6337844 48.3647642, 8.633822 48.364721)",
"[438517461, 438517462]",3,L 409,Freudenstädter Straße,secondary,,False,False,103.154,,"LINESTRING (8.6335652 48.3649948, 8.6335239 48.3650408, 8.6334636 48.3651077, 8.6334016 48.3651765, 8.6333024 48.3654097, 8.6332789 48.365579, 8.633279 48.3656219, 8.633281 48.3656388, 8.6332978 48.3658823)",
"[438517469, 438517470, 438517471]",3,L 424,Stuttgarter Straße,primary,,False,False,130.551,,"LINESTRING (8.6335652 48.3649948, 8.6337371 48.3650981, 8.6343071 48.3654208, 8.6344504 48.365502, 8.6349046 48.3657606)",
"[438517464, 288234345, 240719737, 1138694355]","['4', '2']",L 424,Montendre-Straße,primary,"['50', '60']",False,True,621.8779999999999,,"LINESTRING (8.6335652 48.3649948, 8.6334394 48.3649225, 8.6323218 48.364268, 8.631928 48.3641174, 8.631606 48.3640157, 8.6312118 48.3639178, 8.6308154 48.3638616, 8.6303133 48.363834, 8.6295167 48.3638358, 8.6292882 48.363815, 8.6291328 48.3637995, 8.6287717 48.3637436, 8.6284417 48.3636687, 8.6282314 48.3636049, 8.6280235 48.3635418, 8.6275571 48.36335, 8.6262605 48.3626108)",
55923868,,,Salinestraße,residential,30,False,True,30.665,,"LINESTRING (8.6343701 48.3639847, 8.6339711 48.3639087)",
1029342975,,,Kanalstraße,residential,30,True,False,13.235,,"LINESTRING (8.6343701 48.3639847, 8.6345411 48.3640202)",
34340371,2,L 409,Bahnhofstraße,secondary,50,False,False,13.695,,"LINESTRING (8.6343701 48.3639847, 8.634358 48.364047, 8.6343238 48.3641029)",
34340371,2,L 409,Bahnhofstraße,secondary,50,False,True,79.229,,"LINESTRING (8.6343701 48.3639847, 8.6343603 48.3638552, 8.6343087 48.3637111, 8.6343023 48.3636909, 8.6342815 48.3636256, 8.6341942 48.3633816, 8.6341691 48.3632865)",
"[27490120, 981182201, 34340370, 981170068]",3,L 409,"['Bahnhofstraße', 'Untere Hauptstraße']",secondary,50,False,False,75.092,yes,"LINESTRING (8.6339486 48.3626287, 8.6339717 48.3626599, 8.6339967 48.3627102, 8.6340657 48.3629392, 8.6341291 48.3631496, 8.6341399 48.3631878, 8.6341691 48.3632865)",
116019921,,,Holzhauser Straße,residential,50,False,True,45.872,,"LINESTRING (8.6339486 48.3626287, 8.6341368 48.3625999, 8.6345637 48.3626181)",
1218841825,,L 409,Untere Hauptstraße,secondary,,False,True,42.725,,"LINESTRING (8.6339486 48.3626287, 8.6338685 48.3625719, 8.6337894 48.362542, 8.6336797 48.3625356, 8.6335488 48.3625313, 8.63342 48.362527)",
27490870,,L 409,Untere Hauptstraße,secondary,30,False,True,15.186,,"LINESTRING (8.6329858 48.3625241, 8.6327921 48.3624784)",
27490116,,,Sonnenstraße,residential,,True,False,113.415,,"LINESTRING (8.6329858 48.3625241, 8.6327296 48.3625967, 8.6315536 48.3628909)",
"[1218841825, 27490870]",,L 409,Untere Hauptstraße,secondary,30,False,False,32.081,,"LINESTRING (8.6329858 48.3625241, 8.6332926 48.3625256, 8.63342 48.362527)",
27490870,,L 409,Untere Hauptstraße,secondary,30,False,True,28.609,,"LINESTRING (8.6317983 48.3622915, 8.6314268 48.3622189)",
27490119,,,Brucktorstraße,residential,30,False,True,69.061,,"LINESTRING (8.6317983 48.3622915, 8.631685 48.3625802, 8.6315536 48.3628909)",
27490870,,L 409,Untere Hauptstraße,secondary,30,False,False,76.31400000000001,,"LINESTRING (8.6317983 48.3622915, 8.6323914 48.3624018, 8.6327078 48.3624597, 8.6327921 48.3624784)",
981978926,,,Alte Schulstraße,living_street,,False,False,60.012,,"LINESTRING (8.6317983 48.3622915, 8.6318793 48.3621019, 8.632013 48.361771)",
260998433,,,Weilerstraße,residential,30,False,False,177.777,,"LINESTRING (8.6280246 48.3600088, 8.6278362 48.3599153, 8.6275857 48.3596298, 8.6275076 48.3595661, 8.6270926 48.3592663, 8.6263828 48.3588599)",
"[1014251100, 528425283, 528425284, 438520991]","['2', '3']",L 409,Balinger Straße,secondary,50,False,True,355.595,,"LINESTRING (8.6280246 48.3600088, 8.6280389 48.359988, 8.628061 48.3599706, 8.6280893 48.3599576, 8.6281218 48.3599501, 8.6281516 48.3599484, 8.6281812 48.3599514, 8.628209 48.3599589, 8.6283036 48.3600156, 8.6286336 48.3602574, 8.6294061 48.3607917, 8.6297213 48.3609923, 8.6299287 48.3610783, 8.6301532 48.3611088, 8.6307681 48.3610414, 8.6313517 48.3609908, 8.6320747 48.3609236)",
"[1218841824, 27491026]",,L 409,Obere Hauptstraße,secondary,30,False,False,212.937,,"LINESTRING (8.6280246 48.3600088, 8.6280072 48.3600341, 8.6280011 48.3600597, 8.6279965 48.3600858, 8.6280052 48.3601122, 8.6280317 48.3601505, 8.628279 48.3603127, 8.6286857 48.3605295, 8.6287837 48.3606276, 8.6288009 48.3606445, 8.6291197 48.3610655, 8.6291385 48.3610848, 8.6293654 48.3613177, 8.6294181 48.3613488, 8.6296789 48.3615027)",
27490867,,,Mühlstraße,residential,30,False,False,25.963,,"LINESTRING (8.6296789 48.3615027, 8.6295104 48.3617076)",
27491026,,L 409,Obere Hauptstraße,secondary,30,False,False,64.861,,"LINESTRING (8.6296789 48.3615027, 8.6303997 48.3618357)",
27490866,,,Bergstraße,living_street,,False,True,89.13900000000001,,"LINESTRING (8.6296789 48.3615027, 8.6298326 48.3614368, 8.6301597 48.361418, 8.6307116 48.3613831, 8.630848 48.3614065)",
"[1218841824, 27491026]",,L 409,Obere Hauptstraße,secondary,30,False,True,212.937,,"LINESTRING (8.6296789 48.3615027, 8.6294181 48.3613488, 8.6293654 48.3613177, 8.6291385 48.3610848, 8.6291197 48.3610655, 8.6288009 48.3606445, 8.6287837 48.3606276, 8.6286857 48.3605295, 8.628279 48.3603127, 8.6280317 48.3601505, 8.6280052 48.3601122, 8.6279965 48.3600858, 8.6280011 48.3600597, 8.6280072 48.3600341, 8.6280246 48.3600088)",
27491026,,L 409,Obere Hauptstraße,secondary,30,False,True,64.861,,"LINESTRING (8.6303997 48.3618357, 8.6296789 48.3615027)",
27490110,,,Hirschstraße,residential,30,False,False,58.090999999999994,,"LINESTRING (8.6303997 48.3618357, 8.6306471 48.3615988, 8.630848 48.3614065)",
27490110,,,Hirschstraße,residential,30,False,True,52.495000000000005,,"LINESTRING (8.6303997 48.3618357, 8.6301166 48.3621258, 8.6300131 48.3622318)",
27491026,,L 409,Obere Hauptstraße,secondary,30,False,False,33.62,,"LINESTRING (8.6303997 48.3618357, 8.6307391 48.361983, 8.6307828 48.3619987)",
27490114,,,Marktplatz,residential,,True,False,40.974,,"LINESTRING (8.6314268 48.3622189, 8.6309069 48.3623472)",
27490870,,L 409,Untere Hauptstraße,secondary,30,False,False,28.609,,"LINESTRING (8.6314268 48.3622189, 8.6317983 48.3622915)",
356937184,,L 409,Marktplatz,secondary,30,False,True,53.728,,"LINESTRING (8.6314268 48.3622189, 8.6313875 48.3622125, 8.6310697 48.3621188, 8.6307828 48.3619987)",
55883765,,,Gartenstraße,residential,,False,False,99.44200000000001,,"LINESTRING (8.6364932 48.3630668, 8.6365846 48.3629495, 8.6366836 48.362835, 8.6367742 48.3627302, 8.6367994 48.3625298, 8.6368352 48.3622225)",
116019921,,,Holzhauser Straße,residential,50,False,False,153.18499999999997,,"LINESTRING (8.6364932 48.3630668, 8.6360941 48.3629016, 8.6359533 48.3628434, 8.6358747 48.3628204, 8.6356817 48.3627639, 8.6355267 48.3627325, 8.6353542 48.3627073, 8.6350276 48.3626665, 8.6349501 48.3626568, 8.6345637 48.3626181)",
"[116019921, 1130623614]",,,Holzhauser Straße,residential,50,False,True,28.373,,"LINESTRING (8.6364932 48.3630668, 8.6366931 48.3631577, 8.6368234 48.3631949)",
"[55852515, 55852519]",,,"['Krankenhausweg', 'Kappel']",residential,,False,False,131.301,,"LINESTRING (8.6332978 48.3658823, 8.6331265 48.3658828, 8.6330244 48.3658377, 8.6329496 48.3657815, 8.632906 48.3656942, 8.6329147 48.365584, 8.632943 48.3655458, 8.6330183 48.3654441, 8.633062 48.3654036, 8.633095 48.365373, 8.633193 48.3652824, 8.6332558 48.3652034, 8.6332729 48.3651604, 8.6332772 48.3651073, 8.6332692 48.3650821, 8.6332456 48.3650077, 8.6331929 48.3649536)",
"[438517461, 438517462]",3,L 409,Freudenstädter Straße,secondary,,False,True,103.15400000000001,,"LINESTRING (8.6332978 48.3658823, 8.633281 48.3656388, 8.633279 48.3656219, 8.6332789 48.365579, 8.6333024 48.3654097, 8.6334016 48.3651765, 8.6334636 48.3651077, 8.6335239 48.3650408, 8.6335652 48.3649948)",
"[260998428, 27494436]",,,Jahnstraße,residential,30,False,False,51.04,,"LINESTRING (8.6263828 48.3588599, 8.6263153 48.3588876, 8.6257749 48.3590777)",
260998433,,,Weilerstraße,residential,30,False,True,177.77700000000002,,"LINESTRING (8.6263828 48.3588599, 8.6270926 48.3592663, 8.6275076 48.3595661, 8.6275857 48.3596298, 8.6278362 48.3599153, 8.6280246 48.3600088)",
27490867,,,Mühlstraße,residential,30,False,True,25.963,,"LINESTRING (8.6295104 48.3617076, 8.6296789 48.3615027)",
27490867,,,Mühlstraße,residential,30,False,False,89.847,,"LINESTRING (8.6295104 48.3617076, 8.629198 48.3621207, 8.6289644 48.3624296)",
27490869,,,Am Mühlkanal,residential,30,False,False,69.116,,"LINESTRING (8.6295104 48.3617076, 8.6299148 48.3621293, 8.6300131 48.3622318)",
27490115,,,Brühlstraße,residential,,False,True,112.84100000000001,,"LINESTRING (8.6289644 48.3624296, 8.6295105 48.3625373, 8.6295242 48.36254, 8.6299176 48.3626123, 8.62997 48.3626219, 8.630431 48.3627128)",
27490867,,,Mühlstraße,residential,30,False,True,89.847,,"LINESTRING (8.6289644 48.3624296, 8.629198 48.3621207, 8.6295104 48.3617076)",
127530666,,,Neckarstraße,residential,30,False,False,156.72099999999998,,"LINESTRING (8.6289644 48.3624296, 8.6283393 48.3622528, 8.6280008 48.3621372, 8.6278221 48.3620762, 8.6277406 48.3620402, 8.6274372 48.3619061, 8.6273427 48.3618644, 8.6273346 48.3618608, 8.6271361 48.3617344)",
27490115,,,Brühlstraße,residential,,False,False,14.041,,"LINESTRING (8.6306105 48.3627543, 8.630431 48.3627128)",
27490115,,,Brühlstraße,residential,,False,True,71.272,,"LINESTRING (8.6306105 48.3627543, 8.6309033 48.3628126, 8.6311797 48.3628677, 8.631542 48.3629191)",
27490114,,,Marktplatz,residential,,True,False,39.821,,"LINESTRING (8.6309069 48.3623472, 8.6307828 48.3619987)",
27490111,,,Kölreuterstraße,residential,,True,False,50.299,,"LINESTRING (8.6309069 48.3623472, 8.6307864 48.362501, 8.6306105 48.3627543)",
27490114,,,Marktplatz,residential,,True,False,35.415,,"LINESTRING (8.6307828 48.3619987, 8.6312216 48.3618705)",
27491026,,L 409,Obere Hauptstraße,secondary,30,False,True,33.62,,"LINESTRING (8.6307828 48.3619987, 8.6307391 48.361983, 8.6303997 48.3618357)",
