osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width
25215936,K 37,Kurfürst-Balduin-Straße,tertiary,False,False,8.533,"LINESTRING (7.3639421 50.2455574, 7.3639112 50.2455404, 7.3638512 50.2455073)",,,
27201454,,Römergraben,living_street,False,False,282.31,"LINESTRING (7.3639421 50.2455574, 7.3640113 50.245476, 7.3650092 50.2447262, 7.3650892 50.2446661, 7.3655268 50.244373, 7.3661345 50.2440366, 7.3662663 50.2439935, 7.3664096 50.2440011, 7.3666977 50.2442077)",,,
38216979,L 82,Frankenstraße,secondary,False,False,26.024,"LINESTRING (7.3639421 50.2455574, 7.3641515 50.2456052, 7.3642496 50.2456723)",3,50,
77350612,,Rosenstraße,residential,False,False,45.07300000000001,"LINESTRING (7.3609374 50.2474415, 7.3607018 50.2472287, 7.3606535 50.2471944, 7.3606106 50.2471772, 7.3605101 50.2471618)",,,
246113776,L 82,Untertorstraße,secondary,True,False,29.222,"LINESTRING (7.3609374 50.2474415, 7.361022 50.2474012, 7.3612705 50.2472876)",1,30,
39265662,L 82,Im Grüngürtel,secondary,False,True,74.312,"LINESTRING (7.3590164 50.2489594, 7.3580187 50.2487604)",2,,
762725873,L 82,Bahnhofstraße,secondary,False,False,49.131,"LINESTRING (7.3590164 50.2489594, 7.3594157 50.2485988)",2,30,
388226955,L 113,Bahnhofstraße,secondary,False,True,138.99,"LINESTRING (7.3590164 50.2489594, 7.358843 50.2491093, 7.3586689 50.2492409, 7.358495 50.2493377, 7.3583257 50.2494347, 7.3582326 50.2494896, 7.3580864 50.2495757, 7.3577494 50.2497365, 7.3576015 50.2498126)",2,,
25598387,L 82,Kalter Straße,secondary,False,False,170.977,"LINESTRING (7.3686721 50.2501209, 7.3683986 50.2500089, 7.3681768 50.2499123, 7.367678 50.2496951, 7.3674528 50.2495924, 7.3672432 50.2494859, 7.3668498 50.249281, 7.3667376 50.2492114)",,50,
"[25598387, 1119670876]",L 82,Kalter Straße,secondary,False,True,47.394,"LINESTRING (7.3686721 50.2501209, 7.3688177 50.2501838, 7.3692223 50.2503615)",,50,
25598387,L 82,Kalter Straße,secondary,False,False,139.933,"LINESTRING (7.3667376 50.2492114, 7.3658306 50.2484946, 7.3655164 50.2482248)",,50,
25598387,L 82,Kalter Straße,secondary,False,True,170.97699999999998,"LINESTRING (7.3667376 50.2492114, 7.3668498 50.249281, 7.3672432 50.2494859, 7.3674528 50.2495924, 7.367678 50.2496951, 7.3681768 50.2499123, 7.3683986 50.2500089, 7.3686721 50.2501209)",,50,
25598388,,Johann-Büchel-Straße,residential,False,False,61.418000000000006,"LINESTRING (7.3667376 50.2492114, 7.3666379 50.2492696, 7.3662275 50.2496547)",,,
25598388,,Johann-Büchel-Straße,residential,False,False,40.626,"LINESTRING (7.3662038 50.2500938, 7.3661939 50.2504591)",,,
25598388,,Johann-Büchel-Straße,residential,False,True,48.855,"LINESTRING (7.3662038 50.2500938, 7.3662275 50.2496547)",,,
