osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,geometry,access,width,tunnel,junction,bridge
134445506,False,L 743,Mendener Straße,secondary,50,True,64.356,,"LINESTRING (7.7062347 51.3754478, 7.7070188 51.3757567)",,,,,
32039600,True,L 743,Theodor-Heuss-Ring,secondary,,False,106.496,3,"LINESTRING (7.7062347 51.3754478, 7.7058363 51.3753634, 7.7057335 51.3753642, 7.7056625 51.3753673, 7.7054939 51.3753993, 7.7053245 51.3754532, 7.7051641 51.3755168, 7.7049799 51.3755915, 7.7048364 51.3756405)",,,,,
28133286,False,,Am Nolten,residential,,False,14.179,,"LINESTRING (7.6998305 51.3760062, 7.6997766 51.3758832)",,,,,
"[1182695651, 439458765]",True,L 680;L 743,Theodor-Heuss-Ring,secondary,50,False,154.66099999999997,"['4', '2']","LINESTRING (7.6998305 51.3760062, 7.6996653 51.3760146, 7.6995864 51.3760266, 7.6994912 51.3760411, 7.6993016 51.3760962, 7.6989036 51.3761794, 7.6988131 51.3761996, 7.6985249 51.3762352, 7.6983322 51.3762779, 7.6982372 51.3763092, 7.6981626 51.3763383, 7.6981028 51.3763682, 7.6980233 51.3764133, 7.697915 51.3764669, 7.6977755 51.3764848)",,,,,
27263981,False,,Stefanstraße,residential,30,False,134.107,,"LINESTRING (7.6945964 51.3779152, 7.6945088 51.3779416, 7.6941704 51.3780306, 7.6936698 51.378167, 7.6933326 51.3782656, 7.6928221 51.3783919)",,,,,
74034944,False,,Gerichtstraße,residential,30,False,37.881,2,"LINESTRING (7.6945964 51.3779152, 7.694635 51.3779682, 7.6946639 51.3780043, 7.6947501 51.3780949, 7.6948836 51.3782033)",,,,,
"[74034943, 1183905479]",False,,Gerichtstraße,residential,30,True,151.12800000000001,2,"LINESTRING (7.6945964 51.3779152, 7.6945626 51.3778641, 7.6945482 51.3778386, 7.6945336 51.3778086, 7.6945164 51.377773, 7.6944975 51.3776912, 7.6944712 51.3775484, 7.6944493 51.3774078, 7.6944358 51.377294, 7.6944207 51.3771674, 7.6944056 51.3770401, 7.6943956 51.3769564, 7.6943602 51.3767005, 7.6943415 51.3765699)",destination,,,,
74034944,False,,Gerichtstraße,residential,30,True,37.881,2,"LINESTRING (7.6948836 51.3782033, 7.6947501 51.3780949, 7.6946639 51.3780043, 7.694635 51.3779682, 7.6945964 51.3779152)",,,,,
"[1172209730, 473060611]",True,,Gerichtstraße,residential,,False,56.956,,"LINESTRING (7.6948836 51.3782033, 7.6949786 51.3782329, 7.6950236 51.378257, 7.6950736 51.3782798, 7.6951426 51.3783067, 7.6952234 51.378326, 7.6953037 51.3783379, 7.6954021 51.3783463, 7.6954266 51.3783448, 7.6954688 51.378344, 7.6956443 51.3783312)",,,,,
741970995,False,L 680,Baarstraße,secondary,50,False,10.099,2,"LINESTRING (7.6956708 51.3784205, 7.6956443 51.3783312)",,,,,
"[1172209725, 473060615]",True,,Gerichtstraße,residential,,False,64.13,,"LINESTRING (7.6956708 51.3784205, 7.6955041 51.3784348, 7.6954567 51.3784341, 7.6954028 51.3784266, 7.6953295 51.3784175, 7.6952555 51.3784011, 7.695158 51.3783686, 7.6951009 51.3783462, 7.6950295 51.3783162, 7.6949386 51.3782656, 7.6948836 51.3782033)",,,,,
"[146610713, 1063736955]",True,L 680,Baarstraße,secondary,50,False,70.225,"['2', '3']","LINESTRING (7.6955899 51.377811, 7.6955821 51.3776942, 7.695605 51.3775768, 7.6956416 51.377505, 7.6956711 51.3774471, 7.695783 51.3772993, 7.695849 51.3772117)",,,,,
"[1229987273, 1172209731, 171607747]",False,L 680,Baarstraße,secondary,50,True,58.102,4,"LINESTRING (7.6955899 51.377811, 7.6955849 51.3779209, 7.6955919 51.3780404, 7.6956084 51.3781578, 7.6956131 51.378195, 7.6956166 51.3782263, 7.6956181 51.3782448, 7.6956443 51.3783312)",,,,,
