osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,junction,maxspeed,tunnel
227192033,2,K 6435,Ernst-Thälmann-Straße,tertiary,False,False,10.194,"LINESTRING (14.3793106 52.5357182, 14.3793706 52.5356341)",,,
35873927,2,,Berliner Straße,tertiary,False,False,84.253,"LINESTRING (14.377202 52.532848, 14.3783402 52.5331558)",,,
35873927,2,,Berliner Straße,tertiary,False,True,49.352,"LINESTRING (14.377202 52.532848, 14.3769015 52.5327596, 14.3767172 52.5327064, 14.3765546 52.5326445)",,,
44184759,,,Kirchstraße,residential,False,True,121.49600000000001,"LINESTRING (14.377202 52.532848, 14.3773886 52.5325818, 14.3774647 52.5325502, 14.3775778 52.5325504, 14.3779046 52.5325955, 14.3786204 52.5327842)",,,
631801746,,,Puschkinplatz,tertiary,True,False,13.168999999999999,"LINESTRING (14.3812155 52.5338862, 14.3811842 52.5339047, 14.3811452 52.5339166, 14.3811022 52.5339208, 14.3810591 52.5339171, 14.3810408 52.5339117)",roundabout,,
951215094,2,,Küstriner Straße,tertiary,False,False,67.142,"LINESTRING (14.3812155 52.5338862, 14.3813354 52.5339077, 14.381648 52.5339636, 14.3820809 52.5340262, 14.3821769 52.534034)",,50,
27130904,,,Slubicer Straße,residential,False,False,28.36,"LINESTRING (14.3840115 52.5285864, 14.3844042 52.5286757)",,30,
"[1149471147, 276127124]",,K 6435,Frankfurter Straße,tertiary,False,True,324.603,"LINESTRING (14.3840115 52.5285864, 14.3838352 52.5289006, 14.3829253 52.5305031, 14.382663 52.5310413, 14.382517 52.5313596)",,50,
480885617,,K 6435,Frankfurter Straße,tertiary,False,True,36.967,"LINESTRING (14.3840115 52.5285864, 14.3840963 52.5284393, 14.3841983 52.528274)",,50,
27130904,,,Slubicer Straße,residential,False,False,73.769,"LINESTRING (14.3846416 52.5287169, 14.3856782 52.5289229)",,30,
27130904,,,Slubicer Straße,residential,False,True,16.7,"LINESTRING (14.3846416 52.5287169, 14.3844042 52.5286757)",,30,
