osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,bridge
185743921,Schöpfurter Straße,residential,30,False,False,127.451,"LINESTRING (13.7924225 52.834443, 13.7931381 52.8354103, 13.7931654 52.8354954)",,,,
185743921,Schöpfurter Straße,residential,30,False,True,127.451,"LINESTRING (13.7931654 52.8354954, 13.7931381 52.8354103, 13.7924225 52.834443)",,,,
"[313188934, 485836678, 313188936, 485836679, 235280469]",Heegermühler Straße,primary,50,False,False,187.832,"LINESTRING (13.7931654 52.8354954, 13.7933204 52.8354752, 13.7933845 52.8354657, 13.7938872 52.835395, 13.7941073 52.8353644, 13.7945648 52.8352926, 13.7948742 52.8352471, 13.7955735 52.8351228, 13.7956256 52.8351147, 13.7958702 52.8350695)","['4', '5']",B 167,,
4678781,Schneidemühlenweg,residential,,False,True,398.0200000000001,"LINESTRING (13.8061429 52.8362505, 13.806069 52.8363822, 13.8057641 52.8366006, 13.8057247 52.8366289, 13.8056463 52.836685, 13.8055251 52.8369444, 13.8054193 52.8371706, 13.80533 52.8373616, 13.8053231 52.8373764, 13.8051901 52.8376608, 13.8049162 52.8378817, 13.8048426 52.8379412, 13.8045897 52.8380821, 13.8042737 52.8381215, 13.8040282 52.8381526, 13.8038672 52.8382206, 13.8037787 52.8382563, 13.80354 52.8383, 13.8034173 52.8382995, 13.8030418 52.8382946, 13.8022291 52.8382784)",,,,
43659814,Bergerstraße,residential,50,False,True,97.308,"LINESTRING (13.8061429 52.8362505, 13.8060667 52.8362426, 13.8059185 52.8362224, 13.8057425 52.8361933, 13.8054442 52.8361297, 13.8052639 52.8360846, 13.8051323 52.8360472, 13.8049426 52.8359947, 13.8047878 52.8359503)",,,,
4678780,Grabowstraße,residential,30,False,True,139.532,"LINESTRING (13.8052467 52.833626, 13.8052382 52.8337086, 13.8052344 52.8337452, 13.8051884 52.8342083, 13.8051255 52.8348787)",2,,,
"[4678824, 313188931]",Grabowstraße,secondary,50,False,False,96.813,"LINESTRING (13.8052467 52.833626, 13.8052648 52.8335259, 13.8052686 52.8335048, 13.805305 52.8331716, 13.8053317 52.8327571)","['2', '3']",L 200,,
"[313188929, 43659813]",Eisenbahnstraße,primary,50,False,False,105.078,"LINESTRING (13.8052467 52.833626, 13.8054401 52.8336306, 13.8055102 52.8336323, 13.8057402 52.8336412, 13.8060666 52.8336538, 13.8061953 52.8336583, 13.8068086 52.8336766)","['2', '3']",B 167,,
"[313188930, 583011379, 485836692]",Eisenbahnstraße,primary,50,False,True,142.14000000000001,"LINESTRING (13.8052467 52.833626, 13.8050922 52.8336181, 13.8050243 52.8336146, 13.804666 52.8336003, 13.8044778 52.8335928, 13.8042634 52.8335842, 13.8041703 52.8335805, 13.8038326 52.8335669, 13.8034572 52.833552, 13.8031357 52.8335392)","['4', '2', '3']",B 167,,
4678779,Blumenwerderstraße,residential,30,False,True,141.309,"LINESTRING (13.8031357 52.8335392, 13.8030114 52.8348078)",,,,
"[29182344, 313188932]",Eisenbahnstraße,primary,50,False,True,224.40800000000002,"LINESTRING (13.8031357 52.8335392, 13.8025863 52.8335493, 13.8021489 52.8336188, 13.8011089 52.8338665, 13.8006179 52.8339918, 13.8002971 52.8340737, 13.8002456 52.8340866, 13.7999836 52.8341524)","['2', '3']",B 167,,
"[313188930, 583011379, 485836692]",Eisenbahnstraße,primary,50,False,False,142.14,"LINESTRING (13.8031357 52.8335392, 13.8034572 52.833552, 13.8038326 52.8335669, 13.8041703 52.8335805, 13.8042634 52.8335842, 13.8044778 52.8335928, 13.804666 52.8336003, 13.8050243 52.8336146, 13.8050922 52.8336181, 13.8052467 52.833626)","['4', '2', '3']",B 167,,
52986575,Werner-Seelenbinder-Straße,residential,30,False,False,48.693,"LINESTRING (13.804841 52.8309066, 13.8054403 52.8311529)",,,,
"[1189497890, 37952702]",Eisenbahnstraße,residential,30,False,True,148.669,"LINESTRING (13.7983377 52.8343874, 13.7985675 52.834587, 13.7986279 52.8346105, 13.7987203 52.834623, 13.7993511 52.8346249, 13.7996573 52.8346497, 13.80006 52.8347249, 13.8001484 52.8347256, 13.8001812 52.8347202, 13.8002302 52.8347121, 13.8003362 52.834695)",,,5,
"[883884428, 235270259, 235270260, 43659802, 38005086]",Bahnhofsring,residential,30,False,"[False, True]",196.36500000000004,"LINESTRING (13.7982101 52.8328414, 13.7983863 52.8328649, 13.7984349 52.8328863, 13.7985423 52.8329411, 13.7986841 52.8330151, 13.7987279 52.8330412, 13.7989145 52.8331416, 13.7990041 52.8331965, 13.7994776 52.833437, 13.7996082 52.8335367, 13.7997515 52.8337483, 13.799913 52.8340269, 13.7999343 52.8340647, 13.7999836 52.8341524)",3,,,
4678779,Blumenwerderstraße,residential,30,False,False,56.5,"LINESTRING (13.8029735 52.8353154, 13.8030114 52.8348078)",,,,
37952701,Kantstraße,residential,30,False,True,17.412,"LINESTRING (13.8063039 52.8349183, 13.8060451 52.8349096)",,,,
215024179,Kantstraße,living_street,,False,True,90.781,"LINESTRING (13.8063039 52.8349183, 13.8063355 52.8345891, 13.806078 52.8345794, 13.8060451 52.8349096)",,,,
43659805,Friedrich-Engels-Straße,residential,30,False,True,104.77,"LINESTRING (13.8068895 52.8328022, 13.8053317 52.8327571)",,,8,
1259106206,August-Bebel-Straße,residential,30,False,False,91.449,"LINESTRING (13.8068895 52.8328022, 13.8069665 52.8319811)",2,,6,
"[4678826, 1259106206]",August-Bebel-Straße,residential,30,False,True,97.381,"LINESTRING (13.8068895 52.8328022, 13.8068879 52.8328197, 13.8068173 52.8335722, 13.8068086 52.8336766)",2,,6,
"[4678826, 1259106206]",August-Bebel-Straße,residential,30,False,False,97.381,"LINESTRING (13.8068086 52.8336766, 13.8068173 52.8335722, 13.8068879 52.8328197, 13.8068895 52.8328022)",2,,6,
"[313188929, 43659813]",Eisenbahnstraße,primary,50,False,True,105.07799999999999,"LINESTRING (13.8068086 52.8336766, 13.8061953 52.8336583, 13.8060666 52.8336538, 13.8057402 52.8336412, 13.8055102 52.8336323, 13.8054401 52.8336306, 13.8052467 52.833626)","['2', '3']",B 167,,
4678830,Karl-Liebknecht-Straße,residential,30,False,True,106.854,"LINESTRING (13.8069665 52.8319811, 13.8053773 52.831941)",,,,
1259106206,August-Bebel-Straße,residential,30,False,True,91.449,"LINESTRING (13.8069665 52.8319811, 13.8068895 52.8328022)",2,,6,
43659805,Friedrich-Engels-Straße,residential,30,False,False,104.77,"LINESTRING (13.8053317 52.8327571, 13.8068895 52.8328022)",,,8,
313188931,Grabowstraße,secondary,50,False,False,90.798,"LINESTRING (13.8053317 52.8327571, 13.8053773 52.831941)",2,L 200,,
"[4678824, 313188931]",Grabowstraße,secondary,50,False,True,96.813,"LINESTRING (13.8053317 52.8327571, 13.805305 52.8331716, 13.8052686 52.8335048, 13.8052648 52.8335259, 13.8052467 52.833626)","['2', '3']",L 200,,
37952701,Kantstraße,residential,30,False,False,17.412,"LINESTRING (13.8060451 52.8349096, 13.8063039 52.8349183)",,,,
215024179,Kantstraße,living_street,,False,False,90.781,"LINESTRING (13.8060451 52.8349096, 13.806078 52.8345794, 13.8063355 52.8345891, 13.8063039 52.8349183)",,,,
37952701,Kantstraße,residential,30,False,True,61.869,"LINESTRING (13.8060451 52.8349096, 13.8055177 52.8348919, 13.8051255 52.8348787)",,,,
37952701,Kantstraße,residential,30,False,True,142.232,"LINESTRING (13.8051255 52.8348787, 13.8030114 52.8348078)",,,,
4678780,Grabowstraße,residential,30,False,False,139.532,"LINESTRING (13.8051255 52.8348787, 13.8051884 52.8342083, 13.8052344 52.8337452, 13.8052382 52.8337086, 13.8052467 52.833626)",2,,,
4678780,Grabowstraße,residential,30,False,True,123.14699999999999,"LINESTRING (13.8051255 52.8348787, 13.8051051 52.8351681, 13.8051007 52.8353555, 13.805092 52.8354293, 13.8050718 52.8355273, 13.804978 52.8357103, 13.8047878 52.8359503)",2,,,
37952701,Kantstraße,residential,30,False,False,61.869,"LINESTRING (13.8051255 52.8348787, 13.8055177 52.8348919, 13.8060451 52.8349096)",,,,
33104811,Bergerstraße,residential,50,False,True,64.837,"LINESTRING (13.8003362 52.834695, 13.8000957 52.8343073, 13.800052 52.8342488, 13.7999836 52.8341524)",3,,,
"[1189497890, 37952702]",Eisenbahnstraße,residential,30,False,False,148.669,"LINESTRING (13.8003362 52.834695, 13.8002302 52.8347121, 13.8001812 52.8347202, 13.8001484 52.8347256, 13.80006 52.8347249, 13.7996573 52.8346497, 13.7993511 52.8346249, 13.7987203 52.834623, 13.7986279 52.8346105, 13.7985675 52.834587, 13.7983377 52.8343874)",,,5,
692315020,Bergerstraße,residential,50,False,False,332.415,"LINESTRING (13.8003362 52.834695, 13.8003945 52.8347693, 13.800458 52.8348019, 13.8006717 52.834867, 13.8014626 52.8350739, 13.8039114 52.8357144, 13.8047878 52.8359503)",2,,,
37952701,Kantstraße,residential,30,False,False,154.289,"LINESTRING (13.8007181 52.8347309, 13.8019501 52.8347722, 13.8030114 52.8348078)",,,,
4678779,Blumenwerderstraße,residential,30,False,False,141.309,"LINESTRING (13.8030114 52.8348078, 13.8031357 52.8335392)",,,,
4678779,Blumenwerderstraße,residential,30,False,True,56.5,"LINESTRING (13.8030114 52.8348078, 13.8029735 52.8353154)",,,,
37952701,Kantstraße,residential,30,False,False,142.232,"LINESTRING (13.8030114 52.8348078, 13.8051255 52.8348787)",,,,
37952701,Kantstraße,residential,30,False,True,154.289,"LINESTRING (13.8030114 52.8348078, 13.8019501 52.8347722, 13.8007181 52.8347309)",,,,
366800398,Kupferhammerweg,residential,,False,False,62.120000000000005,"LINESTRING (13.7967318 52.8352663, 13.796433 52.8356467, 13.7963385 52.8356615, 13.7962125 52.8356812)",,,,
