osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,access,tunnel
24437051,2,WUN 14,Hornschuchstraße,tertiary,50,False,False,34.067,"LINESTRING (12.006017 50.0370716, 12.0064936 50.0370842)",,,,
25065458,2,St 2177,Jean-Paul-Straße,secondary,50,False,False,26.683,"LINESTRING (12.006017 50.0370716, 12.0058838 50.0372958)",,,,
219650876,2,,Ludwigstraße,residential,50,False,True,21.381,"LINESTRING (12.006017 50.0370716, 12.0057178 50.0370652)",,,,
27230608,2,St 2177,Ludwig-Hacker-Platz,secondary,50,False,False,25.651000000000003,"LINESTRING (12.006017 50.0370716, 12.0060821 50.0369663, 12.0061511 50.0368576)",,,,
26171481,,,Sonnenstraße,residential,50,False,True,278.606,"LINESTRING (12.0041169 50.0392553, 12.0032907 50.0391581, 12.0020056 50.0390201, 12.0014615 50.0389608, 12.0002715 50.0388336)",,,,
30933814,2,St 2177,Karl-Sand-Straße,secondary,50,False,True,52.855999999999995,"LINESTRING (12.0041169 50.0392553, 12.0042681 50.0391179, 12.0044336 50.0390175, 12.0046361 50.0389228)",,,,
513142153,2,St 2177,Karl-Sand-Straße,secondary,50,False,False,65.684,"LINESTRING (12.0041169 50.0392553, 12.0040239 50.0394186, 12.0039838 50.0396304, 12.0039486 50.0398326)",,,,
100024021,1,,,secondary,50,True,False,37.181,"LINESTRING (12.0039486 50.0398326, 12.0039966 50.0398438, 12.0040369 50.0398639, 12.0040656 50.0398909, 12.0040801 50.0399223, 12.0040789 50.039955, 12.0040611 50.0399872, 12.0040282 50.040014, 12.0039837 50.0400327, 12.0039323 50.0400412, 12.0038793 50.0400388)",roundabout,,,
513142153,2,St 2177,Karl-Sand-Straße,secondary,50,False,True,65.684,"LINESTRING (12.0039486 50.0398326, 12.0039838 50.0396304, 12.0040239 50.0394186, 12.0041169 50.0392553)",,,,
"[186613842, 25091879]",2,,Bibersbacher Straße,tertiary,50,False,False,29.719,"LINESTRING (12.0038793 50.0400388, 12.0038586 50.0401182, 12.0037961 50.0403006)",,,,
100024021,1,,,secondary,50,True,False,18.206000000000003,"LINESTRING (12.0038793 50.0400388, 12.0038321 50.0400264, 12.0037932 50.0400052, 12.0037662 50.0399774, 12.0037538 50.0399457, 12.0037571 50.039913)",roundabout,,,
100024021,1,,,secondary,50,True,False,17.998,"LINESTRING (12.0037571 50.039913, 12.0037756 50.0398829, 12.0038075 50.0398578, 12.0038497 50.0398401, 12.0038983 50.0398314, 12.0039486 50.0398326)",roundabout,,,
