osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,lanes,width
161900208,Brückstraße,residential,False,True,53.289,,,"LINESTRING (8.1542886 50.5646066, 8.1549931 50.5644351)",,,
453743589,Hauptstraße,secondary,False,True,4.614,L 3046,50,"LINESTRING (8.1542886 50.5646066, 8.1542681 50.5645672)",,,
47258925,Hauptstraße,secondary,False,False,54.922999999999995,L 3046,50,"LINESTRING (8.1542886 50.5646066, 8.1543859 50.5648047, 8.1544623 50.5649601, 8.154476 50.5649879, 8.1545248 50.5650525, 8.1545435 50.565072)",,,
10362758,Hauptstraße,secondary,False,False,3.221,L 3046,50,"LINESTRING (8.1552556 50.5660021, 8.1552667 50.5660302)",,,
47258925,Hauptstraße,secondary,False,True,16.057,L 3046,50,"LINESTRING (8.1552556 50.5660021, 8.1552005 50.565862)",,,
80021438,Schultheißenhof,residential,False,True,34.519,,,"LINESTRING (8.1552556 50.5660021, 8.155739 50.5659564)",,,
10362758,Hauptstraße,secondary,False,False,9.232,L 3046,50,"LINESTRING (8.1559467 50.5675318, 8.1559859 50.567611)",,,
10362758,Hauptstraße,secondary,False,True,114.887,L 3046,50,"LINESTRING (8.1559467 50.5675318, 8.1557953 50.5671976, 8.1557646 50.56713, 8.1554968 50.5665389)",,,
161900285,Unterm Buchwald,residential,False,True,78.32,,,"LINESTRING (8.1559467 50.5675318, 8.1555301 50.5675625, 8.1548452 50.5676131)",,,
161900254,Jeuger Weg,residential,False,False,55.403,,,"LINESTRING (8.1566194 50.5683163, 8.1560267 50.5686427)",,,
"[643307257, 597458066, 134697726]",Hauptstraße,secondary,False,False,78.378,L 3046,50,"LINESTRING (8.1566194 50.5683163, 8.1566491 50.5683435, 8.1567174 50.5684063, 8.1569248 50.5685418, 8.1570707 50.5686319, 8.1574181 50.5687997)",yes,,
809280007,Hauptstraße,secondary,False,True,90.61600000000001,L 3046,50,"LINESTRING (8.1566194 50.5683163, 8.1562197 50.5679246, 8.1561283 50.567827, 8.1560543 50.567733, 8.1559859 50.567611)",,,
161900171,Am Baumgarten,residential,False,False,22.305999999999997,,,"LINESTRING (8.1534798 50.5619116, 8.1534031 50.5619313, 8.1533349 50.5619647, 8.1532397 50.5620358)",,,
"[121241338, 384162963]",Im Roth,secondary,False,True,38.596999999999994,L 3281,50,"LINESTRING (8.1534798 50.5619116, 8.1537705 50.561883, 8.1538421 50.561861, 8.1539751 50.561791)",,,
453743583,Hauptstraße,secondary,False,True,64.337,L 3046,50,"LINESTRING (8.1534798 50.5619116, 8.1534564 50.5618074, 8.1534186 50.5616388, 8.1533513 50.5613388)",,,
"[808517945, 635626611]",Hauptstraße,secondary,False,False,119.741,L 3046,50,"LINESTRING (8.1534798 50.5619116, 8.1535331 50.562127, 8.1535935 50.5623726, 8.1537728 50.5629721)",,,
206634949,Dammstraße,residential,True,False,49.81400000000001,,,"LINESTRING (8.1533513 50.5613388, 8.1534096 50.5613674, 8.1534585 50.5614054, 8.1535038 50.5615155, 8.153541 50.5615772, 8.1535844 50.5616119, 8.1536485 50.5616361, 8.1537636 50.5616699)",,1,
453743583,Hauptstraße,secondary,False,False,64.33699999999999,L 3046,50,"LINESTRING (8.1533513 50.5613388, 8.1534186 50.5616388, 8.1534564 50.5618074, 8.1534798 50.5619116)",,,
