osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,access,width,junction
819002504,True,1,B 42,Rheinstraße,primary,50,False,2.849,"LINESTRING (7.6150287 50.3961802, 7.6150066 50.3962016)",,,,
24373483,False,,,Rheinufer,unclassified,,False,36.638,"LINESTRING (7.6150287 50.3961802, 7.614955 50.3961499, 7.6145895 50.3960065)",,,,
29063095,False,,,,unclassified,50,True,112.67200000000001,"LINESTRING (7.6118635 50.3981733, 7.6119142 50.3980932, 7.6119546 50.398055, 7.6120036 50.3980266, 7.6120669 50.3980118, 7.6121179 50.3979954, 7.6121765 50.3979715, 7.6123028 50.3978957, 7.6128453 50.3975715, 7.6129121 50.3975436, 7.6129695 50.3975334, 7.6130341 50.3975293)",,,,
"[104009682, 24373494, 24373499, 24373501, 103997119]",False,2,,"['Rheinwerft', 'Peter-Schemmer-Straße']","['unclassified', 'residential']","['50', '30']",True,385.764,"LINESTRING (7.6118635 50.3981733, 7.611788 50.3981718, 7.6117182 50.3981764, 7.6116561 50.398191, 7.611547 50.3982363, 7.6113147 50.3983441, 7.6113134 50.3983447, 7.6112208 50.3983877, 7.6110627 50.398459, 7.6109995 50.3984859, 7.6109378 50.3985019, 7.6108646 50.3985072, 7.6108139 50.3984966, 7.6107632 50.3984711, 7.6100226 50.3980674, 7.609145 50.3976286, 7.6086921 50.3974134, 7.608455 50.3972828, 7.6083815 50.3972379, 7.6077933 50.3968654, 7.6075899 50.3967523)",yes,yes,,
24373494,False,,,Peter-Schemmer-Straße,residential,30,True,25.136,"LINESTRING (7.6075899 50.3967523, 7.6073421 50.3965906)",,,,
"[104009682, 24373494, 24373499, 24373501, 103997119]",False,2,,"['Rheinwerft', 'Peter-Schemmer-Straße']","['residential', 'unclassified']","['50', '30']",False,385.7639999999999,"LINESTRING (7.6075899 50.3967523, 7.6077933 50.3968654, 7.6083815 50.3972379, 7.608455 50.3972828, 7.6086921 50.3974134, 7.609145 50.3976286, 7.6100226 50.3980674, 7.6107632 50.3984711, 7.6108139 50.3984966, 7.6108646 50.3985072, 7.6109378 50.3985019, 7.6109995 50.3984859, 7.6110627 50.398459, 7.6112208 50.3983877, 7.6113134 50.3983447, 7.6113147 50.3983441, 7.611547 50.3982363, 7.6116561 50.398191, 7.6117182 50.3981764, 7.611788 50.3981718, 7.6118635 50.3981733)",yes,yes,,
"[29218338, 552369005]",False,,,Gartenstraße,residential,,True,109.607,"LINESTRING (7.6075899 50.3967523, 7.607628 50.3967167, 7.6076681 50.396694, 7.6077214 50.3966781, 7.6077655 50.3966777, 7.607811 50.3966823, 7.6079425 50.3967238, 7.6079568 50.3967297, 7.6084296 50.3969249, 7.6087208 50.397036, 7.6088311 50.3970721, 7.6089145 50.3970845)",,,,
24373494,False,,,Peter-Schemmer-Straße,residential,30,False,25.136,"LINESTRING (7.6073421 50.3965906, 7.6075899 50.3967523)",,,,
24373498,False,,,Brückenstraße,residential,,True,9.93,"LINESTRING (7.6073421 50.3965906, 7.6073467 50.3965464, 7.6073459 50.3965014)",,,,
24373478,False,,,Hochstraße,residential,,True,24.823999999999998,"LINESTRING (7.6090981 50.3968944, 7.6089683 50.3970303, 7.6089145 50.3970845)",,,,
