osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,access
24160875,3,B 62,Alicestraße,primary,50,False,False,29.853,"LINESTRING (9.2685884 50.7523423, 9.2688853 50.7524749, 9.2689351 50.7524971)",,
"[135155424, 149922523]",3,B 49,Alicestraße,primary,50,False,True,60.586,"LINESTRING (9.2685884 50.7523423, 9.268439 50.752274, 9.2683831 50.7522478, 9.2679951 50.7520685, 9.2678954 50.7520189)",,
135155720,,B 62,Georg-Dietrich-Bücking-Straße,primary,50,True,False,19.808999999999997,"LINESTRING (9.2685884 50.7523423, 9.2685946 50.7524222, 9.2685872 50.7524621, 9.2685436 50.7525131)",,
26741717,,,Bahnhofstraße,residential,50,False,False,72.825,"LINESTRING (9.2658037 50.7504255, 9.2656625 50.7504484, 9.2656216 50.7504624, 9.2648804 50.7507163)",,
126352352,2,B 49,Alicestraße,primary,50,False,False,95.872,"LINESTRING (9.2658037 50.7504255, 9.2659093 50.7505343, 9.2659494 50.7505702, 9.2661431 50.7507434, 9.2664629 50.7509836, 9.2665281 50.7510326, 9.2666302 50.7511093)",,
145038997,,,Am Lieden,tertiary,30,False,True,234.756,"LINESTRING (9.2658037 50.7504255, 9.2659247 50.7503843, 9.265967 50.7503689, 9.2665289 50.750165, 9.2667527 50.7500886, 9.2667892 50.7500762, 9.2672298 50.7499628, 9.2679132 50.749825, 9.2680838 50.749778, 9.2682202 50.7496956, 9.2684396 50.7495159, 9.2685701 50.7494091, 9.2686122 50.7493759)",,
"[24161042, 499465623]",2,B 49,Alicestraße,primary,50,False,True,255.932,"LINESTRING (9.2658037 50.7504255, 9.2657104 50.7503157, 9.26569 50.7502857, 9.2655559 50.7500883, 9.2655114 50.7499638, 9.2654858 50.7497474, 9.2656057 50.7486614, 9.2656101 50.7485415, 9.2655988 50.7484482, 9.2655518 50.7483268, 9.2655064 50.7482601, 9.2654361 50.7481876)",,
"[24161042, 499465623]",2,B 49,Alicestraße,primary,50,False,False,255.932,"LINESTRING (9.2654361 50.7481876, 9.2655064 50.7482601, 9.2655518 50.7483268, 9.2655988 50.7484482, 9.2656101 50.7485415, 9.2656057 50.7486614, 9.2654858 50.7497474, 9.2655114 50.7499638, 9.2655559 50.7500883, 9.26569 50.7502857, 9.2657104 50.7503157, 9.2658037 50.7504255)",,
29417564,,,Zeller Weg,residential,50,False,False,113.21199999999999,"LINESTRING (9.2654361 50.7481876, 9.2653115 50.7482193, 9.265179 50.7482491, 9.2647651 50.7483332, 9.264304 50.7484116, 9.2638849 50.748443)",,
29417577,,,Grünberger Straße,residential,30,False,False,262.70099999999996,"LINESTRING (9.2654361 50.7481876, 9.2656111 50.7482392, 9.2657813 50.7482784, 9.2666167 50.7485161, 9.2669351 50.748604, 9.2673672 50.7487232, 9.2676576 50.7488369, 9.2677472 50.7488778, 9.2679006 50.7489478, 9.2681064 50.7490608, 9.268383 50.7492126, 9.2686122 50.7493759)",,
96863480,2,B 49,Alicestraße,primary,50,False,False,128.31199999999998,"LINESTRING (9.2666302 50.7511093, 9.2667236 50.751177, 9.2667629 50.7512055, 9.2669623 50.75135, 9.2673359 50.7516115, 9.2673688 50.7516367, 9.2675552 50.7517796, 9.2676893 50.7518727, 9.2678336 50.7519762)",,
126352352,2,B 49,Alicestraße,primary,50,False,True,95.872,"LINESTRING (9.2666302 50.7511093, 9.2665281 50.7510326, 9.2664629 50.7509836, 9.2661431 50.7507434, 9.2659494 50.7505702, 9.2659093 50.7505343, 9.2658037 50.7504255)",,
149922528,2,,Marburger Straße,residential,50,False,True,48.632,"LINESTRING (9.2666302 50.7511093, 9.2665089 50.7511746, 9.2664594 50.7512012, 9.2663583 50.7512556, 9.2662578 50.7513097, 9.2661037 50.7513927)",,
"[908102305, 38816279]",2,L 3145,Marburger Straße,secondary,50,False,False,233.01,"LINESTRING (9.2666302 50.7511093, 9.2667395 50.7510482, 9.266782 50.7510258, 9.266877 50.7509757, 9.2677765 50.750489, 9.2686321 50.7500093, 9.2687489 50.7499475, 9.2690622 50.7497504, 9.2690871 50.7497115)",,
"[80901201, 80901199]",3,B 62,Schellengasse,primary,50,False,True,175.983,"LINESTRING (9.2746774 50.752297, 9.2744803 50.7523045, 9.2744371 50.752306, 9.2743658 50.7523086, 9.2736887 50.7523897, 9.2732857 50.7524535, 9.2729586 50.7525215, 9.272803 50.7525586, 9.2725062 50.7526289, 9.2724621 50.7526384, 9.2722627 50.7526816)",,
80912055,,,Pfarrwiesenweg,residential,50,False,True,157.97099999999998,"LINESTRING (9.2746774 50.752297, 9.2747099 50.7523919, 9.2747227 50.7524294, 9.2751533 50.7536854)",,
"[810472968, 908404387, 145125047]",2,,Hersfelder Straße,residential,50,False,False,67.935,"LINESTRING (9.2746774 50.752297, 9.2746722 50.7522034, 9.2746711 50.7521845, 9.2746662 50.7520969, 9.2746482 50.751774, 9.2746702 50.7517342, 9.2747151 50.7516987)",,
