osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,width,bridge
8085390,2,K 18,Pyrmonter Straße,tertiary,50,False,False,7.429,"LINESTRING (9.0175365 51.7376415, 9.0175383 51.7375747)",,,
"[580322320, 130103250]","['2', '3']",L 954,Pyrmonter Straße,secondary,50,False,True,118.303,"LINESTRING (9.0175365 51.7376415, 9.0175093 51.7381132, 9.0175102 51.7381345, 9.0175218 51.7383949, 9.0175356 51.7387049)",,,
"[580322321, 580322322]","['4', '3']",L 954,Konrad-Adenauer-Ring,secondary,50,False,False,170.211,"LINESTRING (9.0175365 51.7376415, 9.0189832 51.7373343, 9.0198095 51.7370536)",,,
25195466,2,L 954,Konrad-Adenauer-Ring,secondary,50,True,False,93.40899999999999,"LINESTRING (9.0231033 51.7348666, 9.0231997 51.7346876, 9.0232855 51.7345595, 9.0233369 51.7344635, 9.0234388 51.7342312, 9.0234629 51.7341763, 9.0234897 51.7340636)",,,
25209429,,,Caspar-Heinrich-Straße,living_street,,False,False,58.251000000000005,"LINESTRING (9.0231033 51.7348666, 9.0232746 51.735001, 9.0233204 51.7353525)",,,
"[1013304349, 1189809781, 1013304350]","['4', '2']",L 954,Konrad-Adenauer-Ring,secondary,50,False,True,205.52300000000002,"LINESTRING (9.0231033 51.7348666, 9.0229562 51.7349955, 9.022769 51.7351369, 9.0226602 51.7352167, 9.0214213 51.7361253, 9.0211965 51.7362878)",,,
7643744,,K 18,Brunnenstraße,tertiary,50,False,True,8.201,"LINESTRING (9.0235987 51.7340339, 9.0234897 51.7340636)",,,
40843038,1,L 954,Konrad-Adenauer-Ring,secondary,50,True,False,101.446,"LINESTRING (9.0235987 51.7340339, 9.0235702 51.7342461, 9.0235008 51.7344097, 9.0234809 51.7344566, 9.0233965 51.7346122, 9.0233413 51.7346943, 9.0231816 51.73483, 9.0231033 51.7348666)",,,
"[1089802905, 40843037]",3,K 18,Lange Straße,tertiary,30,False,False,36.839999999999996,"LINESTRING (9.0235987 51.7340339, 9.0238207 51.7339882, 9.0239701 51.7339617, 9.024106 51.7339293)",,,
37896204,,,Dringenberger Straße,residential,,False,True,23.366,"LINESTRING (9.0185748 51.7324668, 9.0185589 51.7322569)",,,
37896204,,,Dringenberger Straße,residential,,False,False,22.223,"LINESTRING (9.0185748 51.7324668, 9.0185831 51.7325896, 9.0185872 51.7326665)",,,
"[51184881, 55345103]",,,Steyler Hof,residential,,False,"[False, True]",89.44,"LINESTRING (9.0185748 51.7324668, 9.0185076 51.7324678, 9.0180394 51.732441, 9.0179335 51.732425, 9.0178911 51.7324057, 9.0176011 51.7322533, 9.0175402 51.7322278, 9.0174268 51.732171)",yes,,
37896204,,,Dringenberger Straße,residential,,False,True,22.223,"LINESTRING (9.0185872 51.7326665, 9.0185831 51.7325896, 9.0185748 51.7324668)",,,
128954462,,,Auf der Mühlenstätte,residential,,False,True,68.76899999999999,"LINESTRING (9.0185872 51.7326665, 9.0187184 51.7326615, 9.0194183 51.7326907, 9.0195822 51.7326758)",,,
128954465,,,Dringenberger Straße,residential,,False,False,129.977,"LINESTRING (9.0185872 51.7326665, 9.0185914 51.7328169, 9.0185992 51.733253, 9.018615 51.7334148, 9.0186282 51.7335498, 9.0186338 51.7335678, 9.0187151 51.7338297)",,,
128954465,,,Dringenberger Straße,residential,,False,True,129.977,"LINESTRING (9.0187151 51.7338297, 9.0186338 51.7335678, 9.0186282 51.7335498, 9.018615 51.7334148, 9.0185992 51.733253, 9.0185914 51.7328169, 9.0185872 51.7326665)",,,
139594394,,,Kapellenstraße,residential,,False,True,69.688,"LINESTRING (9.0187151 51.7338297, 9.0185845 51.7338435, 9.0180055 51.7338558, 9.0177979 51.7338576, 9.0177054 51.733858)",,,
"[703042345, 128954466, 53453227]",,,Dringenberger Straße,"['residential', 'living_street']",30,False,False,86.95700000000001,"LINESTRING (9.0187151 51.7338297, 9.0188285 51.7340319, 9.0188703 51.7340871, 9.0188968 51.7341252, 9.0190854 51.7343796, 9.019094 51.7343937, 9.0191236 51.7344365, 9.0191457 51.7344593, 9.0191637 51.7344754, 9.019222 51.7345443)",,"['6', '5']",yes
37896204,,,Dringenberger Straße,residential,,False,False,23.366,"LINESTRING (9.0185589 51.7322569, 9.0185748 51.7324668)",,,
25298780,,,Bruchstraße,residential,,False,True,2.402,"LINESTRING (9.0239229 51.7336328, 9.0239317 51.7336537)",,,
25298780,,,Bruchstraße,residential,,False,False,25.625,"LINESTRING (9.0239229 51.7336328, 9.0239099 51.7335671, 9.0239073 51.7335256, 9.0239331 51.733485, 9.0239488 51.7334734, 9.0240347 51.7334379)",,,
9191120,,,Gutenbergstraße,residential,,False,False,87.089,"LINESTRING (9.0195822 51.7326758, 9.019609 51.7327407, 9.0200249 51.733409)",,,
128954462,,,Auf der Mühlenstätte,residential,,False,False,68.769,"LINESTRING (9.0195822 51.7326758, 9.0194183 51.7326907, 9.0187184 51.7326615, 9.0185872 51.7326665)",,,
9191122,,,Kopernikusstraße,residential,,False,True,47.37,"LINESTRING (9.0200249 51.733409, 9.0193914 51.733575)",,,
9191120,,,Gutenbergstraße,residential,,False,False,35.540000000000006,"LINESTRING (9.0200249 51.733409, 9.0201196 51.7335544, 9.020218 51.7337054)",,,
9191120,,,Gutenbergstraße,residential,,False,True,87.089,"LINESTRING (9.0200249 51.733409, 9.019609 51.7327407, 9.0195822 51.7326758)",,,
9191122,,,Kopernikusstraße,residential,,False,False,147.11,"LINESTRING (9.0200249 51.733409, 9.0206098 51.7332547, 9.0211229 51.7331193, 9.0219556 51.7328456)",,,
9191120,,,Gutenbergstraße,residential,,False,True,35.540000000000006,"LINESTRING (9.020218 51.7337054, 9.0201196 51.7335544, 9.0200249 51.733409)",,,
9191122,,,Kopernikusstraße,residential,,False,False,47.37,"LINESTRING (9.0193914 51.733575, 9.0200249 51.733409)",,,
9191122,,,Kopernikusstraße,residential,,False,True,147.11,"LINESTRING (9.0219556 51.7328456, 9.0211229 51.7331193, 9.0206098 51.7332547, 9.0200249 51.733409)",,,
38196719,,,Schulstraße,residential,30,False,False,67.347,"LINESTRING (9.0173808 51.7368412, 9.0183394 51.7367211)",,6,
38485452,,,Kolpingstraße,living_street,,False,False,44.663,"LINESTRING (9.0173808 51.7368412, 9.0167643 51.736966)",,,
175973727,2,K 18,Pyrmonter Straße,tertiary,50,False,False,43.337,"LINESTRING (9.0173808 51.7368412, 9.0172772 51.7366542, 9.0171787 51.7364721)",,,
175973727,2,K 18,Pyrmonter Straße,tertiary,50,False,True,49.478,"LINESTRING (9.0173808 51.7368412, 9.017495 51.7370988, 9.0175393 51.7372745)",,,
25209429,,,Caspar-Heinrich-Straße,living_street,,False,True,82.967,"LINESTRING (9.0234236 51.7360959, 9.0233204 51.7353525)",,,
"[1061909952, 806122364, 25209429]",,,"['Caspar-Heinrich-Straße', 'Gräfin-Margarete-Allee']","['living_street', 'residential']",,False,False,144.46599999999998,"LINESTRING (9.0234236 51.7360959, 9.0234355 51.7362576, 9.0235062 51.7363617, 9.0239125 51.7367922, 9.0240582 51.7369153, 9.0241133 51.7369525, 9.0241744 51.7369651, 9.0242179 51.7369741, 9.0243551 51.7369755, 9.0244167 51.7369715, 9.0245181 51.7369648, 9.0246272 51.736958)",,,
38486071,,,Vor der Brede,residential,,False,False,161.535,"LINESTRING (9.0234236 51.7360959, 9.0220138 51.7363506, 9.0216967 51.7364079, 9.0215164 51.7363948, 9.0213575 51.7363544, 9.0211965 51.7362878)",,,
7643744,,K 18,Brunnenstraße,tertiary,50,False,False,8.201,"LINESTRING (9.0234897 51.7340636, 9.0235987 51.7340339)",,,
40843039,1,L 954,Konrad-Adenauer-Ring,secondary,50,True,False,34.97,"LINESTRING (9.0234897 51.7340636, 9.0235054 51.733786, 9.0235199 51.7337504)",,6,
"[228145907, 25209431]",3,L 954,Konrad-Adenauer-Ring,secondary,50,False,False,43.129000000000005,"LINESTRING (9.0235199 51.7337504, 9.0234678 51.7335689, 9.0233635 51.7333759)",,,
25209432,2,L 954,Konrad-Adenauer-Ring,secondary,50,True,False,32.294,"LINESTRING (9.0235199 51.7337504, 9.023551 51.7338046, 9.0235962 51.7339119, 9.0235987 51.7340339)",,,
7643745,2,L 954,Konrad-Adenauer-Ring,secondary,50,False,False,128.495,"LINESTRING (9.0198095 51.7370536, 9.020124 51.7369289, 9.0205616 51.7366966, 9.0209345 51.7364649, 9.0210067 51.73642, 9.0211965 51.7362878)",,,
29260089,,,Alleestraße,residential,,False,False,30.388,"LINESTRING (9.0198095 51.7370536, 9.019659 51.7369816, 9.0194896 51.7368668)",,,
"[580322321, 580322322]","['4', '3']",L 954,Konrad-Adenauer-Ring,secondary,50,False,True,170.211,"LINESTRING (9.0198095 51.7370536, 9.0189832 51.7373343, 9.0175365 51.7376415)",,,
"[130002205, 829769135]",,,Alleestraße,residential,,False,True,54.555,"LINESTRING (9.0198095 51.7370536, 9.0200667 51.7372596, 9.0202374 51.7373963, 9.0202918 51.7374428)",,,
