osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,bridge,width,access
45516769,B 14,Hauptstraße,primary,30,False,False,83.395,"LINESTRING (8.743479 48.0709169, 8.7427733 48.0715001)",,,,,
45516769,B 14,Hauptstraße,primary,30,False,True,142.727,"LINESTRING (8.743479 48.0709169, 8.743704 48.0707388, 8.7438757 48.0706249, 8.7440635 48.0705218, 8.7445468 48.0703174, 8.7447797 48.0702282, 8.7448879 48.070192, 8.7450034 48.0701589)",,,,,
59203254,,Webergasse,residential,30,True,False,133.139,"LINESTRING (8.743479 48.0709169, 8.7435664 48.0709966, 8.7439101 48.071363, 8.7441365 48.0716259, 8.7443645 48.0718786, 8.7443665 48.0719463)",,,,,
45516769,B 14,Hauptstraße,primary,30,False,False,142.727,"LINESTRING (8.7450034 48.0701589, 8.7448879 48.070192, 8.7447797 48.0702282, 8.7445468 48.0703174, 8.7440635 48.0705218, 8.7438757 48.0706249, 8.743704 48.0707388, 8.743479 48.0709169)",,,,,
1008951716,,,primary,50,True,False,13.246,"LINESTRING (8.7450034 48.0701589, 8.7449923 48.07013, 8.7449928 48.0701003, 8.7450051 48.0700716, 8.7450282 48.0700462)",roundabout,,,,
1008951714,,,primary,50,True,False,20.903000000000002,"LINESTRING (8.7452977 48.0700529, 8.7453214 48.070087, 8.7453269 48.0701244, 8.7453137 48.070161, 8.7452831 48.0701925, 8.7452387 48.0702156)",roundabout,,,,
25415725,,Hauptstraße,residential,30,False,False,70.81,"LINESTRING (8.7452387 48.0702156, 8.7452989 48.070264, 8.7456501 48.0705401, 8.7456855 48.0705675, 8.7458687 48.070693)",,,,,
"[1008951715, 1008951717]",,,primary,50,True,False,20.86,"LINESTRING (8.7452387 48.0702156, 8.7451855 48.0702276, 8.7451293 48.0702272, 8.7450765 48.0702144, 8.7450329 48.0701908, 8.7450034 48.0701589)",roundabout,,,,
157000951,,,primary,50,True,False,23.162,"LINESTRING (8.7450282 48.0700462, 8.7450666 48.0700228, 8.7451139 48.0700084, 8.7451655 48.0700043, 8.7452165 48.070011, 8.745262 48.0700277, 8.7452977 48.0700529)",roundabout,,,,
228432645,,Obere Bahnhofstraße,residential,,False,True,13.638,"LINESTRING (8.7450282 48.0700462, 8.744993 48.0700238, 8.7449532 48.069996, 8.7449059 48.0699551)",,,,,
228727954,,Obere Bahnhofstraße,residential,,False,False,9.799,"LINESTRING (8.7443265 48.0689711, 8.744258 48.0690464)",,,,,
228727954,,Obere Bahnhofstraße,residential,,False,True,9.799,"LINESTRING (8.744258 48.0690464, 8.7443265 48.0689711)",,,,,
39471530,,Obere Bahnhofstraße,residential,,False,False,53.385,"LINESTRING (8.744258 48.0690464, 8.7442719 48.0691377, 8.7442946 48.0692291, 8.7444151 48.0695136)",,,,,
45838491,,Eisenbahnstraße,residential,,True,False,21.618000000000002,"LINESTRING (8.744258 48.0690464, 8.7441256 48.0689866, 8.7441218 48.0689849, 8.7440077 48.0689483)",,,,,
26395092,,Wilhelmstraße,residential,,False,True,144.555,"LINESTRING (8.7444151 48.0695136, 8.743505 48.0697321, 8.7425884 48.0699608)",,,,,
39471530,,Obere Bahnhofstraße,residential,,False,False,61.393,"LINESTRING (8.7444151 48.0695136, 8.7444902 48.0696084, 8.7445829 48.0696988, 8.7447467 48.0698376, 8.7449059 48.0699551)",,,,,
39471530,,Obere Bahnhofstraße,residential,,False,True,53.385,"LINESTRING (8.7444151 48.0695136, 8.7442946 48.0692291, 8.7442719 48.0691377, 8.744258 48.0690464)",,,,,
470162755,K 5913,Angerstraße,tertiary,50,False,True,83.405,"LINESTRING (8.7353014 48.0722024, 8.7349044 48.0723285, 8.7347523 48.0723869, 8.7345533 48.0724633, 8.7343214 48.0725658)",,,,,
470162757,K 5913,Angerstraße,tertiary,50,False,False,46.911,"LINESTRING (8.7353014 48.0722024, 8.7353692 48.072191, 8.7354414 48.0721825, 8.7356013 48.0721655, 8.7359272 48.0721754)",,,,,
24668547,L 431,Dreifaltigkeitsbergstraße,unclassified,50,False,False,133.603,"LINESTRING (8.7419994 48.0719627, 8.7420802 48.0720338, 8.7424459 48.0723987, 8.7425964 48.0725462, 8.743041 48.0729416)",,,,,
"[1008951708, 304363933]",B 14,Hauptstraße,primary,30,False,True,77.67599999999999,"LINESTRING (8.7419994 48.0719627, 8.7421939 48.0718733, 8.7424632 48.071735, 8.7426003 48.071646, 8.7427733 48.0715001)",,,,,
"[512145698, 512145699, 45516770, 337471335]",B 14,Hauptstraße,primary,30,False,"[False, True]",148.267,"LINESTRING (8.7419994 48.0719627, 8.7417892 48.0720515, 8.7416699 48.0720937, 8.7415312 48.0721506, 8.7408467 48.072412, 8.7404767 48.0725412, 8.7402547 48.0726076)",,2,,,
24668547,L 431,Dreifaltigkeitsbergstraße,unclassified,50,False,False,95.259,"LINESTRING (8.7438517 48.0735774, 8.7446702 48.0742368)",,,,,
24668547,L 431,Dreifaltigkeitsbergstraße,unclassified,50,False,True,92.878,"LINESTRING (8.7438517 48.0735774, 8.7435375 48.073331, 8.743041 48.0729416)",,,,,
24668548,,Gartenstraße,residential,30,False,False,99.203,"LINESTRING (8.7438517 48.0735774, 8.7434359 48.0738909, 8.7430381 48.074199, 8.7429705 48.0742476)",,,,,
24668548,,Gartenstraße,residential,30,False,True,144.712,"LINESTRING (8.7438517 48.0735774, 8.744498 48.0731501, 8.7452501 48.0726716)",,,,,
"[387435057, 25326453, 25800006]",,Hausener Straße,tertiary,50,False,False,232.064,"LINESTRING (8.7340905 48.0693031, 8.7342817 48.0698591, 8.734345 48.0699644, 8.7343805 48.0700339, 8.7344281 48.0700792, 8.7344802 48.0701146, 8.7345227 48.0701395, 8.7345698 48.0701579, 8.734679 48.0701852, 8.7348263 48.0701818, 8.7360045 48.0699996, 8.7361614 48.0699996, 8.7362486 48.0700177)",,,yes,,
