osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge,access
141431610,1,B 436,primary,50,roundabout,True,False,28.477999999999998,"LINESTRING (7.3501133 53.1673553, 7.3500591 53.1673949, 7.3499865 53.1674219, 7.3499033 53.1674336, 7.3498183 53.1674286, 7.3497405 53.1674074)",,,
18833422,,,unclassified,30,,False,True,204.63600000000002,"LINESTRING (7.3502063 53.1668502, 7.3503307 53.1668534, 7.3518111 53.1669828, 7.3522111 53.1670185, 7.3532417 53.1671217)",Neue Straße,,
62357744,,,residential,50,,False,False,109.86,"LINESTRING (7.3502063 53.1668502, 7.3500813 53.1668386, 7.3485607 53.166806)",Kommerzienrat-Hesse-Straße,,
"[477919536, 262216699]","['2', '3']",L 31,secondary,50,,False,False,166.82399999999998,"LINESTRING (7.3502063 53.1668502, 7.3502182 53.1666742, 7.3502111 53.16653, 7.3501676 53.1663957, 7.3500799 53.1661911, 7.3499693 53.1659945, 7.3499422 53.1659474, 7.3498667 53.1658161, 7.3497397 53.16557, 7.3497029 53.1654975, 7.3496715 53.165397)",Risiusstraße,,
"[18089120, 477919535]",2,L 31,secondary,50,,False,True,34.623999999999995,"LINESTRING (7.3502063 53.1668502, 7.3501183 53.1670062, 7.3500712 53.1670627, 7.3500088 53.1671374)",Risiusstraße,,
"[18089125, 133125398]",2,K 29,tertiary,50,,False,False,257.983,"LINESTRING (7.3496715 53.165397, 7.3495196 53.1653904, 7.3494501 53.1653881, 7.3493437 53.1653783, 7.3490653 53.1653225, 7.3488208 53.1652407, 7.3484279 53.1650566, 7.3483211 53.1650058, 7.3473559 53.1645367, 7.347199 53.1644572, 7.3468214 53.1642456, 7.3468008 53.16423, 7.3467775 53.1642124, 7.3465983 53.1640709)",Bahnhofstraße,,
18488221,,,residential,,,True,False,197.14,"LINESTRING (7.3496715 53.165397, 7.3497633 53.1654018, 7.3499569 53.1653904, 7.3507247 53.1653251, 7.3514011 53.1652482, 7.3517979 53.1652031, 7.3525999 53.1652244)",Westerstraße,,
"[477919536, 262216699]","['2', '3']",L 31,secondary,50,,False,True,166.824,"LINESTRING (7.3496715 53.165397, 7.3497029 53.1654975, 7.3497397 53.16557, 7.3498667 53.1658161, 7.3499422 53.1659474, 7.3499693 53.1659945, 7.3500799 53.1661911, 7.3501676 53.1663957, 7.3502111 53.16653, 7.3502182 53.1666742, 7.3502063 53.1668502)",Risiusstraße,,
"[477919537, 18488218]","['2', '3']",L 31,secondary,50,,False,False,143.97,"LINESTRING (7.3496715 53.165397, 7.3496486 53.1652289, 7.349661 53.165124, 7.3497283 53.1649226, 7.3498251 53.164697, 7.3498503 53.1646333, 7.349922 53.1644526, 7.349988 53.1642859, 7.3500453 53.1641296)",Poststraße,,
18488220,2,L 31,secondary,50,,False,False,5.055,"LINESTRING (7.349621 53.1635092, 7.3495767 53.1634723)",Mühlenstraße,,
18649955,,,residential,30,,False,False,183.88200000000003,"LINESTRING (7.349621 53.1635092, 7.3498056 53.1634845, 7.350301 53.1634295, 7.350963 53.163354, 7.3516902 53.1632858, 7.3520144 53.1632385, 7.3522924 53.1631414)",Rathausstraße,,
33043677,2,L 31,secondary,50,,False,True,75.871,"LINESTRING (7.349621 53.1635092, 7.3497417 53.1636186, 7.3499019 53.1637901, 7.3500131 53.163943, 7.3500245 53.16399, 7.3500359 53.1640341, 7.3500453 53.1641296)",Haagstraße,,
18626480,2,L 31,secondary,50,,False,False,16.429,"LINESTRING (7.3467109 53.1608706, 7.3466207 53.1607331)",Mühlenstraße,,
"[18626480, 18488220, 18626479]",2,L 31,secondary,50,,False,True,347.90999999999997,"LINESTRING (7.3467109 53.1608706, 7.3472523 53.1615183, 7.3474932 53.16176, 7.3476706 53.1619476, 7.3477722 53.1620454, 7.3478491 53.1621162, 7.3478881 53.162151, 7.3481684 53.162401, 7.348281 53.1624843, 7.348676 53.1627924, 7.3488022 53.1628924, 7.3490147 53.1630609, 7.3494052 53.163349, 7.3495767 53.1634723)",Mühlenstraße,yes,
898488764,,,residential,30,,False,True,8.109,"LINESTRING (7.3561628 53.1673629, 7.3561532 53.1672902)",Norderstraße,,
64527602,,,unclassified,30,,False,False,57.521,"LINESTRING (7.3561628 53.1673629, 7.3557686 53.1674314, 7.3553178 53.1674548)",Neue Straße,,
"[477919537, 18488218]","['2', '3']",L 31,secondary,50,,False,True,143.97,"LINESTRING (7.3500453 53.1641296, 7.349988 53.1642859, 7.349922 53.1644526, 7.3498503 53.1646333, 7.3498251 53.164697, 7.3497283 53.1649226, 7.349661 53.165124, 7.3496486 53.1652289, 7.3496715 53.165397)",Poststraße,,
33043677,2,L 31,secondary,50,,False,False,75.87100000000001,"LINESTRING (7.3500453 53.1641296, 7.3500359 53.1640341, 7.3500245 53.16399, 7.3500131 53.163943, 7.3499019 53.1637901, 7.3497417 53.1636186, 7.349621 53.1635092)",Haagstraße,,
18488177,,,unclassified,30,,False,False,119.975,"LINESTRING (7.3538833 53.1672687, 7.3538628 53.1673035, 7.3538036 53.1674157, 7.3537783 53.1674647, 7.353636 53.1676928, 7.3535726 53.1677958, 7.3534885 53.1679337, 7.3534461 53.1679964, 7.3533918 53.1681002, 7.3532772 53.1682843)",Neue Straße,,
"[64527602, 729095262, 1009031679]",,,unclassified,30,,False,False,45.786,"LINESTRING (7.3538833 53.1672687, 7.353703 53.1672277, 7.3535751 53.1671987, 7.3532417 53.1671217)",Neue Straße,,
64527602,,,unclassified,30,,False,True,98.704,"LINESTRING (7.3538833 53.1672687, 7.3541947 53.1673391, 7.3545169 53.1673935, 7.3548153 53.1674427, 7.3548413 53.167447, 7.3551946 53.1674543, 7.3553178 53.1674548)",Neue Straße,,
18488177,,,unclassified,30,,False,True,119.97499999999998,"LINESTRING (7.3532772 53.1682843, 7.3533918 53.1681002, 7.3534461 53.1679964, 7.3534885 53.1679337, 7.3535726 53.1677958, 7.353636 53.1676928, 7.3537783 53.1674647, 7.3538036 53.1674157, 7.3538628 53.1673035, 7.3538833 53.1672687)",Neue Straße,,
18488179,,,residential,30,,False,False,55.223,"LINESTRING (7.3532417 53.1671217, 7.3532605 53.1670823, 7.3534694 53.1666442)",Marktstraße,,
18833422,,,unclassified,30,,False,False,204.63600000000002,"LINESTRING (7.3532417 53.1671217, 7.3522111 53.1670185, 7.3518111 53.1669828, 7.3503307 53.1668534, 7.3502063 53.1668502)",Neue Straße,,
"[64527602, 729095262, 1009031679]",,,unclassified,30,,False,True,45.786,"LINESTRING (7.3532417 53.1671217, 7.3535751 53.1671987, 7.353703 53.1672277, 7.3538833 53.1672687)",Neue Straße,,
18833421,,,residential,,,False,False,75.31200000000001,"LINESTRING (7.353967 53.1653181, 7.3542382 53.1652632, 7.3545425 53.1651977, 7.3548759 53.1651151, 7.3550316 53.1651357)",Westerstraße,,
345246703,,,residential,,,False,True,78.147,"LINESTRING (7.353967 53.1653181, 7.3539747 53.1654173, 7.3538719 53.1657145, 7.3538074 53.1659105, 7.3537726 53.1660085)",Marktstraße,,
