osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,junction
29038893,L 410,Hauptstraße,secondary,50,False,True,109.536,"LINESTRING (9.7818246 52.1583187, 9.7817184 52.1583387, 9.781663 52.1583433, 9.7815694 52.1583511, 9.7815078 52.1583562, 9.7812123 52.1583818, 9.7810028 52.1584109, 9.7804911 52.158543, 9.7804543 52.1585525, 9.7802828 52.1585697)",,,
1202262235,K 503,Burgstemmer Straße,tertiary,,True,False,42.593999999999994,"LINESTRING (9.7818246 52.1583187, 9.7817426 52.1582747, 9.7816856 52.1581857, 9.7816756 52.1580716, 9.7816982 52.1580249, 9.7817642 52.1579839)",1,,
"[1202262240, 29427477, 1202262239]",L 410,Hauptstraße,secondary,50,False,True,179.87400000000002,"LINESTRING (9.7818246 52.1583187, 9.7819288 52.1584764, 9.7821329 52.1588376, 9.7821702 52.1589125, 9.7822214 52.1590071, 9.7824153 52.1593649, 9.7825069 52.1595607, 9.7826349 52.1598569)",2,,
28829805,,Knollenstraße,residential,30,False,True,182.274,"LINESTRING (9.7802828 52.1585697, 9.7802833 52.1586142, 9.7802835 52.1586286, 9.7804004 52.1589562, 9.7806242 52.1592212, 9.7806616 52.1593156, 9.7806487 52.1594237, 9.7805706 52.1595268, 9.7804389 52.1596201, 9.7802049 52.1597495, 9.7799807 52.1598735, 9.7799264 52.1599265, 9.7798935 52.159986)",,,
29038893,L 410,Hauptstraße,secondary,50,False,False,109.536,"LINESTRING (9.7802828 52.1585697, 9.7804543 52.1585525, 9.7804911 52.158543, 9.7810028 52.1584109, 9.7812123 52.1583818, 9.7815078 52.1583562, 9.7815694 52.1583511, 9.781663 52.1583433, 9.7817184 52.1583387, 9.7818246 52.1583187)",,,
29038893,L 410,Hauptstraße,secondary,50,False,True,184.088,"LINESTRING (9.7802828 52.1585697, 9.7801476 52.158565, 9.7798573 52.1585273, 9.7793931 52.1584669, 9.7791482 52.1584599, 9.7788854 52.1584837, 9.7786143 52.1585181, 9.7785052 52.1585248, 9.7779306 52.1585661, 9.7778749 52.1585697, 9.7777685 52.1585804, 9.7776202 52.1586016)",,,
28819596,,Johann-Sebastian-Bach-Straße,residential,30,False,True,103.709,"LINESTRING (9.7830271 52.1561995, 9.7830101 52.1562551, 9.7830158 52.1563556, 9.7830226 52.156475, 9.7830221 52.1564879, 9.7830101 52.1565322, 9.7829534 52.1565831, 9.782688 52.1567471, 9.7823355 52.1569629)",,,
28819596,,Johann-Sebastian-Bach-Straße,residential,30,False,False,103.709,"LINESTRING (9.7823355 52.1569629, 9.782688 52.1567471, 9.7829534 52.1565831, 9.7830101 52.1565322, 9.7830221 52.1564879, 9.7830226 52.156475, 9.7830158 52.1563556, 9.7830101 52.1562551, 9.7830271 52.1561995)",,,
28819788,,Beethovenstraße,residential,30,False,True,49.029,"LINESTRING (9.7823355 52.1569629, 9.7825395 52.1570869, 9.7827072 52.1571888, 9.7827374 52.1572072, 9.7828461 52.1572732)",,,
23979209,K 503,Burgstemmer Straße,tertiary,,False,False,59.722,"LINESTRING (9.778454 52.1567231, 9.7782597 52.1561994)",2,,
"[23979209, 947617419, 1202271565]",K 503,Burgstemmer Straße,tertiary,,False,True,273.7369999999999,"LINESTRING (9.778454 52.1567231, 9.778497 52.1567963, 9.77855 52.1568867, 9.7786268 52.1569853, 9.7786627 52.1570085, 9.7788295 52.1571055, 9.7789844 52.1571719, 9.7791888 52.1572461, 9.7796538 52.1573798, 9.7812535 52.1578435, 9.7813695 52.1578754, 9.7815273 52.1579218, 9.7816159 52.1579469, 9.7816768 52.1579642, 9.7817642 52.1579839)",2,,
23979209,K 503,Burgstemmer Straße,tertiary,,False,True,59.722,"LINESTRING (9.7782597 52.1561994, 9.778454 52.1567231)",2,,
28828479,,Rathausstraße,residential,30,False,False,100.889,"LINESTRING (9.7843597 52.1599343, 9.7842785 52.1599338, 9.7841108 52.1599425, 9.7839153 52.1599517, 9.7838328 52.1599575, 9.7835843 52.159975, 9.7834302 52.1599858, 9.7831806 52.1600172, 9.7830403 52.1600593, 9.7829301 52.1601063)",,,
29084760,,Schlingweg,living_street,,False,False,38.369,"LINESTRING (9.7843597 52.1599343, 9.7843656 52.1598442, 9.7843662 52.1597917, 9.7843318 52.1597178, 9.7843295 52.1596743, 9.7843793 52.1595982)",,,
"[29462956, 947617422]",,Schlingweg,residential,30,False,False,178.51,"LINESTRING (9.7843597 52.1599343, 9.7844242 52.1599478, 9.7845094 52.1599926, 9.7847745 52.160231, 9.7850117 52.16044, 9.7851286 52.1605515, 9.7852297 52.1606413, 9.7854225 52.1607724, 9.7856887 52.1608763, 9.7857132 52.1608813, 9.7859493 52.1609291, 9.7862259 52.1609526)",,,
947617423,,Schlingweg,residential,30,False,False,28.624,"LINESTRING (9.7862259 52.1609526, 9.7866423 52.1609845)",,,
28829191,,Im Schratfeld,living_street,,False,False,155.162,"LINESTRING (9.7862259 52.1609526, 9.7862268 52.1610449, 9.7863101 52.1612185, 9.7863714 52.1613461, 9.7863879 52.1613804, 9.7864794 52.161571, 9.7865541 52.1617266, 9.7866362 52.1618976, 9.7866434 52.1619093, 9.7866568 52.1619441, 9.7867245 52.1620815, 9.7868009 52.1622446, 9.7868269 52.1622948)",,,
"[29462956, 947617422]",,Schlingweg,residential,30,False,True,178.51000000000002,"LINESTRING (9.7862259 52.1609526, 9.7859493 52.1609291, 9.7857132 52.1608813, 9.7856887 52.1608763, 9.7854225 52.1607724, 9.7852297 52.1606413, 9.7851286 52.1605515, 9.7850117 52.16044, 9.7847745 52.160231, 9.7845094 52.1599926, 9.7844242 52.1599478, 9.7843597 52.1599343)",,,
