osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref,bridge,junction
1077140913,Im Lehen,residential,False,True,32.554,,"LINESTRING (8.3754338 48.5045695, 8.3752512 48.5043029)",,,,
311325797,Oberdorfstraße,residential,False,False,20.135,30,"LINESTRING (8.3754338 48.5045695, 8.3755213 48.5045185, 8.3755792 48.5044818, 8.3756244 48.5044408)",,,,
311325797,Oberdorfstraße,residential,False,True,106.68700000000001,30,"LINESTRING (8.3754338 48.5045695, 8.3753932 48.504594, 8.3752734 48.5046586, 8.3751541 48.5047155, 8.3748249 48.5048448, 8.3747088 48.504895, 8.3745841 48.5049585, 8.3745332 48.5049887, 8.3744989 48.5050118, 8.3744716 48.5050344, 8.3744467 48.5050629, 8.3744279 48.5051034, 8.3744246 48.5051469, 8.3744433 48.5051935)",,,,
51932632,Oberdorfstraße,residential,False,True,90.51599999999999,30,"LINESTRING (8.3756244 48.5044408, 8.3756654 48.5043597, 8.3757059 48.5042318, 8.3757281 48.5041483, 8.3757379 48.5041131, 8.3757758 48.5039769, 8.3757939 48.503903, 8.3758042 48.5038561, 8.3758046 48.5037853, 8.3758 48.5036941, 8.3757834 48.5036408)",,,,
311325797,Oberdorfstraße,residential,False,True,20.134999999999998,30,"LINESTRING (8.3756244 48.5044408, 8.3755792 48.5044818, 8.3755213 48.5045185, 8.3754338 48.5045695)",,,,
870985776,Uhlandweg,residential,False,False,76.10900000000001,30,"LINESTRING (8.3756244 48.5044408, 8.3756825 48.5044534, 8.3757662 48.5044778, 8.3758224 48.5044931, 8.3759861 48.5045054, 8.3761055 48.5045024, 8.3762627 48.504487, 8.3763022 48.5044814, 8.3764124 48.504461, 8.3766197 48.5044088)",,,,
870985776,Uhlandweg,residential,False,True,16.152,30,"LINESTRING (8.3768225 48.5043592, 8.3767238 48.5043705, 8.3766197 48.5044088)",,,,
"[25075409, 1050724263]",Uferweg,residential,False,False,77.71,20,"LINESTRING (8.3716794 48.5051767, 8.3715731 48.5050792, 8.3715016 48.504986, 8.3714762 48.5048983, 8.371471 48.5047275, 8.3714863 48.5046362, 8.3714893 48.5046123, 8.3715266 48.5045174)",,,,
"[78485700, 79265046, 79265092]",Freudenstädter Straße,primary,False,False,35.369,30,"LINESTRING (8.3716794 48.5051767, 8.3717233 48.5051423, 8.3718236 48.5051013, 8.3718657 48.5050818, 8.3720483 48.5049757)",2,B 462,,
439357479,Freudenstädter Straße,primary,False,True,94.52799999999999,30,"LINESTRING (8.3716794 48.5051767, 8.3716276 48.5052411, 8.3716095 48.5053108, 8.3715929 48.5054109, 8.3715666 48.5055809, 8.3715321 48.5057289, 8.3714311 48.506006)",2,B 462,,
