osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,access,ref
4088950,2,Aussiger Straße,tertiary,50,False,False,151.695,"LINESTRING (12.198402 48.9869969, 12.1982266 48.9870758, 12.1978744 48.9872053, 12.1978484 48.9872151, 12.1972767 48.9874198, 12.1970677 48.9874946, 12.1968369 48.9875772, 12.1967926 48.9875931, 12.1966187 48.9876553, 12.1965909 48.9876654)",,,
"[5574360, 846311924]",2,Bayerwaldstraße,tertiary,50,False,False,256.749,"LINESTRING (12.198402 48.9869969, 12.1983268 48.9868947, 12.1981204 48.9866144, 12.1978128 48.9862175, 12.1977617 48.9861537, 12.1976074 48.9859737, 12.1975123 48.9858693, 12.1971924 48.9855414, 12.1971741 48.9855183, 12.197063 48.9853847, 12.1969674 48.9852695, 12.1968186 48.9850886, 12.1967213 48.9849704)",,,
"[580884525, 1091623743]","['2', '3']",Keplerstraße,residential,50,False,"[False, True]",78.37700000000001,"LINESTRING (12.198402 48.9869969, 12.1985839 48.9869306, 12.1991246 48.9867395, 12.1992907 48.9866672, 12.1993345 48.9866481)",,,
1027130790,2,Neudeker Straße,tertiary,50,False,True,208.262,"LINESTRING (12.198402 48.9869969, 12.1984508 48.9870562, 12.1984977 48.9871127, 12.1988367 48.9875366, 12.1988727 48.9875808, 12.1993508 48.9881606, 12.1994498 48.9882801, 12.1995217 48.9883692, 12.1995471 48.9884007, 12.1995806 48.9884405, 12.199628 48.9884968, 12.1997557 48.9886457)",,,
9562533,,Rosengasse,living_street,,False,True,116.572,"LINESTRING (12.1980647 48.9894565, 12.1966614 48.9899576)",,,
4088963,,Erzgebirgstraße,residential,30,False,False,68.223,"LINESTRING (12.1980647 48.9894565, 12.1979929 48.9893679, 12.1978178 48.9891646, 12.1976772 48.9890015, 12.1976145 48.9889189)",,,
4088963,,Erzgebirgstraße,residential,30,False,True,69.042,"LINESTRING (12.1980647 48.9894565, 12.1982811 48.9897179, 12.1985061 48.9899796, 12.198523 48.9899997)",,,
4088956,,Birkenallee,living_street,,False,True,76.57200000000002,"LINESTRING (12.1921783 48.9909737, 12.1918537 48.9905934, 12.1918298 48.9905223, 12.1918332 48.9904709, 12.1918548 48.9903432)",,,
9562534,,Moosweg,living_street,,False,True,116.037,"LINESTRING (12.1976145 48.9889189, 12.1962209 48.9894216)",,,
4088963,,Erzgebirgstraße,residential,30,False,False,158.14299999999997,"LINESTRING (12.1976145 48.9889189, 12.1973237 48.9885524, 12.1971414 48.9883236, 12.1970435 48.9882035, 12.1967694 48.9878782, 12.1965909 48.9876654)",,,
4088963,,Erzgebirgstraße,residential,30,False,True,68.223,"LINESTRING (12.1976145 48.9889189, 12.1976772 48.9890015, 12.1978178 48.9891646, 12.1979929 48.9893679, 12.1980647 48.9894565)",,,
4088950,2,Aussiger Straße,tertiary,50,False,False,117.908,"LINESTRING (12.1965909 48.9876654, 12.1963701 48.9877378, 12.1961721 48.9878042, 12.1959831 48.9878678, 12.1959266 48.9878875, 12.1955848 48.9880069, 12.1951584 48.9881559)",,,
4088950,2,Aussiger Straße,tertiary,50,False,True,151.695,"LINESTRING (12.1965909 48.9876654, 12.1966187 48.9876553, 12.1967926 48.9875931, 12.1968369 48.9875772, 12.1970677 48.9874946, 12.1972767 48.9874198, 12.1978484 48.9872151, 12.1978744 48.9872053, 12.1982266 48.9870758, 12.198402 48.9869969)",,,
4088963,,Erzgebirgstraße,residential,30,False,True,158.143,"LINESTRING (12.1965909 48.9876654, 12.1967694 48.9878782, 12.1970435 48.9882035, 12.1971414 48.9883236, 12.1973237 48.9885524, 12.1976145 48.9889189)",,,
