osmid,lanes,name,highway,maxspeed,width,oneway,reversed,length,geometry,junction,ref,tunnel
15014823,2,Johannisstraße,residential,30,8,False,True,46.474000000000004,"LINESTRING (7.3392132 51.4401216, 7.3392638 51.4401267, 7.3393052 51.4401309, 7.3393431 51.4401342, 7.3394562 51.4401506, 7.339583 51.440178, 7.3396869 51.4402051, 7.3397701 51.4402358, 7.3398315 51.4402672)",,,
1160725242,1,,residential,30,,True,False,16.276999999999997,"LINESTRING (7.3392132 51.4401216, 7.3392022 51.4401386, 7.3391835 51.4401527, 7.3391588 51.4401626, 7.3391305 51.4401674, 7.3391011 51.4401667, 7.3390735 51.4401604, 7.3390503 51.4401493, 7.3390335 51.4401343)",roundabout,,
"[239177192, 25514566]","['3', '1']",Bonhoefferstraße,residential,30,,False,False,181.06999999999996,"LINESTRING (7.3386916 51.4402318, 7.3386475 51.440242, 7.3385952 51.4402589, 7.3383619 51.4402812, 7.3379909 51.4403147, 7.3377001 51.4403409, 7.3373334 51.4403746, 7.3371048 51.4403957, 7.3368418 51.4404219, 7.3366129 51.4404269, 7.336576 51.4404268, 7.3362937 51.4404242, 7.3361631 51.4404166, 7.3361091 51.4404135)",,,
74686966,1,Bonhoefferstraße,residential,30,,False,False,26.113999999999997,"LINESTRING (7.3386916 51.4402318, 7.3387394 51.4402152, 7.3387778 51.440201, 7.3388668 51.4401791, 7.3389433 51.4401611, 7.3389839 51.440149, 7.3390335 51.4401343)",,,
"[279335904, 389792625, 82629809]",1,Johannisstraße,residential,30,,False,True,132.125,"LINESTRING (7.3386916 51.4402318, 7.3386874 51.4402149, 7.3386778 51.4401579, 7.3386607 51.4401245, 7.3385994 51.4400448, 7.3384739 51.4399964, 7.3382349 51.4398827, 7.3378149 51.4396701, 7.3377388 51.4396352, 7.3376062 51.4395479, 7.3373877 51.4394089)",,,
"[15014907, 239177191]","['3', '1']",Wideystraße,residential,30,6,False,False,142.208,"LINESTRING (7.3361091 51.4404135, 7.3360626 51.4404139, 7.3359168 51.4404153, 7.3358515 51.4404176, 7.33578 51.4404281, 7.3357124 51.440442, 7.3356092 51.440472, 7.3352856 51.4405965, 7.3351409 51.440655, 7.3344994 51.4409143, 7.3343933 51.4409572, 7.3343637 51.4409654, 7.3343084 51.4409788)",,,
"[239175977, 30075557]",3,Hauptstraße,secondary,50,,False,False,120.213,"LINESTRING (7.3361091 51.4404135, 7.3360329 51.4405738, 7.3359188 51.4408657, 7.3358496 51.4410683, 7.3358377 51.4411046, 7.3358336 51.4411427, 7.3358253 51.441191, 7.335821 51.4413255, 7.3358292 51.4413684, 7.3358399 51.4414239, 7.3358497 51.4414724)",,L 525,
"[26232294, 52315332, 239177190]","['2', '3']",Hauptstraße,secondary,50,,False,True,153.378,"LINESTRING (7.3361091 51.4404135, 7.3361674 51.4403145, 7.3361894 51.4402771, 7.3363198 51.4400633, 7.3363529 51.4400091, 7.3364013 51.439927, 7.3364947 51.4397767, 7.3365495 51.439684, 7.336599 51.4395958, 7.3366313 51.4395414, 7.3367557 51.439336, 7.3368031 51.4392615, 7.3368757 51.4391198)",,L 525,
"[239177192, 25514566]","['3', '1']",Bonhoefferstraße,residential,30,,False,True,181.07,"LINESTRING (7.3361091 51.4404135, 7.3361631 51.4404166, 7.3362937 51.4404242, 7.336576 51.4404268, 7.3366129 51.4404269, 7.3368418 51.4404219, 7.3371048 51.4403957, 7.3373334 51.4403746, 7.3377001 51.4403409, 7.3379909 51.4403147, 7.3383619 51.4402812, 7.3385952 51.4402589, 7.3386475 51.440242, 7.3386916 51.4402318)",,,
238821033,1,Lev-Hasharon-Platz,residential,30,5.5,True,False,15.946,"LINESTRING (7.3343084 51.4409788, 7.3342854 51.4410032, 7.3342482 51.4410236, 7.3342149 51.4410332, 7.3341901 51.4410368, 7.3341669 51.4410377, 7.334142 51.4410362, 7.3341181 51.4410323)",roundabout,,
