osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,width,access,tunnel,bridge
"[32878650, 321356843]",True,"['2', '1']",Buersche Straße,tertiary,50,False,133.02700000000002,"LINESTRING (6.9930531 51.5748039, 6.9932575 51.5747451, 6.9933645 51.574735, 6.9934751 51.5747425, 6.9936586 51.5747611, 6.9940722 51.5747711, 6.994493 51.5748157, 6.9949409 51.5748599)",,,,,,
48147108,False,,Wibbeltstraße,residential,10,False,105.678,"LINESTRING (6.9930154 51.5703741, 6.9931978 51.5694305)",,,,,,
322575889,True,2,Wilhelmstraße,secondary,50,False,73.644,"LINESTRING (6.9930154 51.5703741, 6.9930739 51.5703829, 6.9933213 51.5704202, 6.9934194 51.570436, 6.9938225 51.5705007, 6.9940478 51.5705379)",L 615,,,,,
324222484,False,3,Friedrich-Ebert-Straße,residential,50,True,11.055,"LINESTRING (6.9896676 51.5701356, 6.9896707 51.570235)",,,,,,
"[8453297, 322575892]",True,2,Wilhelmstraße,secondary,50,False,133.935,"LINESTRING (6.9896676 51.5701356, 6.9899321 51.5701477, 6.9901475 51.5701539, 6.9906424 51.570168, 6.9906626 51.5701686, 6.9914102 51.5701624, 6.9916019 51.5701798)",L 615,,,,,
8453301,False,3,Friedrich-Ebert-Straße,residential,50,True,57.842,"LINESTRING (6.9899564 51.5716268, 6.9899571 51.5716974, 6.9899583 51.571723, 6.989959 51.5718556, 6.9899693 51.5719813, 6.9899698 51.5721468)",,,,,,
34287069,False,,Friedrichstraße,residential,30,False,148.045,"LINESTRING (6.9899564 51.5716268, 6.9901017 51.5716357, 6.9901886 51.5716438, 6.9903577 51.5716572, 6.9910379 51.5716979, 6.9911532 51.5717054, 6.9916099 51.5717343, 6.9920844 51.571777)",,,,,,
34287069,False,,Friedrichstraße,residential,30,True,133.92000000000002,"LINESTRING (6.9899564 51.5716268, 6.9898278 51.5716167, 6.9897482 51.5716139, 6.9894002 51.5716006, 6.9889534 51.5715815, 6.9886739 51.571569, 6.9883969 51.5715573, 6.9882497 51.571546, 6.9881958 51.5715411, 6.9880335 51.5715072)",,,,,,
"[324222482, 324222484]",False,3,Friedrich-Ebert-Straße,residential,50,"[False, True]",156.097,"LINESTRING (6.9899564 51.5716268, 6.9899456 51.5715386, 6.9899383 51.571487, 6.9898811 51.5711132, 6.9896864 51.5703398, 6.9896707 51.570235)",,,,,,
49911066,False,4,Bottroper Straße,residential,50,True,51.305,"LINESTRING (6.9842662 51.572215, 6.9835645 51.5720644)",,,,,,
51074108,False,2,Sandstraße,secondary,50,False,176.44,"LINESTRING (6.9842662 51.572215, 6.9833413 51.5728815, 6.982801 51.5733065, 6.9826508 51.5734425)",L 615,,,,,
188473739,False,,Bottroper Straße,residential,50,True,185.787,"LINESTRING (6.9842662 51.572215, 6.9858176 51.5725534, 6.9868093 51.5727564)",,,,,,
"[612770179, 324222535]",False,"['2', '3']",Schützenstraße,secondary,50,True,123.35000000000001,"LINESTRING (6.9842662 51.572215, 6.9847375 51.5718486, 6.9849162 51.571721, 6.9851683 51.5715618, 6.9854084 51.5714084, 6.9854441 51.5713831)",L 615,,,,,
51074108,False,2,Sandstraße,secondary,50,True,176.44,"LINESTRING (6.9826508 51.5734425, 6.982801 51.5733065, 6.9833413 51.5728815, 6.9842662 51.572215)",L 615,,,,,
147587164,False,2,Friedenstraße,residential,30,True,222.293,"LINESTRING (6.9826508 51.5734425, 6.9853932 51.5741394, 6.9854362 51.5741739, 6.985492 51.5742826)",,,,,,
"[1123179820, 37571062]",False,"['2', '1']",Sandstraße,secondary,50,False,107.576,"LINESTRING (6.9826508 51.5734425, 6.982518 51.5735681, 6.9822776 51.5738182, 6.9820378 51.5740655, 6.9818592 51.574275)",L 615,,,,,
432866837,True,1,,secondary,50,False,9.599,"LINESTRING (6.9923517 51.5747348, 6.9923944 51.574711, 6.9924711 51.5746938)",,roundabout,,,,
10525352,True,1,Buersche Straße,secondary,50,False,27.78,"LINESTRING (6.9926581 51.5747578, 6.9928248 51.5747747, 6.9930531 51.5748039)",,,,,,
432866836,True,1,,secondary,50,False,11.991,"LINESTRING (6.9926581 51.5747578, 6.9926753 51.5747985, 6.9926702 51.5748342, 6.9926524 51.574862)",,roundabout,,,,
