osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,ref
"[248186785, 25214804]","['2', '1']",Kirchstraße,residential,30,False,False,156.10899999999995,"LINESTRING (8.7243959 52.8453202, 8.7243221 52.8453349, 8.7241918 52.8453719, 8.7239653 52.8454335, 8.7235157 52.8455524, 8.7234238 52.8455765, 8.7233105 52.8455979, 8.7231674 52.845611, 8.7230564 52.8456073, 8.7229402 52.8456, 8.7227876 52.8455707, 8.7226081 52.8455272, 8.722563 52.8455136, 8.7224806 52.8455015, 8.722406 52.8455031, 8.7223115 52.8455335, 8.7222399 52.8455617, 8.7222265 52.845567)",,,
25214804,1,Kirchstraße,residential,30,False,True,64.82900000000001,"LINESTRING (8.7243959 52.8453202, 8.7245371 52.8453088, 8.7246532 52.8453103, 8.7247624 52.8453246, 8.7248979 52.8453509, 8.7252501 52.8454158, 8.7253308 52.8454308)",,,
4844015,1,Syker Straße,tertiary,,True,False,13.284999999999998,"LINESTRING (8.7293974 52.8506223, 8.7293568 52.8506393, 8.7293097 52.8506485, 8.7292602 52.8506492, 8.7292126 52.8506412)",roundabout,,
26701473,2,Syker Straße,tertiary,,False,True,222.361,"LINESTRING (8.7293974 52.8506223, 8.7295126 52.8506533, 8.7303719 52.8510066, 8.7321078 52.8517683)",,,
4844015,1,Syker Straße,tertiary,,True,False,19.05,"LINESTRING (8.7292126 52.8506412, 8.7291653 52.8506223, 8.7291309 52.850595, 8.7291134 52.8505624, 8.7291146 52.8505282, 8.7291345 52.8504961)",roundabout,,
22954392,,In der Hollbinde,residential,30,False,True,84.654,"LINESTRING (8.7292126 52.8506412, 8.7291814 52.8507121, 8.7291432 52.8508691, 8.7290482 52.8512243, 8.7290035 52.8513916)",,5,
4844015,1,Syker Straße,tertiary,,True,False,18.086000000000002,"LINESTRING (8.7291345 52.8504961, 8.7291685 52.8504709, 8.729214 52.8504534, 8.7292662 52.8504454, 8.7293199 52.8504477, 8.7293698 52.85046)",roundabout,,
4844016,2,Syker Straße,tertiary,,False,False,176.734,"LINESTRING (8.7291345 52.8504961, 8.7290485 52.8504543, 8.728669 52.8502833, 8.7285251 52.8502122, 8.7283495 52.8501287, 8.7280485 52.8499934, 8.7279795 52.8499624, 8.7273217 52.849696, 8.7271111 52.8496021, 8.7269905 52.8495859)",,,
4844015,1,Syker Straße,tertiary,,True,False,20.893,"LINESTRING (8.7293698 52.85046, 8.7294094 52.8504802, 8.729437 52.8505067, 8.7294501 52.850537, 8.7294475 52.8505683, 8.7294294 52.8505976, 8.7293974 52.8506223)",roundabout,,
22909337,,Lange Wand,residential,50,False,False,164.365,"LINESTRING (8.7293698 52.85046, 8.729458 52.8503925, 8.7295623 52.8502662, 8.7296989 52.8501682, 8.7300002 52.8499324, 8.7308686 52.8492954)",,,
4844016,2,Syker Straße,tertiary,,False,True,176.734,"LINESTRING (8.7269905 52.8495859, 8.7271111 52.8496021, 8.7273217 52.849696, 8.7279795 52.8499624, 8.7280485 52.8499934, 8.7283495 52.8501287, 8.7285251 52.8502122, 8.728669 52.8502833, 8.7290485 52.8504543, 8.7291345 52.8504961)",,,
312338344,1,,tertiary,,True,False,18.496,"LINESTRING (8.7269905 52.8495859, 8.7269864 52.8496191, 8.726965 52.8496497, 8.7269284 52.8496746, 8.7268805 52.8496911, 8.7268265 52.8496975)",roundabout,,
312338344,1,,tertiary,,True,False,15.802,"LINESTRING (8.7268265 52.8496975, 8.7267682 52.8496924, 8.7267164 52.8496757, 8.7266771 52.8496493, 8.7266551 52.8496163)",roundabout,,
720025762,2,Bremer Straße,tertiary,,False,False,15.055,"LINESTRING (8.7268265 52.8496975, 8.7268377 52.8497762, 8.7268433 52.8498325)",,,
827132561,2,Bremer Straße,tertiary,30,False,False,11.976,"LINESTRING (8.7257848 52.848056, 8.7257506 52.8479503)",,,
4844026,2,Bremer Straße,tertiary,30,False,False,86.76,"LINESTRING (8.7257848 52.848056, 8.7257881 52.8480842, 8.7259482 52.8482196, 8.7262234 52.8484537, 8.7263666 52.8485717, 8.726512 52.848696)",,,
341882921,,Lange Straße,residential,,False,True,146.66,"LINESTRING (8.7257848 52.848056, 8.7256175 52.8481218, 8.7250281 52.8487292, 8.7248164 52.8489162, 8.7246162 52.8490886, 8.7245712 52.849139)",,,
41845346,2,Bremer Straße,secondary,50,False,False,12.556,"LINESTRING (8.7217527 52.8452353, 8.7216183 52.8451568)",,,L 776
