osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,access
"[22796296, 961905665, 34111262]",S 128,Görlitzer Straße,secondary,50,False,False,44.058,yes,"LINESTRING (14.8321611 51.0489676, 14.832043 51.0489749, 14.8318863 51.0489989, 14.8315372 51.0490173)",,
"[108047954, 108047916]",,Uferweg,residential,30,False,False,190.508,yes,"LINESTRING (14.8321611 51.0489676, 14.8318213 51.048495, 14.8312293 51.0475759, 14.8310442 51.0477423)",,
961905665,S 128,Görlitzer Straße,secondary,,False,False,11.29,,"LINESTRING (14.8314421 51.048991, 14.8312986 51.0489444)",,
961905665,S 128,Görlitzer Straße,secondary,,False,True,7.263,,"LINESTRING (14.8314421 51.048991, 14.8315372 51.0490173)",,
171566682,,Friedensring,residential,50,False,True,143.78600000000003,,"LINESTRING (14.8314421 51.048991, 14.8314443 51.0485458, 14.8313742 51.0482979, 14.8313509 51.0482459, 14.8312221 51.0479583, 14.8311294 51.0478395, 14.8310442 51.0477423)",,
108047948,,Mary-Neumann-Straße,residential,30,True,False,141.166,,"LINESTRING (14.8271491 51.0471793, 14.8283736 51.0461698)",,
451543452,S 128,Görlitzer Straße,secondary,30,False,True,66.798,,"LINESTRING (14.8271491 51.0471793, 14.8279361 51.04752)",2,
"[132710103, 22796295]",S 128,"['Markt', 'Zittauer Straße']",secondary,50,False,False,74.036,,"LINESTRING (14.8271491 51.0471793, 14.8265557 51.0469207, 14.8264952 51.0468424, 14.8264853 51.0467177)",2,
151553837,S 129,Markt,secondary,,False,True,65.313,,"LINESTRING (14.8271491 51.0471793, 14.8271133 51.0472102, 14.8267483 51.0475299, 14.8266636 51.047604, 14.8266039 51.0476563)",2,
24162490,,Adolf-Klose-Straße,residential,30,False,False,95.719,,"LINESTRING (14.8264853 51.0467177, 14.8273632 51.0460571)",,
132710103,S 128,Zittauer Straße,secondary,50,False,False,67.586,,"LINESTRING (14.8264853 51.0467177, 14.8264491 51.0465748, 14.8263535 51.0464445, 14.8261722 51.0461459)",2,
"[22796295, 132710103]",S 128,"['Zittauer Straße', 'Markt']",secondary,50,False,True,74.036,,"LINESTRING (14.8264853 51.0467177, 14.8264952 51.0468424, 14.8265557 51.0469207, 14.8271491 51.0471793)",2,
132710080,,Am Graben,residential,,False,False,89.026,,"LINESTRING (14.8261722 51.0461459, 14.8269179 51.0459908, 14.8270729 51.0459707, 14.827198 51.0459827, 14.8273632 51.0460571)",,
"[132710104, 132710087, 132710103]",S 128,Zittauer Straße,secondary,50,False,False,143.373,yes,"LINESTRING (14.8261722 51.0461459, 14.826104 51.0460216, 14.8259282 51.0458841, 14.8256638 51.0458427, 14.8254749 51.0458611, 14.8251296 51.0459304, 14.8250409 51.0459317, 14.8247795 51.0459045, 14.8247678 51.0459033, 14.8245107 51.0458653, 14.8244095 51.0458468)",2,
132710103,S 128,Zittauer Straße,secondary,50,False,True,67.586,,"LINESTRING (14.8261722 51.0461459, 14.8263535 51.0464445, 14.8264491 51.0465748, 14.8264853 51.0467177)",2,
24510701,K 8613,Herrnhuter Straße,tertiary,,False,False,10.082,,"LINESTRING (14.8244095 51.0458468, 14.8243832 51.0458796, 14.8243312 51.0459225)",,
