osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,tunnel,ref,junction
706242490,2,Behringstraße,tertiary,30,False,True,10.034,"LINESTRING (8.8833158 51.9376974, 8.8832487 51.9377776)",,,,,
108130361,3,Hasselter Platz,tertiary,30,True,False,65.376,"LINESTRING (8.8833158 51.9376974, 8.8832911 51.9376304, 8.883375 51.9374207, 8.8833858 51.937247, 8.8834078 51.9371183)",,,,,
"[377100122, 1163984254, 1163984255]",1,Richthofenstraße,tertiary,50,True,False,59.419000000000004,"LINESTRING (8.8833158 51.9376974, 8.8835115 51.9377575, 8.8836207 51.9378386, 8.8837333 51.9379137, 8.8837797 51.9379399, 8.8838733 51.9380088, 8.8839181 51.9380657)",,,,,
686966965,3,Wotanstraße,tertiary,30,True,False,45.726,"LINESTRING (8.8764911 51.9403519, 8.8764366 51.9403744, 8.8763461 51.940409, 8.8761341 51.9404642, 8.8760795 51.9404771, 8.8758822 51.9405144)",,,,,
"[870908420, 27833101, 617895159, 1163984252, 1163984253, 94522750]","['4', '2', '3']",Wotanstraße,tertiary,30,False,True,190.60999999999999,"LINESTRING (8.8764911 51.9403519, 8.8765665 51.9403329, 8.8765831 51.9403283, 8.8766365 51.9403143, 8.8768415 51.9402592, 8.8770325 51.9402078, 8.8772541 51.9401482, 8.8773112 51.9401345, 8.877571 51.9400723, 8.8776212 51.9400603, 8.8777038 51.9400405, 8.8779885 51.9399723, 8.8780868 51.9399498, 8.8781803 51.9399283, 8.8788963 51.939764, 8.8790809 51.9397302)",yes,,,,
326279493,2,Paulinenstraße,secondary,30,True,False,9.739,"LINESTRING (8.8757674 51.940532, 8.8757245 51.9404485)",,,,,
686966969,1,Industriestraße,tertiary,50,True,False,38.033,"LINESTRING (8.8757674 51.940532, 8.8756159 51.9405549, 8.8753968 51.9405923, 8.8752262 51.9406031)",,,,,
27833082,,Grabbestraße,residential,20,False,True,60.336,"LINESTRING (8.8744977 51.9371673, 8.8746066 51.9371429, 8.8747046 51.937122, 8.8748556 51.9370793, 8.875305 51.9369522)",,5,,,
"[183324182, 119665079]","['2', '3']",Paulinenstraße,secondary,30,False,True,101.432,"LINESTRING (8.8744977 51.9371673, 8.8745287 51.9372441, 8.8745508 51.9373102, 8.8745839 51.9374127, 8.8746307 51.9375266, 8.8746761 51.9376372, 8.8747879 51.9379282, 8.8748374 51.938055)",,,,,
1223203335,2,Paulinenstraße,secondary,30,False,False,45.587,"LINESTRING (8.8744977 51.9371673, 8.8744519 51.9370421, 8.8743384 51.9367693)",,,,,
"[532392075, 38387220, 38387221]",,,residential,50,False,True,42.463,"LINESTRING (8.8742254 51.9344842, 8.874133 51.9344651, 8.8741135 51.934461, 8.8739507 51.9344274, 8.8736382 51.9343627)",,,building_passage,,
"[870817657, 532398151]",3,Paulinenstraße,secondary,30,False,True,72.086,"LINESTRING (8.8742254 51.9344842, 8.8740707 51.9348015, 8.874032 51.9348844, 8.8739488 51.9350718, 8.8739332 51.9351069)",,,,L 758,
"[870817659, 870817637]","['2', '3']",Paulinenstraße,secondary,30,False,False,67.375,"LINESTRING (8.8742254 51.9344842, 8.8742413 51.9344543, 8.8742769 51.9343823, 8.8743248 51.9342857, 8.8743521 51.9342305, 8.8744865 51.9340381, 8.874523 51.9339996, 8.8746104 51.9339321)",,,,L 758,
870817654,3,Paulinenstraße,secondary,30,False,False,7.07,"LINESTRING (8.8741425 51.9362715, 8.8741219 51.9362092)",,,,,
122302661,3,Paulinenstraße,secondary,30,False,True,56.966,"LINESTRING (8.8741425 51.9362715, 8.8741469 51.9362847, 8.8741571 51.9363178, 8.8741738 51.9363654, 8.8742178 51.9364726, 8.8743231 51.9367317, 8.8743384 51.9367693)",,,,,
30083921,2,Hermannstraße,tertiary,50,False,True,45.954,"LINESTRING (8.8723933 51.937985, 8.8724267 51.9380758, 8.8725209 51.9383187, 8.8725545 51.938386)",,,,,
"[30083923, 892820477]",1,Hermannstraße,residential,30,False,False,102.407,"LINESTRING (8.8723933 51.937985, 8.8723575 51.9378993, 8.8720921 51.9372478, 8.8720286 51.9370919)",,9,,,
"[32557666, 532337047]",,Krumme Straße,residential,20,False,True,132.147,"LINESTRING (8.8762925 51.9356518, 8.8762649 51.9356119, 8.8761509 51.9354603, 8.8761349 51.9354236, 8.8761308 51.9353999, 8.8761317 51.9353751, 8.8761523 51.935337, 8.8762333 51.9352409, 8.8767887 51.9345817)",,4.5,,,
4579537,,Freiligrathstraße,residential,20,False,False,56.517,"LINESTRING (8.8767887 51.9345817, 8.8766579 51.9345154, 8.8761389 51.9343592, 8.8760636 51.9343479)",,4.5,,,
"[32557666, 532337047]",,Krumme Straße,residential,20,False,False,132.147,"LINESTRING (8.8767887 51.9345817, 8.8762333 51.9352409, 8.8761523 51.935337, 8.8761317 51.9353751, 8.8761308 51.9353999, 8.8761349 51.9354236, 8.8761509 51.9354603, 8.8762649 51.9356119, 8.8762925 51.9356518)",,4.5,,,
138584072,,Schülerstraße,residential,20,False,True,62.036,"LINESTRING (8.880348 51.9345473, 8.8803691 51.9345229, 8.8803954 51.9345129, 8.8805533 51.9344495, 8.8807449 51.934383, 8.8811087 51.9342526)",,,,,
359487640,3,Paulinenstraße,secondary,30,False,False,42.989000000000004,"LINESTRING (8.8746104 51.9339321, 8.8747499 51.9338592, 8.8751174 51.9337054)",,,,L 758,
"[870817659, 870817637]","['2', '3']",Paulinenstraße,secondary,30,False,True,67.375,"LINESTRING (8.8746104 51.9339321, 8.874523 51.9339996, 8.8744865 51.9340381, 8.8743521 51.9342305, 8.8743248 51.9342857, 8.8742769 51.9343823, 8.8742413 51.9344543, 8.8742254 51.9344842)",,,,L 758,
"[1125593057, 25610939, 331096724, 1223196301]",2,Freiligrathstraße,"['residential', 'living_street']",20,False,True,69.45599999999999,"LINESTRING (8.8746104 51.9339321, 8.8748027 51.9339899, 8.8748799 51.9340125, 8.8754702 51.9341856, 8.8755247 51.9342011)",,"['6', '5']",,,
"[44076560, 1223196318]",,Freiligrathstraße,residential,30,False,False,36.605000000000004,"LINESTRING (8.8746104 51.9339321, 8.8744603 51.9338962, 8.8741216 51.9338)",,5.5,,,
"[44076560, 27819610, 27819611]",,Freiligrathstraße,residential,30,False,True,67.256,"LINESTRING (8.872068 51.9332089, 8.8723088 51.9332777, 8.8725806 51.9333553, 8.872746 51.9334018, 8.8729588 51.9334622)",yes,"['4.5', '5.5']",,,
27832060,,Palaisstraße,residential,30,False,True,173.837,"LINESTRING (8.872068 51.9332089, 8.8721449 51.9331612, 8.872499 51.9327733, 8.872831 51.9324145, 8.8728606 51.9323791, 8.8733394 51.931859)",,4,,,
1125593058,,Palaisstraße,residential,30,False,True,11.318,"LINESTRING (8.8733394 51.931859, 8.8734999 51.9318828)",,4,,,
27832060,,Palaisstraße,residential,30,False,False,173.83700000000002,"LINESTRING (8.8733394 51.931859, 8.8728606 51.9323791, 8.872831 51.9324145, 8.872499 51.9327733, 8.8721449 51.9331612, 8.872068 51.9332089)",,4,,,
1125593058,,Palaisstraße,residential,30,False,False,11.318,"LINESTRING (8.8734999 51.9318828, 8.8733394 51.931859)",,4,,,
"[25829258, 27819612, 27819613]",,Benekestraße,residential,30,False,False,231.022,"LINESTRING (8.8734999 51.9318828, 8.874108 51.932568, 8.8742317 51.9327074, 8.8743296 51.9328177, 8.8744566 51.9329608, 8.8744698 51.9329757, 8.8747838 51.9333295, 8.8750724 51.9336547, 8.8751174 51.9337054)",yes,7.5,,,
"[25829258, 27819612, 27819613]",,Benekestraße,residential,30,False,True,231.022,"LINESTRING (8.8751174 51.9337054, 8.8750724 51.9336547, 8.8747838 51.9333295, 8.8744698 51.9329757, 8.8744566 51.9329608, 8.8743296 51.9328177, 8.8742317 51.9327074, 8.874108 51.932568, 8.8734999 51.9318828)",yes,7.5,,,
"[102999892, 140038199]",2,"['Willy-Brandt-Platz', 'Paulinenstraße']",secondary,30,False,False,157.45600000000002,"LINESTRING (8.8751174 51.9337054, 8.8760806 51.9333652, 8.8765932 51.9332252, 8.8771754 51.9330835)",,,,L 758,
359487640,3,Paulinenstraße,secondary,30,False,True,42.989000000000004,"LINESTRING (8.8751174 51.9337054, 8.8747499 51.9338592, 8.8746104 51.9339321)",,,,L 758,
4576214,1,Heinrich-Drake-Straße,residential,50,False,True,162.365,"LINESTRING (8.8743384 51.9367693, 8.8742037 51.9367874, 8.873709 51.9368538, 8.8725088 51.9370232, 8.8721205 51.9370773, 8.8720286 51.9370919)",,,,,
122302661,3,Paulinenstraße,secondary,30,False,False,56.966,"LINESTRING (8.8743384 51.9367693, 8.8743231 51.9367317, 8.8742178 51.9364726, 8.8741738 51.9363654, 8.8741571 51.9363178, 8.8741469 51.9362847, 8.8741425 51.9362715)",,,,,
1223203335,2,Paulinenstraße,secondary,30,False,True,45.587,"LINESTRING (8.8743384 51.9367693, 8.8744519 51.9370421, 8.8744977 51.9371673)",,,,,
4579472,,Doktorweg,residential,30,False,False,118.728,"LINESTRING (8.8790809 51.9397302, 8.8790445 51.9396189, 8.8789192 51.9392407, 8.8787387 51.9386835)",,,,,
