osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction,lanes,ref,tunnel
1195520619,True,Würzburger Straße,residential,50,False,25.473,"LINESTRING (9.8068245 52.308141, 9.8067295 52.3080656, 9.8066897 52.3080368, 9.8065924 52.3079612)",,,,
24537951,False,Lange Weihe,residential,30,False,193.43900000000002,"LINESTRING (9.8206189 52.3049923, 9.820228 52.3046947, 9.8198942 52.3044405, 9.8197923 52.3043651, 9.8188194 52.3036449)",,,,
23452830,True,Würzburger Straße,residential,50,False,12.525,"LINESTRING (9.8104284 52.3101515, 9.8102732 52.3100908)",,,,
659881569,True,Gutenbergstraße,residential,30,False,93.065,"LINESTRING (9.8104284 52.3101515, 9.8093218 52.3106442)",,,,
659881568,True,,residential,50,False,17.036,"LINESTRING (9.8084045 52.3091682, 9.808328 52.30918, 9.8082501 52.309174, 9.80817 52.3091449)",roundabout,,,
22744338,False,Mergenthalerstraße,residential,,False,21.901,"LINESTRING (9.8064444 52.3103317, 9.8064629 52.3103149, 9.8066262 52.3101691)",,,,
"[813438361, 22924903]",False,Würzburger Straße,residential,30,False,146.349,"LINESTRING (9.8131144 52.3109846, 9.8133322 52.3110427, 9.8139149 52.31124, 9.8141136 52.3113136, 9.8145225 52.31146, 9.8146665 52.3115158, 9.8149772 52.3116413)",,,,
22981033,False,Pestalozzistraße,residential,30,False,320.052,"LINESTRING (9.8131144 52.3109846, 9.813303 52.3108315, 9.8135259 52.3106636, 9.8136077 52.3106149, 9.8139566 52.3104071, 9.8144925 52.3101253, 9.8145744 52.3100859, 9.8150429 52.3098574, 9.8151858 52.3097849, 9.8153952 52.3096816, 9.8155425 52.309607, 9.815679 52.309537, 9.8157811 52.3094861, 9.8158328 52.3094603, 9.8159139 52.3094198, 9.8160054 52.3093723, 9.8160473 52.3093511, 9.8160698 52.3093403, 9.8162526 52.3092501, 9.8162872 52.3092328, 9.8164393 52.3091588, 9.8166113 52.3090705)",,2,,
24739348,False,Würzburger Straße,residential,,True,72.487,"LINESTRING (9.8131144 52.3109846, 9.8129112 52.3109248, 9.8126136 52.3108305, 9.8121567 52.3106982)",,,,
24739348,False,Würzburger Straße,residential,,False,72.487,"LINESTRING (9.8121567 52.3106982, 9.8126136 52.3108305, 9.8129112 52.3109248, 9.8131144 52.3109846)",,,,
659881562,True,Würzburger Straße,residential,50,False,132.784,"LINESTRING (9.8121567 52.3106982, 9.8119444 52.3106586, 9.8116505 52.3105601, 9.8113731 52.3104729, 9.8107123 52.3102225, 9.8104284 52.3101515)",,,,
"[23452824, 1195520630]",True,Würzburger Straße,residential,50,False,61.86900000000001,"LINESTRING (9.8059948 52.3075374, 9.8064578 52.3077807, 9.8065132 52.3078098, 9.8066586 52.3078863, 9.8066849 52.3079001)",,,,
659881565,True,Erich-Panitz-Straße,secondary,50,False,10.109,"LINESTRING (9.8149476 52.3034787, 9.8150314 52.3034036)",,2,K 260,
