osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,width,tunnel
"[922636721, 922636729]",K 5301,Hauptstraße,tertiary,50,False,False,121.84700000000001,"LINESTRING (8.0849696 48.5281751, 8.0845841 48.528267, 8.0843251 48.5283435, 8.0841516 48.5284011, 8.0838097 48.5285329, 8.0834917 48.5286603)",,,,
922636720,K 5301,Hauptstraße,tertiary,50,False,True,5.795,"LINESTRING (8.0811085 48.5296137, 8.0811868 48.5296085)",,,,
28253357,K 5301,Josef-Geldreich-Straße,tertiary,,False,True,96.18400000000001,"LINESTRING (8.0811085 48.5296137, 8.0810438 48.5295877, 8.0809808 48.5295335, 8.0808144 48.5293522, 8.0807722 48.5293042, 8.0806759 48.5291948, 8.0806361 48.5291559, 8.0806127 48.5291289, 8.0805595 48.5290603, 8.0804935 48.5289753, 8.0804153 48.5288882)",2,,,
173337976,,Hauptstraße,residential,30,False,False,66.41199999999999,"LINESTRING (8.0811085 48.5296137, 8.0808083 48.5297757, 8.0806659 48.5298385, 8.0803945 48.529978)",,,,
28253358,K 5301,Josef-Geldreich-Straße,tertiary,,False,False,8.059,"LINESTRING (8.078043 48.5282519, 8.0781078 48.5283103)",2,,,
38334096,K 5301,Oberdorfstraße,tertiary,30,False,True,20.955,"LINESTRING (8.078043 48.5282519, 8.0779083 48.5280859)",,,,
27238827,,Hauptstraße,living_street,50,False,False,30.747,"LINESTRING (8.0799519 48.5301744, 8.0796107 48.5303338)",,,,
223459643,,Nordring,living_street,10,True,False,41.667,"LINESTRING (8.0799519 48.5301744, 8.0802821 48.5304787)",,,,
"[173337989, 26802327, 28253239, 28253240, 28253241, 902417754]",,Südring,residential,,False,False,169.54500000000002,"LINESTRING (8.0799519 48.5301744, 8.0795264 48.5298416, 8.0793406 48.5297236, 8.07909 48.5296116, 8.0790466 48.5296037, 8.0789471 48.5295843, 8.0789331 48.5295827, 8.0788273 48.529569, 8.0780466 48.5297203)",,yes,,
"[173337978, 902417750]",,Hauptstraße,residential,30,False,True,39.233000000000004,"LINESTRING (8.0799519 48.5301744, 8.0801793 48.5300723, 8.0803945 48.529978)",,,,
10886645,L 89,Appenweierer Straße,secondary,50,False,False,89.15599999999999,"LINESTRING (8.0766998 48.5320376, 8.0766208 48.5320389, 8.076578 48.5320205, 8.0765199 48.5319795, 8.0762918 48.5318186, 8.0758152 48.5315138)",,,,
32851242,L 89,Hauptstraße,secondary,50,False,True,42.58,"LINESTRING (8.0766998 48.5320376, 8.0768317 48.5319907, 8.0771036 48.5318542, 8.0771345 48.5318453, 8.0771879 48.5318418)",,,,
