osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,ref,bridge,width
26467318,Griesweg,residential,False,False,104.938,"LINESTRING (12.6879501 48.6711443, 12.6880013 48.6711038, 12.6883406 48.6707763, 12.6884449 48.6706883, 12.6884562 48.6706788, 12.6885615 48.6706111, 12.6887136 48.6705464, 12.6889228 48.6704788)",,,,,,
78458838,Alte Umgehungsstraße,tertiary,False,False,456.52399999999994,"LINESTRING (12.6879501 48.6711443, 12.6887209 48.6714863, 12.688993 48.6716196, 12.6892445 48.6717577, 12.6895758 48.6719502, 12.6898574 48.6721547, 12.6900914 48.6723266, 12.6903664 48.6725642, 12.6905697 48.6727603, 12.6906809 48.6728559, 12.6908862 48.6730514, 12.6910293 48.6731811, 12.6911759 48.6733129, 12.6913292 48.6734573, 12.6914587 48.6735837, 12.6915949 48.6737163, 12.691746 48.6738631, 12.6918777 48.6739936, 12.6920666 48.6741638)",2,50,,,,
22979534,,secondary,True,False,16.746000000000002,"LINESTRING (12.6922753 48.6742712, 12.6923069 48.6742689, 12.6923558 48.6742713, 12.6924015 48.6742832, 12.6924399 48.6743034, 12.6924674 48.6743302)",,50,roundabout,,,
22979534,,secondary,True,False,27.214999999999996,"LINESTRING (12.6924674 48.6743302, 12.6924823 48.6743638, 12.6924801 48.6743987, 12.6924613 48.6744314, 12.6924276 48.6744584, 12.6923827 48.6744769, 12.6923312 48.674485, 12.6922785 48.6744819)",,50,roundabout,,,
"[1212161452, 22979543]",Hauptstraße,secondary,False,False,66.474,"LINESTRING (12.6924674 48.6743302, 12.6925232 48.6743006, 12.6925777 48.6742693, 12.6927445 48.6741033, 12.692866 48.6739822, 12.6929025 48.6739459, 12.6929385 48.6739174, 12.692973 48.6738962, 12.6930317 48.6738704)",2,50,,St 2114,,
22979534,,secondary,True,False,18.965,"LINESTRING (12.6922785 48.6744819, 12.6922311 48.6744683, 12.6921925 48.6744456, 12.6921665 48.6744162, 12.6921556 48.6743829, 12.6921609 48.6743489)",,50,roundabout,,,
"[22979537, 412510594, 389373621]",Straubinger Straße,secondary,False,False,211.259,"LINESTRING (12.6922785 48.6744819, 12.692218 48.6745606, 12.6913041 48.6757696, 12.6911104 48.6760017, 12.6909692 48.6761734)",2,50,,St 2114,yes,
22979541,Dr.-Schlögl-Platz,secondary,True,False,9.584,"LINESTRING (12.6886864 48.6773307, 12.6887297 48.6773337, 12.6887706 48.6773435, 12.6888068 48.6773594)",,,roundabout,St 2114,,
129375094,Dammstraße,residential,False,True,127.60300000000001,"LINESTRING (12.6886864 48.6773307, 12.6886849 48.6771894, 12.6888488 48.677178, 12.688888 48.6771607, 12.6888985 48.6771407, 12.6889268 48.6770663, 12.6889429 48.6770445, 12.6889599 48.6770285, 12.689002 48.6770061, 12.6890682 48.6769806, 12.6891024 48.6769583, 12.6891299 48.6769239, 12.6891666 48.6768613, 12.6891854 48.676788, 12.689189 48.6767248, 12.6891915 48.6766538, 12.6891859 48.6765673, 12.6891486 48.6763634)",,50,,,,3
26467295,Fischergasse,residential,False,False,107.674,"LINESTRING (12.6930317 48.6738704, 12.692945 48.6738111, 12.6927882 48.6737416, 12.6927083 48.6736992, 12.6926096 48.6736309, 12.6924295 48.6734867, 12.6923131 48.6733659, 12.6921713 48.673173, 12.6921448 48.6731213)",,,,,,
"[975574792, 628522892]",Hauptstraße,secondary,False,False,33.769999999999996,"LINESTRING (12.6930317 48.6738704, 12.6931108 48.6738502, 12.6932001 48.6738404, 12.6932839 48.6738383, 12.6934844 48.6738445)",3,50,,St 2114,,
"[1212161452, 22979543]",Hauptstraße,secondary,False,True,66.474,"LINESTRING (12.6930317 48.6738704, 12.692973 48.6738962, 12.6929385 48.6739174, 12.6929025 48.6739459, 12.692866 48.6739822, 12.6927445 48.6741033, 12.6925777 48.6742693, 12.6925232 48.6743006, 12.6924674 48.6743302)",2,50,,St 2114,,
975574791,Hauptstraße,tertiary,False,False,31.633,"LINESTRING (12.6946887 48.6731877, 12.6943571 48.6730061)",,50,,,,
24997562,Spitalplatz,secondary,False,False,88.946,"LINESTRING (12.6946887 48.6731877, 12.694906 48.6732772, 12.6950455 48.6733259, 12.6957066 48.6734746, 12.6957538 48.6734834, 12.6958019 48.6734924)",,50,,St 2114,,
412464861,Hauptstraße,secondary,False,True,129.47,"LINESTRING (12.6946887 48.6731877, 12.6946016 48.6732736, 12.6943621 48.6736527, 12.6943038 48.6737191, 12.6942352 48.6737668, 12.6941898 48.6737873, 12.6941621 48.6737937, 12.6940257 48.6738189, 12.693798 48.6738333, 12.6936467 48.6738395, 12.6934844 48.6738445)",2,50,,St 2114,,
"[786291995, 25014951]",Hauptstraße,tertiary,False,True,262.44100000000003,"LINESTRING (12.6903233 48.6701416, 12.6902864 48.6701867, 12.6902458 48.6702721, 12.6902236 48.6703392, 12.6902255 48.6704325, 12.6902393 48.6705051, 12.6902869 48.6706213, 12.6903261 48.6706843, 12.6903917 48.6707404, 12.6904563 48.6707825, 12.6905484 48.6708249, 12.6907379 48.6708992, 12.6911487 48.671055, 12.6913177 48.6711165, 12.6914189 48.6711533, 12.6915294 48.671183, 12.6916199 48.6712033, 12.6918783 48.6712402, 12.6920054 48.6712554, 12.6921117 48.6712603, 12.6922045 48.6712704, 12.6922682 48.6712864, 12.6923478 48.6713083, 12.6924175 48.6713391, 12.6924803 48.6713753, 12.6925469 48.6714254, 12.6925941 48.6714718, 12.6926377 48.6715239)",,30,,,,
"[27340610, 452321862]",Schloßweg,residential,False,False,244.16000000000003,"LINESTRING (12.6903233 48.6701416, 12.6902447 48.6700596, 12.6901985 48.669952, 12.6901297 48.6697784, 12.6900068 48.6696072, 12.6899604 48.6695318, 12.6899422 48.6694547, 12.6899318 48.669337, 12.6899291 48.6692487, 12.6899184 48.6691497, 12.6899104 48.6690828, 12.6898756 48.6689892, 12.6898111 48.6689234, 12.6897473 48.6688666, 12.6896717 48.6688463, 12.6896086 48.6688215, 12.6895523 48.6687834, 12.6895282 48.6687551, 12.6895376 48.6687312, 12.6895617 48.6687196, 12.6896341 48.6686966, 12.6898178 48.6686488, 12.6901129 48.6685806, 12.6901571 48.6685779, 12.6903328 48.6685841, 12.6904424 48.6685892)",,,,,,
452321863,Hauptstraße,tertiary,False,False,61.357,"LINESTRING (12.6903233 48.6701416, 12.6903603 48.6701191, 12.6904083 48.6701075, 12.6908613 48.6700592, 12.6910344 48.6700321, 12.6910882 48.6700152, 12.6911159 48.6699982)",,30,,,,
26467307,Marienplatz,tertiary,False,False,17.582,"LINESTRING (12.6911159 48.6699982, 12.6913549 48.6700077)",,30,,,,
452321863,Hauptstraße,tertiary,False,True,61.357,"LINESTRING (12.6911159 48.6699982, 12.6910882 48.6700152, 12.6910344 48.6700321, 12.6908613 48.6700592, 12.6904083 48.6701075, 12.6903603 48.6701191, 12.6903233 48.6701416)",,30,,,,
452321864,Oberer Stadtplatz,tertiary,False,False,101.93900000000001,"LINESTRING (12.6911159 48.6699982, 12.6911302 48.6699781, 12.6911413 48.6699604, 12.691142 48.669931, 12.691138 48.6699105, 12.6911302 48.6698843, 12.6911104 48.669836, 12.6909908 48.6696182, 12.6908484 48.6693589, 12.6907116 48.6691354)",,30,,,,
200144596,Isarlände,residential,False,False,136.627,"LINESTRING (12.6979893 48.6735529, 12.6978371 48.6737175, 12.6975693 48.6742666, 12.6975869 48.674362, 12.6976644 48.6744341, 12.6976808 48.6744398, 12.6977031 48.6744475, 12.6978877 48.6745112, 12.6980327 48.6745613)",,30,,,,
"[200144600, 975574786, 975574787]",Steinfelsstraße,secondary,False,False,250.41099999999994,"LINESTRING (12.6979893 48.6735529, 12.6981336 48.6735995, 12.698256 48.6736549, 12.6983584 48.6737191, 12.6984675 48.6738067, 12.6988794 48.6741728, 12.6990415 48.6742849, 12.6991677 48.67434, 12.6992584 48.6743613, 12.6993565 48.6743751, 12.6994629 48.6743855, 12.6995839 48.6743868, 12.6997018 48.6743806, 12.6998176 48.6743724, 12.6999334 48.6743524, 12.7000366 48.6743262, 12.7001159 48.6742911, 12.7001816 48.6742498, 12.7002463 48.6741871, 12.7003798 48.6740252, 12.7004936 48.6738847)",,50,,St 2114,,
975574788,Steinfelsstraße,secondary,False,True,126.18599999999999,"LINESTRING (12.6979893 48.6735529, 12.6978769 48.673523, 12.6977242 48.6734953, 12.6975914 48.6734786, 12.6973695 48.6734649, 12.6970284 48.6734687, 12.6962894 48.6734909)",,50,,St 2114,,
25001486,Straubinger Straße,secondary,False,False,6.329,"LINESTRING (12.6909692 48.6761734, 12.6909283 48.6762235)",,50,,St 2114,,
26467290,Gärtnerstraße,residential,False,True,84.65100000000001,"LINESTRING (12.6909692 48.6761734, 12.691043 48.6761921, 12.6912894 48.6762802, 12.6918925 48.6765352, 12.6919395 48.6765759)",,,,,,
