osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,lanes,access,tunnel,junction,width
27993083,False,Adam-Herdt-Straße,living_street,False,86.405,"LINESTRING (8.6173131 49.472225, 8.6174733 49.4728876, 8.6174626 49.4729937)",,,,,,,
553700023,False,Schriesheimer Straße,tertiary,True,149.17700000000002,"LINESTRING (8.6173131 49.472225, 8.616345 49.4722836, 8.616074 49.4723041, 8.6152796 49.4724347)",K 4238,30,,,,,
"[426948938, 553700023]",False,Schriesheimer Straße,tertiary,False,84.392,"LINESTRING (8.6141926 49.472695, 8.6143866 49.4726098, 8.6145531 49.4725656, 8.6146447 49.4725473, 8.6152796 49.4724347)",K 4238,30,,,,,
"[30501196, 900351181]",False,Weinheimer Straße,tertiary,True,83.96199999999999,"LINESTRING (8.6141926 49.472695, 8.6140798 49.4727686, 8.6140027 49.4728404, 8.613879 49.4729788, 8.6138071 49.4731587, 8.6137882 49.473206, 8.6137789 49.4732405, 8.6137498 49.473373)",K 4238,30,2,,,,
"[1189305984, 38077076]",False,Trajanstraße,residential,False,36.35,"LINESTRING (8.6141926 49.472695, 8.6141153 49.4726433, 8.6140519 49.4725871, 8.6139482 49.472495, 8.6139142 49.4724275)",,30,3,,,,
28254203,False,Bahnhofstraße,tertiary,True,192.25400000000002,"LINESTRING (8.6067997 49.4710376, 8.6066811 49.4710546, 8.606621 49.4710632, 8.6061951 49.4711907, 8.6056303 49.4713597, 8.6046125 49.4716643, 8.6043705 49.4717367)",,30,,,,,
"[171087688, 162235982]",False,Dr.-Carl-Benz-Platz,tertiary,True,88.52799999999999,"LINESTRING (8.6067997 49.4710376, 8.6067411 49.4708672, 8.6066544 49.4705832, 8.6066266 49.4704882, 8.6065652 49.4702563)",L 597,30,2,,,,
"[239039190, 174737910]",False,"['Hauptstraße', 'Neckartorplatz']",living_street,True,121.97600000000001,"LINESTRING (8.6067997 49.4710376, 8.6069154 49.4710398, 8.6073276 49.4711178, 8.6076666 49.4711805, 8.6077485 49.4712014, 8.607953 49.4712651, 8.6080266 49.4712904, 8.6080845 49.4713103, 8.6083722 49.4714113)",,,,,,,
217566392,False,Wallstadter Straße,tertiary,True,158.753,"LINESTRING (8.6067997 49.4710376, 8.6068249 49.4712018, 8.6068429 49.4714153, 8.6068538 49.472102, 8.6068596 49.4724641)",L 597,30,2,,,,
174958381,False,Cronbergergasse,living_street,True,65.669,"LINESTRING (8.6068596 49.4724641, 8.6071375 49.4724476, 8.6072145 49.4724357, 8.6072678 49.4724216, 8.607391 49.4723873, 8.607481 49.4723796, 8.6075698 49.4723821, 8.6077446 49.4724083)",,,,,,,
217566392,False,Wallstadter Straße,tertiary,False,158.753,"LINESTRING (8.6068596 49.4724641, 8.6068538 49.472102, 8.6068429 49.4714153, 8.6068249 49.4712018, 8.6067997 49.4710376)",L 597,30,2,,,,
217566392,False,Wallstadter Straße,tertiary,True,22.09,"LINESTRING (8.6068596 49.4724641, 8.6068644 49.4725722, 8.6068715 49.4726626)",L 597,30,2,,,,
28271837,False,Friedrich-Ebert-Straße,residential,True,86.021,"LINESTRING (8.6068715 49.4726626, 8.605689 49.4727522)",,30,,,,,
217566392,False,Wallstadter Straße,tertiary,False,22.09,"LINESTRING (8.6068715 49.4726626, 8.6068644 49.4725722, 8.6068596 49.4724641)",L 597,30,2,,,,
217566392,False,Wallstadter Straße,tertiary,True,185.441,"LINESTRING (8.6068715 49.4726626, 8.6068943 49.4730197, 8.6068657 49.4734065, 8.6068041 49.4736699, 8.6067255 49.4738445, 8.6065383 49.4741555, 8.6064594 49.4742866)",L 597,30,2,,,,
4234771,True,Neue Anlage,residential,False,88.83,"LINESTRING (8.6064594 49.4742866, 8.6065533 49.4743197, 8.6069393 49.4744475, 8.607018 49.4744703, 8.6073117 49.4745251, 8.6076057 49.4745553)",,30,,,,,
174535937,False,Jahnstraße,residential,False,64.325,"LINESTRING (8.6064594 49.4742866, 8.6063116 49.4742315, 8.6056714 49.4740176)",,30,,,,,
217566392,False,Wallstadter Straße,tertiary,False,185.441,"LINESTRING (8.6064594 49.4742866, 8.6065383 49.4741555, 8.6067255 49.4738445, 8.6068041 49.4736699, 8.6068657 49.4734065, 8.6068943 49.4730197, 8.6068715 49.4726626)",L 597,30,2,,,,
