osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,ref
35800576,Jeetzelallee,unclassified,50,False,False,138.204,"LINESTRING (11.0998558 53.1026051, 11.0980674 53.1019791)",,,
18116316,An den Ratswiesen,residential,50,False,False,165.21800000000002,"LINESTRING (11.0998558 53.1026051, 11.0998795 53.1025713, 11.0999128 53.102523, 11.1000189 53.1023695, 11.1000829 53.1022787, 11.1001551 53.1021764, 11.1003555 53.1018873, 11.1005896 53.1015496, 11.1008086 53.1012338)",,,
35800576,Jeetzelallee,unclassified,50,False,True,201.856,"LINESTRING (11.0998558 53.1026051, 11.1003838 53.1027401, 11.1026771 53.1032573)",,,
35800576,Jeetzelallee,unclassified,50,False,True,138.204,"LINESTRING (11.0980674 53.1019791, 11.0998558 53.1026051)",,,
"[253589528, 242798205, 4726974, 4726975]",Jeetzelallee,unclassified,50,False,False,367.619,"LINESTRING (11.0980674 53.1019791, 11.0948579 53.1007411, 11.0946698 53.1005989, 11.0945762 53.1005254, 11.0943339 53.1002381, 11.0940382 53.099858)",yes,,
"[18116320, 485517925, 485517926, 485517928, 485517929]",Werder,residential,30,False,False,145.231,"LINESTRING (11.0980674 53.1019791, 11.0980997 53.1019368, 11.0981317 53.1018948, 11.098219 53.1017744, 11.0983258 53.101627, 11.098363 53.1015757, 11.098399 53.1015261, 11.0985159 53.1013647, 11.098617 53.1012253, 11.0986884 53.1011267, 11.0988215 53.1009431, 11.0988347 53.100887, 11.0988296 53.1008332, 11.0988078 53.1007696)",,,
4726974,Jeetzelallee,unclassified,50,False,True,110.173,"LINESTRING (11.0905301 53.0969262, 11.0907346 53.0972537, 11.0908967 53.0974676, 11.0910382 53.0976103, 11.0911395 53.0977027, 11.0912671 53.0978069)",,,
"[42508691, 244392270]",Jeetzelallee,unclassified,50,False,False,59.17700000000001,"LINESTRING (11.0905301 53.0969262, 11.090425 53.0967674, 11.0902605 53.0965656, 11.0902344 53.0965272, 11.0901745 53.0964391)",,"['2', '3']",
254567857,Lindenweg,residential,30,False,True,54.743,"LINESTRING (11.0905301 53.0969262, 11.0905961 53.0969123, 11.0907255 53.0968826, 11.0908826 53.0968347, 11.0910838 53.0967929, 11.0913058 53.0967858)",,,
"[159396056, 159396052, 42508695]",Marschtorstraße,residential,30,False,False,159.644,"LINESTRING (11.0988078 53.1007696, 11.0987569 53.1007239, 11.0986937 53.1006908, 11.0982975 53.1005631, 11.0981856 53.1005142, 11.0980601 53.1004431, 11.0979531 53.1003743, 11.0978349 53.1002839, 11.0977562 53.1002195, 11.0975709 53.1000766, 11.097379 53.0999298, 11.0971558 53.0997591)",yes,,
113559605,Marschtorstraße,residential,10,True,False,143.52200000000002,"LINESTRING (11.0988078 53.1007696, 11.0989003 53.100776, 11.0990876 53.1008108, 11.1004464 53.1011288, 11.1007367 53.101213, 11.1008086 53.1012338)",,,
"[18116320, 485517925, 485517926, 485517928, 485517929]",Werder,residential,30,False,True,145.231,"LINESTRING (11.0988078 53.1007696, 11.0988296 53.1008332, 11.0988347 53.100887, 11.0988215 53.1009431, 11.0986884 53.1011267, 11.098617 53.1012253, 11.0985159 53.1013647, 11.098399 53.1015261, 11.098363 53.1015757, 11.0983258 53.101627, 11.098219 53.1017744, 11.0981317 53.1018948, 11.0980997 53.1019368, 11.0980674 53.1019791)",,,
159396052,Marschtorstraße,residential,30,False,False,23.658,"LINESTRING (11.0971558 53.0997591, 11.0969371 53.0995917)",,,
"[159396056, 159396052, 42508695]",Marschtorstraße,residential,30,False,True,159.64399999999998,"LINESTRING (11.0971558 53.0997591, 11.097379 53.0999298, 11.0975709 53.1000766, 11.0977562 53.1002195, 11.0978349 53.1002839, 11.0979531 53.1003743, 11.0980601 53.1004431, 11.0981856 53.1005142, 11.0982975 53.1005631, 11.0986937 53.1006908, 11.0987569 53.1007239, 11.0988078 53.1007696)",yes,,
219959283,Kirchgarten,living_street,,False,False,178.18200000000002,"LINESTRING (11.0971558 53.0997591, 11.0967072 53.0999287, 11.0965275 53.1000785, 11.0963464 53.1002105, 11.0962552 53.1002749, 11.0961104 53.1003184, 11.0959857 53.1003152, 11.0958998 53.1002692, 11.095835 53.1002217, 11.0953092 53.099782)",,,
1179799606,Marschtorstraße,residential,30,False,False,9.728,"LINESTRING (11.0966717 53.0992485, 11.0966623 53.0991612)",,,
26702462,An der Kirche,living_street,,False,True,71.531,"LINESTRING (11.0966717 53.0992485, 11.09624 53.0993978, 11.0960737 53.0994195, 11.0957546 53.0995673)",,,
112981203,Marschtorstraße,residential,30,False,True,19.17,"LINESTRING (11.0966717 53.0992485, 11.0967109 53.0993336, 11.0967709 53.0994096)",,,
18116322,Münzstraße,residential,10,True,False,23.894,"LINESTRING (11.0956366 53.0987475, 11.0958951 53.0985989)",,,
26702718,Lange Straße,living_street,,True,False,62.013,"LINESTRING (11.0956366 53.0987475, 11.0951134 53.0985054, 11.0950288 53.0984663, 11.0949005 53.0984074)",,,
42508698,Schloßgraben,residential,30,False,True,53.69,"LINESTRING (11.0971367 53.0985683, 11.0967755 53.0989997)",,,
