osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,bridge,junction
116837267,Lange Straße,tertiary,30,8.1,False,False,48.917,"LINESTRING (10.1758891 48.6216724, 10.176161 48.6214958, 10.1763706 48.6213688)",,,
682362567,Lange Straße,tertiary,30,,False,True,97.35,"LINESTRING (10.1758891 48.6216724, 10.1758012 48.6217296, 10.1756457 48.6218307, 10.1755444 48.6218966, 10.1754144 48.6219811, 10.1753681 48.6220113, 10.17515 48.6221531, 10.1750109 48.6222436, 10.174945 48.6222864)",2,,
"[844342013, 844329583]",Giengener Straße,tertiary,50,,False,True,113.35900000000001,"LINESTRING (10.1758891 48.6216724, 10.1761455 48.6218103, 10.1762993 48.6218694, 10.1764641 48.6219044, 10.1766343 48.6219305, 10.1766574 48.6219325, 10.1773146 48.6219888)",,,
"[844327071, 785194774, 785194775]",Lange Straße,tertiary,30,8.4,False,False,30.264999999999997,"LINESTRING (10.1798992 48.619288, 10.1799288 48.6192799, 10.1801736 48.619211, 10.1802668 48.6191817, 10.1802762 48.6191787)",,,
844327070,Lange Straße,tertiary,30,5,False,True,43.787,"LINESTRING (10.1798992 48.619288, 10.1795894 48.6193811, 10.1795143 48.6194034, 10.1793583 48.6194529)",,,
33279323,Mühlstraße,residential,30,5.3,False,True,115.029,"LINESTRING (10.1795064 48.6235075, 10.1788987 48.6234725, 10.1787716 48.6234543, 10.1785705 48.6234255, 10.1784679 48.6234108, 10.1782725 48.6233712, 10.1780804 48.6233322, 10.1779763 48.6233111)",,,
"[40321897, 51086578, 116839894]",Brenzstraße,residential,,,False,True,123.00200000000001,"LINESTRING (10.1795064 48.6235075, 10.179493 48.623566, 10.1795066 48.6236274, 10.179534 48.6236927, 10.1795588 48.623743, 10.1797538 48.624138, 10.1798452 48.6242567, 10.179973 48.6243433, 10.1800958 48.6243993, 10.1802326 48.6244316)",2,yes,
61683949,Brenzstraße,residential,,,False,True,23.072,"LINESTRING (10.1802326 48.6244316, 10.1799436 48.6245126)",,,
"[40321897, 51086578, 116839894]",Brenzstraße,residential,,,False,False,123.002,"LINESTRING (10.1802326 48.6244316, 10.1800958 48.6243993, 10.179973 48.6243433, 10.1798452 48.6242567, 10.1797538 48.624138, 10.1795588 48.623743, 10.179534 48.6236927, 10.1795066 48.6236274, 10.179493 48.623566, 10.1795064 48.6235075)",2,yes,
116839894,Brenzstraße,residential,,,False,True,103.985,"LINESTRING (10.1802326 48.6244316, 10.1803897 48.6244553, 10.1808693 48.6244674, 10.1810878 48.6244961, 10.1813877 48.6245668, 10.1815943 48.6246373)",,,
