osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,bridge
136416892,1,primary,50,roundabout,True,False,18.866,"LINESTRING (8.1423547 52.038851, 8.1423925 52.0388298, 8.1424416 52.0388208, 8.1424921 52.038826, 8.1425339 52.0388442, 8.1425531 52.0388626, 8.1425622 52.0388837)",,,
29456242,1,primary,,roundabout,True,False,24.35,"LINESTRING (8.1464415 52.0433316, 8.1464784 52.0432942, 8.1465332 52.0432662, 8.1466 52.0432509, 8.1466712 52.04325, 8.1467389 52.0432635)",,,
"[412423068, 29456286]",2,primary,50,,False,False,253.904,"LINESTRING (8.1464415 52.0433316, 8.1456862 52.043139, 8.1453622 52.0430461, 8.1453249 52.0430355, 8.1452869 52.0430242, 8.1452239 52.0430011, 8.145106 52.0429515, 8.1450014 52.0429019, 8.1448862 52.0428424, 8.1447709 52.0427825, 8.144661 52.042716, 8.1445907 52.0426651, 8.1445257 52.0426092, 8.1444872 52.0425705, 8.1444486 52.0425219, 8.1443104 52.0423285, 8.1439569 52.0418029)",B 476,Westheider Weg,
29456210,,unclassified,,,False,True,99.78,"LINESTRING (8.1465574 52.0435011, 8.1464922 52.0436096, 8.1464711 52.0436928, 8.146488 52.0438153, 8.1467708 52.0441534, 8.1468886 52.0443337)",,Nordfeldstraße,
29456242,1,primary,,roundabout,True,False,22.554999999999996,"LINESTRING (8.1465574 52.0435011, 8.1465013 52.0434798, 8.1464584 52.043449, 8.1464328 52.0434116, 8.146427 52.0433712, 8.1464415 52.0433316)",,,
29456242,1,primary,,roundabout,True,False,22.647,"LINESTRING (8.1468357 52.0434328, 8.1468072 52.0434618, 8.1467675 52.0434854, 8.1467193 52.043502, 8.1466658 52.0435104, 8.1466107 52.0435101, 8.1465574 52.0435011)",,,
412422588,2,primary,50,,False,True,199.487,"LINESTRING (8.1468357 52.0434328, 8.1476809 52.0436633, 8.1480954 52.0437751, 8.1482029 52.0438021, 8.1483941 52.0438501, 8.1486662 52.0439008, 8.1489697 52.0439373, 8.1494105 52.0439696, 8.1495887 52.0439833)",B 476,Westheider Weg,
26006060,3,primary,50,,False,True,84.114,"LINESTRING (8.1495887 52.0439833, 8.1500592 52.044027, 8.1504152 52.04406, 8.1508083 52.0440768)",B 476,Westheider Weg,
159748288,,residential,,,False,True,99.51200000000001,"LINESTRING (8.1495887 52.0439833, 8.1495994 52.0439374, 8.1496117 52.0438841, 8.1496681 52.043641, 8.149707 52.0435416, 8.149743 52.0434808, 8.1497576 52.043469, 8.1498056 52.0434303, 8.1501908 52.0432171)",,Gestermannstraße,
412422588,2,primary,50,,False,False,199.487,"LINESTRING (8.1495887 52.0439833, 8.1494105 52.0439696, 8.1489697 52.0439373, 8.1486662 52.0439008, 8.1483941 52.0438501, 8.1482029 52.0438021, 8.1480954 52.0437751, 8.1476809 52.0436633, 8.1468357 52.0434328)",B 476,Westheider Weg,
