osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,junction,access
1009314652,2,B 55,Hagener Straße,primary,30,False,True,10.927,"LINESTRING (7.7771661 51.0234396, 7.7770774 51.0235205)",,,,
157680978,,,Im Höfchen,residential,,False,True,99.06700000000001,"LINESTRING (7.7771661 51.0234396, 7.7763262 51.022977, 7.7760953 51.0228565)",,,,
418460789,2,B 55,Hagener Straße,primary,30,False,False,74.18,"LINESTRING (7.7771661 51.0234396, 7.7775249 51.023146, 7.7776118 51.0230667, 7.7778114 51.0229104)",,,,
29203071,,K 36,Benolper Straße,tertiary,50,False,True,94.418,"LINESTRING (7.7748025 51.0225565, 7.773522 51.0228253)",,,,
"[300795056, 379960225, 300795055, 29203071]",,K 36,Benolper Straße,tertiary,50,False,False,206.342,"LINESTRING (7.7748025 51.0225565, 7.7754007 51.0224293, 7.7754765 51.0224139, 7.7758191 51.0223446, 7.7761852 51.0222695, 7.776323 51.0222299, 7.7763891 51.0222061, 7.7765143 51.0221519, 7.7766063 51.022105, 7.7766902 51.0220444, 7.7767563 51.0219815, 7.776816 51.0219042, 7.7768802 51.02177, 7.7768921 51.021722, 7.7769131 51.0216275, 7.7769314 51.0215275)",yes,,,
1200450884,,,Gerberstraße,residential,,True,False,125.893,"LINESTRING (7.7748025 51.0225565, 7.7745584 51.0222621, 7.7743711 51.0221114, 7.7740462 51.0219154, 7.7736462 51.0217086)",,,,
29203068,,,Gerhardusstraße,residential,,False,False,16.259999999999998,"LINESTRING (7.7705004 51.0212045, 7.7705116 51.0211221, 7.770467 51.0210651)",,4,,
29203068,,,Gerhardusstraße,residential,,False,True,180.162,"LINESTRING (7.7705004 51.0212045, 7.7703215 51.0218252, 7.7703542 51.0219031, 7.7705156 51.0219518, 7.7709101 51.0219825, 7.7712405 51.0219646, 7.7715505 51.0219254, 7.7717669 51.0218987)",,4,,
182829206,,,Gerberstraße,residential,,False,False,234.47400000000002,"LINESTRING (7.7705004 51.0212045, 7.7715305 51.0212761, 7.772338 51.0213214, 7.7727491 51.0213507, 7.7729928 51.0213803, 7.7731533 51.0214256, 7.7736462 51.0217086)",,,,
182829206,,,Gerberstraße,residential,,False,True,145.624,"LINESTRING (7.7705004 51.0212045, 7.7702593 51.0211919, 7.7684454 51.0209975)",,,,
29203068,,,Gerhardusstraße,residential,,False,True,16.259999999999998,"LINESTRING (7.770467 51.0210651, 7.7705116 51.0211221, 7.7705004 51.0212045)",,4,,
242360228,,,Im Kreuzseifen,residential,,False,True,93.577,"LINESTRING (7.770467 51.0210651, 7.7704884 51.0209798, 7.7705146 51.0208752, 7.7705146 51.020643, 7.7705146 51.0204324, 7.7705034 51.0203573, 7.7704873 51.0202266)",,,,
26432921,1,,,primary,50,True,False,19.226,"LINESTRING (7.7775114 51.0210481, 7.7774595 51.0210594, 7.7774045 51.0210604, 7.7773516 51.021051, 7.7773057 51.021032, 7.7772709 51.0210052)",,,roundabout,
188366816,2,B 55,Hagener Straße,primary,50,False,True,115.701,"LINESTRING (7.7775114 51.0210481, 7.7776586 51.0212233, 7.7777061 51.0212679, 7.7778113 51.0213935, 7.7780494 51.021679, 7.7780951 51.0218467, 7.7780876 51.0220008)",,,,
26422495,,,Annostraße,residential,30,False,True,9.26,"LINESTRING (7.7776905 51.0236862, 7.77757 51.0236517)",,,,
26422502,,,Kirchplatz,residential,,False,False,28.131,"LINESTRING (7.7776905 51.0236862, 7.7778031 51.0236068, 7.7779458 51.0234909)",,,,
188366813,,,Annostraße,residential,30,False,False,79.516,"LINESTRING (7.7776905 51.0236862, 7.7779002 51.0238035, 7.7780155 51.0238653, 7.7784946 51.0241156, 7.7785689 51.0241374)",,,,
188366813,,,Annostraße,residential,30,False,True,7.141,"LINESTRING (7.7786692 51.0241494, 7.7785689 51.0241374)",,,,
"[44171337, 188366809, 44138468]",,,Am Papenberg,residential,,False,False,746.222,"LINESTRING (7.7786692 51.0241494, 7.7785859 51.0242532, 7.7784838 51.0243061, 7.7784519 51.0246209, 7.7784322 51.0246865, 7.7783965 51.0247221, 7.7782851 51.0247866, 7.7781879 51.0248217, 7.7778822 51.0248803, 7.7778418 51.0249514, 7.7777034 51.0250708, 7.7773782 51.0252686, 7.777151 51.0254456, 7.7769722 51.0256542, 7.7768704 51.025778, 7.7767869 51.0258795, 7.7767157 51.0261027, 7.776672 51.0262646, 7.7765803 51.0263877, 7.776806 51.0263333, 7.7770034 51.0262685, 7.7772438 51.0262037, 7.7776035 51.0260674, 7.7778116 51.0260377, 7.7781782 51.0260427, 7.7786514 51.0260958, 7.7790376 51.0261336, 7.7791379 51.0261415, 7.7794961 51.0261699, 7.7797474 51.0262354, 7.7799696 51.026312, 7.780162 51.0264143, 7.7804452 51.026533, 7.7806283 51.0266283, 7.7806941 51.0266626, 7.7807886 51.0266896, 7.7808916 51.0266842, 7.7809688 51.0266356, 7.780986 51.0265654, 7.7809087 51.0264251, 7.7808143 51.0262307, 7.7807886 51.026085, 7.7808143 51.0259284, 7.7808916 51.0257719, 7.7809345 51.0257341)",,,,permissive
188366810,,,Annostraße,residential,30,False,False,12.657,"LINESTRING (7.7786692 51.0241494, 7.7787417 51.0241476, 7.7788495 51.0241404)",,,,
26422496,,,Am Buscheid,residential,30,False,True,31.628,"LINESTRING (7.7810009 51.0231393, 7.7808358 51.0228745)",,,,
188366825,,,Gräfin-Sayn-Straße,residential,30,False,True,76.02399999999999,"LINESTRING (7.7810009 51.0231393, 7.7807679 51.023111, 7.7800153 51.023005, 7.7799375 51.0230111)",,,,
26422499,,,Dechant-Fischer-Straße,residential,30,False,True,57.06,"LINESTRING (7.7799375 51.0230111, 7.7798495 51.0230091, 7.7794588 51.0229597, 7.7791318 51.0229356)",,,,
26422504,,,Kolpingstraße,residential,30,False,False,147.26099999999997,"LINESTRING (7.7799375 51.0230111, 7.7799779 51.0232086, 7.7800251 51.023388, 7.7800622 51.0234328, 7.7801059 51.0234856, 7.7802643 51.0236367, 7.7804185 51.0237878, 7.780513 51.0239168, 7.7805791 51.0240962, 7.7805806 51.0242428)",,,,
188366825,,,Gräfin-Sayn-Straße,residential,30,False,False,76.024,"LINESTRING (7.7799375 51.0230111, 7.7800153 51.023005, 7.7807679 51.023111, 7.7810009 51.0231393)",,,,
188366825,,,Gräfin-Sayn-Straße,residential,30,False,True,83.451,"LINESTRING (7.7799375 51.0230111, 7.7799026 51.0229496, 7.7798009 51.0228054, 7.7796847 51.0226523, 7.7795609 51.0225509, 7.77941 51.0224743, 7.7792551 51.0224278)",,,,
188366810,,,Annostraße,residential,30,False,False,9.596,"LINESTRING (7.7805806 51.0242428, 7.7807128 51.0242659)",,,,
