osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,width,geometry,tunnel,junction,access
8325123,True,2,B 54,Südwall,primary,50,False,6.809,,"LINESTRING (7.4683434 51.5099411, 7.4682463 51.5099312)",,,
8455837,True,1,,Kleppingstraße,residential,30,False,9.112,3.5,"LINESTRING (7.4683434 51.5099411, 7.4683555 51.5100227)",,,
"[621781808, 37519801, 41311467, 621781805]",True,"['4', '5', '3']",B 54,Südwall,primary,50,False,239.765,,"LINESTRING (7.4665145 51.5099371, 7.4663414 51.5099406, 7.4655301 51.5099641, 7.4645197 51.5099932, 7.4644709 51.5099944, 7.4641748 51.5100022, 7.463939 51.5100089, 7.4637528 51.5100141, 7.4635324 51.5100241, 7.4634026 51.5100333, 7.4632144 51.5100492, 7.4630585 51.510067)",,,
53845265,True,,,,unclassified,,False,11.926,,"LINESTRING (7.4665145 51.5099371, 7.4665276 51.5098936, 7.4665386 51.5098747, 7.466532 51.509832)",,,
53845268,False,,,Südwall,unclassified,,True,7.462,,"LINESTRING (7.4665145 51.5099371, 7.4665162 51.5099883, 7.4665168 51.5100042)",,,
53832717,True,1,,Südwall,residential,50,False,37.595,,"LINESTRING (7.4630585 51.510067, 7.4629899 51.5101258, 7.4629546 51.5101604, 7.4629204 51.5102114, 7.462901 51.5102401, 7.4628909 51.5102552, 7.4628603 51.5103754)",,,
428892808,True,5,B 54,Südwall,primary,50,False,32.341,,"LINESTRING (7.4630585 51.510067, 7.4628047 51.5101011, 7.4627538 51.5101082, 7.4626037 51.5101335)",,,
47303640,True,5,B 54,Südwall,primary,50,False,13.761,,"LINESTRING (7.4626037 51.5101335, 7.4624136 51.5101698)",,,
17242158,True,,,Hansastraße,residential,50,False,32.233999999999995,,"LINESTRING (7.4626037 51.5101335, 7.4626474 51.5101763, 7.4627268 51.5102487, 7.4628603 51.5103754)",,,
4290105,True,3,L 684,Hohe Straße,secondary,50,False,17.052,,"LINESTRING (7.4624136 51.5101698, 7.462301 51.5100334)",,,
"[653939079, 8325127]",True,3,B 54,Hiltropwall,primary,50,False,259.665,,"LINESTRING (7.4624136 51.5101698, 7.46218 51.5102272, 7.4620747 51.5102628, 7.4619749 51.5102969, 7.4618551 51.5103459, 7.4617357 51.5104033, 7.4616248 51.5104607, 7.4614266 51.5105788, 7.4610019 51.5108356, 7.4605352 51.5111023, 7.459862 51.511474, 7.4596855 51.5115636, 7.45965 51.5115801, 7.4595273 51.5116408)",,,
23359942,False,,,Kleppingstraße,residential,30,False,117.35499999999999,8.4,"LINESTRING (7.4682514 51.5119753, 7.4682372 51.5120872, 7.4682078 51.5124454, 7.468184 51.5129708, 7.4681888 51.5130296)",,,
"[24874189, 8455846]",False,,,"['Betenstraße', 'Olpe']",residential,30,True,215.28599999999997,6.7,"LINESTRING (7.4682514 51.5119753, 7.468059 51.5119299, 7.4679399 51.5119094, 7.467924 51.5119067, 7.467763 51.5118766, 7.4675874 51.5118397, 7.4672426 51.5117673, 7.4671734 51.511762, 7.4671411 51.5117636, 7.4670804 51.5117764, 7.4670409 51.5117904, 7.4670141 51.511807, 7.4669908 51.5118275, 7.4669743 51.5118451, 7.466963 51.5118665, 7.4669565 51.5118997, 7.4669694 51.5119662, 7.4670229 51.5122124, 7.4670487 51.5123172, 7.467111 51.5126005, 7.4670924 51.5128217, 7.467089 51.5128672, 7.4670966 51.5128847, 7.4671205 51.512905)",,,
30644478,False,,,Kleppingstraße,residential,30,True,141.639,6,"LINESTRING (7.4682514 51.5119753, 7.4682481 51.5118339, 7.4682533 51.5117407, 7.4682646 51.5115623, 7.4682696 51.5112299, 7.4682617 51.510853, 7.4682485 51.510702)",,,
17427184,False,,,Viktoriastraße,unclassified,30,False,75.30000000000001,5.4,"LINESTRING (7.4681888 51.5130296, 7.4679888 51.5130078, 7.4672495 51.5129274, 7.4671678 51.5129174, 7.4671205 51.512905)",,,
23359942,False,,,Kleppingstraße,residential,30,True,117.35499999999999,8.4,"LINESTRING (7.4681888 51.5130296, 7.468184 51.5129708, 7.4682078 51.5124454, 7.4682372 51.5120872, 7.4682514 51.5119753)",,,
490735065,True,,,Viktoriastraße,unclassified,30,False,81.543,5.9,"LINESTRING (7.4681888 51.5130296, 7.4683384 51.5130444, 7.4693523 51.5131457)",,,
286761869,True,3,B 54,Südwall,primary,50,False,1.628,,"LINESTRING (7.4680759 51.5097405, 7.4680994 51.5097411)",,,
"[428892806, 428892807]",True,"['6', '5']",B 54,Südwall,primary,50,False,67.566,,"LINESTRING (7.466532 51.509832, 7.4666008 51.509836, 7.4666611 51.5098359, 7.4667785 51.5098291, 7.4675023 51.509775)",,,
32231120,True,4,B 54,Südwall,primary,50,False,30.705000000000002,,"LINESTRING (7.4675023 51.509775, 7.4678476 51.5097466, 7.4678592 51.5097457, 7.4678991 51.5097433, 7.4679427 51.5097428)",,,
17242225,False,,,Hansastraße,residential,30,False,41.797,,"LINESTRING (7.4636739 51.5124705, 7.4636279 51.5120957)",,,
47250331,True,1,,Ruhrallee,residential,50,False,13.974,9,"LINESTRING (7.4683045 51.509748, 7.4683295 51.5098727)",,,
