osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,bridge,ref
321090202,Bergstraße,residential,30,False,True,150.563,"LINESTRING (9.2316549 48.4638871, 9.2316293 48.4647362, 9.2314937 48.4652329)",,,,
"[405635872, 4533726]","['Elisenweg', 'Schulstraße']",residential,30,False,True,136.483,"LINESTRING (9.2315193 48.4657073, 9.2306365 48.4658966, 9.2304381 48.4659414, 9.2302724 48.4659758, 9.2301947 48.4659919, 9.2297454 48.4660531)",2,,,
7976234,Achalmstraße,residential,30,False,False,83.84400000000001,"LINESTRING (9.2315193 48.4657073, 9.2315296 48.4657551, 9.2315342 48.4657972, 9.2316064 48.466459)",,,,
"[156491676, 297004886]",Bergstraße,residential,30,False,False,25.619,"LINESTRING (9.2315193 48.4657073, 9.2315021 48.4656272, 9.2314738 48.4654789)",,,,
26992873,Panoramastraße,residential,30,False,False,250.187,"LINESTRING (9.2201136 48.4642328, 9.2201872 48.4638581, 9.2202771 48.4635473, 9.2204358 48.4629794, 9.2206401 48.4622484, 9.2207046 48.4620177)",,4,,
109745853,Griesstraße,unclassified,30,False,False,61.67700000000001,"LINESTRING (9.2201136 48.4642328, 9.2204336 48.4643511, 9.220787 48.4645567)",,7,,
109745853,Griesstraße,unclassified,30,False,True,70.95,"LINESTRING (9.2201136 48.4642328, 9.2198116 48.4642621, 9.2195052 48.464314, 9.2191746 48.4643689)",,7,,
"[8158252, 5038749]",Schulstraße,residential,30,False,"[False, True]",38.051,"LINESTRING (9.2285832 48.466213, 9.228815 48.4661818, 9.229089 48.466145)",2,,,
23752691,Bahnhofstraße,residential,30,False,False,125.93900000000001,"LINESTRING (9.2285832 48.466213, 9.2285744 48.4663258, 9.2285393 48.466781, 9.2285299 48.4668945, 9.2284399 48.4673407)",,,,
329822259,Schulstraße,residential,30,False,False,64.918,"LINESTRING (9.2285832 48.466213, 9.2281554 48.4662076, 9.227984 48.4662007, 9.2277036 48.4661895)",2,,,
7976234,Achalmstraße,residential,30,False,False,98.65,"LINESTRING (9.2316762 48.4679677, 9.2316902 48.4686428, 9.2316944 48.4688548)",,,,
7976234,Achalmstraße,residential,30,False,True,75.494,"LINESTRING (9.2316762 48.4679677, 9.2316687 48.4677089, 9.2316564 48.4672889)",,,,
7976234,Achalmstraße,residential,30,False,True,98.65,"LINESTRING (9.2316944 48.4688548, 9.2316902 48.4686428, 9.2316762 48.4679677)",,,,
7976234,Achalmstraße,residential,30,False,False,92.354,"LINESTRING (9.2316064 48.466459, 9.2316564 48.4672889)",,,,
7976234,Achalmstraße,residential,30,False,True,83.84400000000001,"LINESTRING (9.2316064 48.466459, 9.2315342 48.4657972, 9.2315296 48.4657551, 9.2315193 48.4657073)",,,,
"[26959465, 755625383]",Lindenplatz,secondary,50,False,False,95.84100000000001,"LINESTRING (9.2266966 48.4660043, 9.226331 48.4661195, 9.2261674 48.4662155, 9.2260142 48.4663604, 9.2259572 48.4664718, 9.2259225 48.4665488, 9.2258932 48.4666199)","['2', '3']",,,
256311932,Schulstraße,residential,50,False,True,38.798,"LINESTRING (9.2266966 48.4660043, 9.2268024 48.4660332, 9.2271824 48.4661384)",3,,,
"[329822254, 329822255]",Große Heerstraße,secondary,50,False,True,34.193,"LINESTRING (9.2266966 48.4660043, 9.2268582 48.4658947, 9.2269701 48.4657595)",2,,,
7976234,Achalmstraße,residential,30,False,True,92.354,"LINESTRING (9.2316564 48.4672889, 9.2316064 48.466459)",,,,
7976234,Achalmstraße,residential,30,False,False,75.494,"LINESTRING (9.2316564 48.4672889, 9.2316687 48.4677089, 9.2316762 48.4679677)",,,,
329822258,Schulstraße,residential,30,False,False,38.85,"LINESTRING (9.2277036 48.4661895, 9.2274853 48.4661653, 9.2271824 48.4661384)",,,,
329822259,Schulstraße,residential,30,False,True,64.91799999999999,"LINESTRING (9.2277036 48.4661895, 9.227984 48.4662007, 9.2281554 48.4662076, 9.2285832 48.466213)",2,,,
23752698,Lindenstraße,residential,30,False,False,77.939,"LINESTRING (9.2273829 48.4673298, 9.2284399 48.4673407)",,,,
23752698,Lindenstraße,residential,30,False,True,61.058,"LINESTRING (9.2273829 48.4673298, 9.226591 48.4671691)",,,,
"[27340274, 256311251]",Kaiserstraße,residential,30,True,False,129.001,"LINESTRING (9.2273829 48.4673298, 9.2275639 48.4666338, 9.2276332 48.4664163, 9.2276725 48.4662898, 9.2277036 48.4661895)",2,,,
23752695,Braikestraße,residential,30,False,False,91.388,"LINESTRING (9.2277277 48.4689383, 9.2289561 48.4688282)",,,,
27340274,Kaiserstraße,residential,30,True,False,100.25,"LINESTRING (9.2277277 48.4689383, 9.2273532 48.4680716)",,,,
23752695,Braikestraße,residential,30,False,True,91.531,"LINESTRING (9.2277277 48.4689383, 9.226676 48.4690005, 9.2264911 48.4690114)",,,,
23752698,Lindenstraße,residential,30,False,True,77.939,"LINESTRING (9.2284399 48.4673407, 9.2273829 48.4673298)",,,,
23752691,Bahnhofstraße,residential,30,False,False,75.90100000000001,"LINESTRING (9.2284399 48.4673407, 9.2285638 48.4677271, 9.2285991 48.4678632, 9.2286899 48.468)",,,,
23752691,Bahnhofstraße,residential,30,False,True,125.93900000000001,"LINESTRING (9.2284399 48.4673407, 9.2285299 48.4668945, 9.2285393 48.466781, 9.2285744 48.4663258, 9.2285832 48.466213)",,,,
23752695,Braikestraße,residential,30,False,False,91.531,"LINESTRING (9.2264911 48.4690114, 9.226676 48.4690005, 9.2277277 48.4689383)",,,,
"[32427129, 256156087]",Marktstraße,secondary,50,False,True,98.559,"LINESTRING (9.2264911 48.4690114, 9.2263047 48.468688, 9.2262298 48.4685347, 9.2261129 48.4681637)",2,,,
25670147,Kurze Straße,secondary,50,True,False,36.202,"LINESTRING (9.2261129 48.4681637, 9.2260023 48.4681731, 9.2256238 48.4681916)",,,,
"[32427129, 256156087]",Marktstraße,secondary,50,False,False,98.559,"LINESTRING (9.2261129 48.4681637, 9.2262298 48.4685347, 9.2263047 48.468688, 9.2264911 48.4690114)",2,,,
"[23752696, 314465895]",Kurze Straße,residential,30,False,True,92.03800000000001,"LINESTRING (9.2261129 48.4681637, 9.2265563 48.4681218, 9.2273532 48.4680716)",2,,,
27340274,Kaiserstraße,residential,30,True,False,82.514,"LINESTRING (9.2273532 48.4680716, 9.2273829 48.4673298)",,,,
"[23752696, 314465895]",Kurze Straße,residential,30,False,False,92.03800000000001,"LINESTRING (9.2273532 48.4680716, 9.2265563 48.4681218, 9.2261129 48.4681637)",2,,,
23752696,Kurze Straße,residential,30,False,True,98.873,"LINESTRING (9.2273532 48.4680716, 9.2281242 48.4680333, 9.2286899 48.468)",,,,
