osmid,lanes,highway,junction,oneway,reversed,length,geometry,ref,name,maxspeed,width
342819851,1,primary,roundabout,True,False,10.624,"LINESTRING (12.9549576 51.7904091, 12.9549889 51.7904231, 12.9550146 51.7904409, 12.9550336 51.7904617, 12.9550451 51.7904845)",,,,
16235294,1,primary,,True,False,40.133,"LINESTRING (12.9550451 51.7904845, 12.9551391 51.790515, 12.9554263 51.7906138, 12.955546 51.7906684)",B 187,Rosa-Luxemburg-Straße,,
342819851,1,primary,roundabout,True,False,11.649000000000001,"LINESTRING (12.9550451 51.7904845, 12.9550483 51.7905106, 12.9550417 51.7905365, 12.9550255 51.7905607, 12.9550007 51.7905819)",,,,
342819851,1,primary,roundabout,True,False,10.735,"LINESTRING (12.9550007 51.7905819, 12.9549603 51.7906022, 12.9549122 51.7906145, 12.9548605 51.7906178)",,,,
1153424836,1,primary,roundabout,True,False,5.368,"LINESTRING (12.9547303 51.7904342, 12.9547647 51.7904147, 12.9547918 51.7904049)",,,,
286899333,2,primary,,False,True,5.302,"LINESTRING (12.955546 51.7906684, 12.9556167 51.7906874)",B 187,Rosa-Luxemburg-Straße,50,
16236025,1,primary,,True,False,38.876999999999995,"LINESTRING (12.955546 51.7906684, 12.9554062 51.7906517, 12.9550899 51.7905866, 12.9550007 51.7905819)",B 187,Rosa-Luxemburg-Straße,,
1153424836,1,primary,roundabout,True,False,6.25,"LINESTRING (12.9546914 51.7904845, 12.9547057 51.7904578, 12.9547303 51.7904342)",,,,
16235295,1,secondary,,True,False,30.362000000000002,"LINESTRING (12.9547918 51.7904049, 12.9548236 51.7903455, 12.9548528 51.790291, 12.9549306 51.7901457)",L 116,Wittenberger Straße,,
1153599260,1,primary,roundabout,True,False,11.846000000000002,"LINESTRING (12.9547918 51.7904049, 12.9548243 51.7903977, 12.9548583 51.7903945, 12.9548927 51.7903954, 12.9549262 51.7904003, 12.9549576 51.7904091)",,,,
