osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,junction,width
"[190263520, 4813114]",L 365,Hirschbergstraße,secondary,50,False,False,206.22899999999998,"LINESTRING (8.854373 48.2753636, 8.8548885 48.2749566, 8.8557869 48.2742473, 8.8559629 48.2740974, 8.8560503 48.2740043, 8.8561079 48.2739178)",,,,
"[10879090, 609893334]",,Robert-Wahl-Straße,tertiary,30,False,True,211.987,"LINESTRING (8.854373 48.2753636, 8.8545262 48.2754122, 8.854762 48.2754848, 8.8557702 48.27573, 8.857049 48.2760411)",,,,
"[37254052, 37254051, 28278604]",,Alter Markt,residential,30,False,False,86.39599999999999,"LINESTRING (8.854373 48.2753636, 8.8541938 48.2753139, 8.8540494 48.2752649, 8.8537294 48.2751405, 8.8536409 48.275105, 8.8535243 48.2750681, 8.8534655 48.2750494, 8.8533286 48.2750219)",yes,,,
618068927,L 365,Paulinenstraße,secondary,50,False,True,73.871,"LINESTRING (8.854373 48.2753636, 8.8540644 48.2755915, 8.8539417 48.2756729, 8.853892 48.2757059, 8.853661 48.2758267)",,,,
4813110,,Rollerstraße,residential,,False,False,67.172,"LINESTRING (8.856363 48.2773936, 8.8556387 48.2777577)",,,,
1097693861,,Tübinger Straße,residential,,False,True,75.785,"LINESTRING (8.856363 48.2773936, 8.856256 48.2772963, 8.8560949 48.2771556, 8.8558887 48.2770268, 8.8556547 48.276908)",,,,
"[190640108, 37254053, 37254054]",L 365,Paulinenstraße,secondary,50,False,True,56.836,"LINESTRING (8.853661 48.2758267, 8.8535674 48.2758651, 8.8533772 48.2759254, 8.853209 48.2759642, 8.8531476 48.2759735, 8.8530896 48.2759843, 8.8529454 48.2760002)",yes,,,
618068927,L 365,Paulinenstraße,secondary,50,False,False,73.871,"LINESTRING (8.853661 48.2758267, 8.853892 48.2757059, 8.8539417 48.2756729, 8.8540644 48.2755915, 8.854373 48.2753636)",,,,
1097693861,,Tübinger Straße,residential,,False,False,192.12800000000001,"LINESTRING (8.853661 48.2758267, 8.8537282 48.2759105, 8.8537838 48.2759565, 8.8538835 48.2760363, 8.854038 48.2761487, 8.8542447 48.2762602, 8.8543722 48.2763267, 8.8544226 48.2763528, 8.8544492 48.2763654, 8.855453 48.2768142, 8.8555663 48.276866, 8.8556547 48.276908)",,,,
45946626,,Klausenweg,residential,,False,True,225.238,"LINESTRING (8.8556547 48.276908, 8.8557211 48.2768717, 8.8558296 48.2768199, 8.8559508 48.2768018, 8.8560379 48.2767912, 8.8565645 48.2767274, 8.8571402 48.2766565, 8.8574833 48.27665, 8.8580624 48.276639, 8.8581373 48.2766274, 8.8582153 48.2766154, 8.8582856 48.2765644, 8.8583143 48.2763609)",,,,
