osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,width,ref
4067639,Ulmenstraße,residential,False,False,156.609,"LINESTRING (11.7114832 50.2347961, 11.711374 50.2347293, 11.7108076 50.2343915, 11.7100108 50.2339829, 11.7098619 50.2338504)",,,,,
25478979,Melchior-Feuerlein-Straße,residential,False,False,99.055,"LINESTRING (11.7114832 50.2347961, 11.7110342 50.2350848, 11.7106479 50.2353363, 11.7105083 50.2354322)",,,,,
25478979,Melchior-Feuerlein-Straße,residential,False,True,122.402,"LINESTRING (11.7114832 50.2347961, 11.7122321 50.2343166, 11.7123639 50.2342297, 11.7126701 50.2341366, 11.7127949 50.2341072)",,,,,
109136154,Kulmbacher Straße,residential,False,True,8.504,"LINESTRING (11.7127949 50.2341072, 11.7128487 50.2341755)",2,50,yes,,
25478979,Melchior-Feuerlein-Straße,residential,False,False,122.402,"LINESTRING (11.7127949 50.2341072, 11.7126701 50.2341366, 11.7123639 50.2342297, 11.7122321 50.2343166, 11.7114832 50.2347961)",,,,,
311419736,Kulmbacher Straße,residential,False,False,178.538,"LINESTRING (11.7127949 50.2341072, 11.7126936 50.2339532, 11.7125628 50.2337408, 11.7124705 50.233589, 11.712399 50.233505, 11.7123003 50.2333821, 11.7122063 50.2332959, 11.7120566 50.2331746, 11.7119419 50.2331066, 11.71175 50.2330221, 11.7113003 50.2329211)",2,50,yes,,
109136154,Kulmbacher Straße,residential,False,False,173.56699999999998,"LINESTRING (11.7142233 50.2354626, 11.713905 50.235186, 11.7137358 50.2350438, 11.7132209 50.2345862, 11.7130993 50.2344605, 11.7130855 50.2344462, 11.7128874 50.2342272, 11.7128487 50.2341755)",2,50,yes,,
"[109136154, 109136196, 1006817799]",Kulmbacher Straße,residential,False,True,188.231,"LINESTRING (11.7142233 50.2354626, 11.7148403 50.236046, 11.7148852 50.2360809, 11.7154057 50.2365067, 11.7156053 50.2366416, 11.7157505 50.2367345, 11.7158665 50.2367773)",2,50,yes,,
311419738,Erbstraße,residential,False,True,157.435,"LINESTRING (11.7142233 50.2354626, 11.7137234 50.2356989, 11.71344 50.2358855, 11.7132099 50.2361015, 11.7128735 50.2365492)",,,,,
311977881,Steinbühl,residential,False,True,9.058,"LINESTRING (11.7098619 50.2338504, 11.7099628 50.2338007)",,,,,
4067639,Ulmenstraße,residential,False,True,156.60899999999998,"LINESTRING (11.7098619 50.2338504, 11.7100108 50.2339829, 11.7108076 50.2343915, 11.711374 50.2347293, 11.7114832 50.2347961)",,,,,
