osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,bridge,tunnel
260077301,Nürnberger Straße,tertiary,False,False,44.406,"LINESTRING (10.988869 49.1044469, 10.9885566 49.1041039)",,,,,
26694180,Zollgasse,residential,False,True,111.70400000000001,"LINESTRING (10.988869 49.1044469, 10.9885595 49.1045552, 10.9882476 49.1045561, 10.9879464 49.1045325, 10.9874278 49.1043804)",,,,,
260077301,Nürnberger Straße,tertiary,False,True,94.66499999999999,"LINESTRING (10.988869 49.1044469, 10.9891831 49.1046982, 10.9897832 49.1050489)",,,,,
260077300,Nürnberger Straße,tertiary,False,False,60.018,"LINESTRING (10.9885566 49.1041039, 10.9879477 49.10374)",,,,,
260077301,Nürnberger Straße,tertiary,False,True,44.406,"LINESTRING (10.9885566 49.1041039, 10.988869 49.1044469)",,,,,
"[26695137, 260077298]",Hohlweg,residential,False,False,165.19,"LINESTRING (10.9885566 49.1041039, 10.9888529 49.1040329, 10.9891213 49.1034852, 10.9892775 49.1032605, 10.9895838 49.1028499)",,,,,
260077300,Nürnberger Straße,tertiary,False,True,60.018,"LINESTRING (10.9879477 49.10374, 10.9885566 49.1041039)",,,,,
26694179,Brückenstraße,residential,False,True,80.864,"LINESTRING (10.9879477 49.10374, 10.9876028 49.1041085, 10.9874278 49.1043804)",30,,,,
"[444439937, 26696679]",Ellinger Straße,tertiary,False,False,262.78499999999997,"LINESTRING (10.9879477 49.10374, 10.9877457 49.1035677, 10.9874642 49.1033295, 10.9873307 49.1032223, 10.9869014 49.102892, 10.9866577 49.1026502, 10.9865131 49.1024587, 10.9862078 49.1019572, 10.9861854 49.1019239, 10.9861262 49.1018361, 10.9860643 49.1017476)",50,,,,
121065700,Stirner Straße,residential,False,False,39.301,"LINESTRING (10.9811757 49.1095625, 10.9808193 49.109828)",50,2,,,
26651017,Raiffeisenstraße,residential,False,False,39.73,"LINESTRING (10.9811757 49.1095625, 10.9814097 49.1096899, 10.9815209 49.1097193, 10.9816418 49.1097275)",,,,,
"[121065698, 121065700, 179712183]",Stirner Straße,residential,False,True,157.367,"LINESTRING (10.9811757 49.1095625, 10.9815505 49.1092579, 10.9816855 49.1091133, 10.9818374 49.1089055, 10.9821223 49.1084024, 10.9821554 49.1083174)",50,2,,,
26651017,Raiffeisenstraße,residential,False,True,103.54700000000001,"LINESTRING (10.9825822 49.1090903, 10.9823395 49.1093206, 10.9820931 49.1095899, 10.981947 49.1096766, 10.9818209 49.1097133, 10.9816418 49.1097275)",,,,,
"[26651760, 150299315, 37331213]",Nordring,tertiary,False,True,101.856,"LINESTRING (10.9825822 49.1090903, 10.9821927 49.1089312, 10.9819675 49.1088444, 10.9817973 49.1087765, 10.9813841 49.1086172)",50,,WUG 3,yes,
150299316,Rosenau,residential,False,False,49.353,"LINESTRING (10.983191 49.107909, 10.9830297 49.1083401)",,,,,
26651036,Rosenau,residential,False,False,108.80099999999999,"LINESTRING (10.983191 49.107909, 10.9834896 49.1076867, 10.9836451 49.107622, 10.9839352 49.1075852, 10.9844979 49.1075812)",,,,,
150299316,Rosenau,residential,False,True,89.012,"LINESTRING (10.983191 49.107909, 10.982732 49.1080746, 10.9823153 49.1082942, 10.9821554 49.1083174)",,,,,
150299316,Rosenau,residential,False,True,49.353,"LINESTRING (10.9830297 49.1083401, 10.983191 49.107909)",,,,,
26651028,Höbachweg,residential,False,False,53.992,"LINESTRING (10.9844979 49.1075812, 10.9846078 49.1075178, 10.9848223 49.1073809, 10.9849302 49.1072007)",,,,,
26651036,Rosenau,residential,False,True,108.801,"LINESTRING (10.9844979 49.1075812, 10.9839352 49.1075852, 10.9836451 49.107622, 10.9834896 49.1076867, 10.983191 49.107909)",,,,,
26696674,Höbachweg,residential,False,False,85.17099999999999,"LINESTRING (10.9844979 49.1075812, 10.9844369 49.1078685, 10.9844764 49.1083437)",,,,,
26696674,Höbachweg,residential,False,False,32.79,"LINESTRING (10.9844764 49.1083437, 10.9844565 49.1086383)",,,,,
675987549,,residential,False,True,50.351,"LINESTRING (10.9844764 49.1083437, 10.9851489 49.1084497)",,,,,
26696674,Höbachweg,residential,False,True,85.17099999999999,"LINESTRING (10.9844764 49.1083437, 10.9844369 49.1078685, 10.9844979 49.1075812)",,,,,
26694172,Amselweg,residential,False,True,21.315,"LINESTRING (10.9849302 49.1072007, 10.9846536 49.1071378)",,,,,
26651028,Höbachweg,residential,False,True,53.99199999999999,"LINESTRING (10.9849302 49.1072007, 10.9848223 49.1073809, 10.9846078 49.1075178, 10.9844979 49.1075812)",,,,,
26694172,Amselweg,residential,False,False,49.42,"LINESTRING (10.9849302 49.1072007, 10.9853579 49.1072918, 10.9855772 49.1073353)",,,,,
26694172,Amselweg,residential,False,False,26.278,"LINESTRING (10.9855772 49.1073353, 10.9859358 49.1073625)",,,,,
26693270,Ketschenbuck,residential,False,False,83.914,"LINESTRING (10.9855772 49.1073353, 10.9855879 49.107421, 10.9856325 49.1075552, 10.9856788 49.1076252, 10.9857321 49.1076651, 10.9859217 49.107724, 10.9861166 49.1077643, 10.9863005 49.1078156)",,,,,
26694172,Amselweg,residential,False,True,49.42,"LINESTRING (10.9855772 49.1073353, 10.9853579 49.1072918, 10.9849302 49.1072007)",,,,,
26651019,Ketschenbuck,residential,False,False,63.464,"LINESTRING (10.9863005 49.1078156, 10.9861246 49.1080504, 10.9859424 49.1083357)",,,,,
26693270,Ketschenbuck,residential,False,True,83.91400000000002,"LINESTRING (10.9863005 49.1078156, 10.9861166 49.1077643, 10.9859217 49.107724, 10.9857321 49.1076651, 10.9856788 49.1076252, 10.9856325 49.1075552, 10.9855879 49.107421, 10.9855772 49.1073353)",,,,,
