osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,ref,bridge,access
548829851,Lange Straße,unclassified,30,False,True,23.571,,"LINESTRING (9.0707654 52.5112129, 9.070493 52.511345)",,,
4875066,Hohe Straße,unclassified,30,True,False,176.224,1,"LINESTRING (9.0707654 52.5112129, 9.0709853 52.5112193, 9.071148 52.511224, 9.0713661 52.5112311, 9.0724608 52.5112669, 9.0733642 52.5113108)",,,
4875067,Unter den Friedenseichen,tertiary,30,False,False,26.477,,"LINESTRING (9.0688974 52.5120499, 9.0690758 52.5120346, 9.0692559 52.5119676)",K 26,,
"[68425433, 851791789]",Windmühlenstraße,tertiary,"['50', '30']",False,True,283.801,,"LINESTRING (9.0688974 52.5120499, 9.0687457 52.512032, 9.0684499 52.5119473, 9.0680238 52.5117966, 9.0678079 52.5117151, 9.0674041 52.5115802, 9.0673768 52.5115705, 9.0671981 52.5115033, 9.0667241 52.5113251, 9.0667169 52.5113224, 9.0665593 52.5112584, 9.0662115 52.5111173, 9.0653056 52.5107484)",K 26,,
1060274249,Meierstraße,residential,,False,True,114.025,,"LINESTRING (9.0688974 52.5120499, 9.0688696 52.5121026, 9.0688614 52.5121182, 9.0687324 52.5121781, 9.068674 52.5122052, 9.0685424 52.5122664, 9.0678476 52.5125679, 9.0677822 52.5125963, 9.067567 52.5126492)",,,
97760980,Am Markt,secondary,50,False,False,38.663,,"LINESTRING (9.0770653 52.5116906, 9.0769716 52.5120336)",L 351,,
"[1168489064, 548829850]",Am Markt,secondary,50,False,True,71.99600000000001,2,"LINESTRING (9.0770653 52.5116906, 9.0771509 52.5111901, 9.0771769 52.5110467)",L 351,,
8895718,Am Markt,secondary,50,False,False,10.006,3,"LINESTRING (9.0773183 52.5104428, 9.0772746 52.5104786, 9.0772433 52.5105198)",L 351,,
455460338,Bahnhofstraße,residential,30,False,True,40.894999999999996,,"LINESTRING (9.0773183 52.5104428, 9.0772536 52.5103753, 9.0772183 52.5103495, 9.0771249 52.5101283, 9.0771136 52.5101015)",,,
5078977,Kleine Geest,unclassified,50,False,False,79.34100000000001,2,"LINESTRING (9.0748814 52.5177735, 9.0747925 52.5177565, 9.0737626 52.5175599)",,,
68425439,Schinnaer Landstraße,secondary,50,False,False,140.522,2,"LINESTRING (9.0748814 52.5177735, 9.0748841 52.5177614, 9.0749834 52.5173148, 9.0750598 52.517114, 9.0752804 52.5165346)",L 351,,
5078977,Kleine Geest,unclassified,50,False,False,142.75599999999997,2,"LINESTRING (9.0737626 52.5175599, 9.0731685 52.5175012, 9.0729892 52.5174855, 9.0724086 52.5174349, 9.0722634 52.5174222, 9.0720975 52.5174077, 9.0717674 52.5173789, 9.0716759 52.5173709)",,,
5078977,Kleine Geest,unclassified,50,False,True,79.34100000000001,2,"LINESTRING (9.0737626 52.5175599, 9.0747925 52.5177565, 9.0748814 52.5177735)",,,
5078974,Holzhäuser Weg,tertiary,50,False,False,140.173,,"LINESTRING (9.0668754 52.5165393, 9.0669374 52.5164573, 9.0669904 52.5163605, 9.0670931 52.5161439, 9.0671821 52.5159561, 9.0672072 52.5159002, 9.0672106 52.5158936, 9.0672263 52.5158593, 9.0673006 52.5156966, 9.0673062 52.5156843, 9.067314 52.5156673, 9.0673879 52.5155054, 9.0674669 52.5153323)",K 26,,
5078977,Kleine Geest,unclassified,50,False,True,97.517,2,"LINESTRING (9.0668754 52.5165393, 9.0669925 52.5165581, 9.0671673 52.5165862, 9.0675397 52.5166461, 9.0676189 52.5166589, 9.0682687 52.5167634)",,,
51272794,Auf dem Dreianger,living_street,7,False,True,187.67700000000002,,"LINESTRING (9.0668754 52.5165393, 9.0664841 52.5171657, 9.0659921 52.5179533, 9.0659309 52.5181244)",,,
1104461590,Dorfstraße,tertiary,50,False,False,112.566,,"LINESTRING (9.0668754 52.5165393, 9.0667605 52.5165285, 9.066565 52.5165046, 9.0665483 52.5165026, 9.0665049 52.5164963, 9.0652534 52.5163156)",K 26,,
5078974,Holzhäuser Weg,tertiary,50,False,True,172.62799999999996,,"LINESTRING (9.0681654 52.5138392, 9.0681395 52.513895, 9.0680135 52.5141671, 9.0677917 52.5146461, 9.0676111 52.515036, 9.0676 52.51506, 9.067538 52.5151939, 9.0674669 52.5153323)",K 26,,
"[895678721, 68425413]",Holzhäuser Weg,tertiary,50,False,False,225.67600000000004,,"LINESTRING (9.0681654 52.5138392, 9.0682117 52.5137739, 9.0685138 52.5133477, 9.0686906 52.5130983, 9.0687585 52.5130025, 9.0687662 52.5129917, 9.0689029 52.5127989, 9.0690042 52.512656, 9.0692449 52.5123165, 9.0693381 52.5121851, 9.0693469 52.5121521, 9.0693457 52.51212, 9.0693374 52.5120913, 9.069322 52.5120618, 9.0693077 52.5120414, 9.0692871 52.512012, 9.0692559 52.5119676)",K 26,,
