osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref,access,tunnel,width
1144047053,Wendelinusplatz,tertiary,50,roundabout,True,False,15.063,"LINESTRING (9.1436781 49.8392225, 9.1436916 49.8392061, 9.1437118 49.8391906, 9.1437355 49.8391775, 9.1437873 49.8391613, 9.1438173 49.8391575, 9.1438478 49.8391571)",,,,,
191055683,Wendelinusplatz,tertiary,50,roundabout,True,False,27.586,"LINESTRING (9.1438478 49.8391571, 9.1438811 49.8391607, 9.1439127 49.8391684, 9.1439432 49.8391808, 9.143969 49.839197, 9.1439871 49.839214, 9.1440001 49.8392328, 9.1440072 49.8392519, 9.1440091 49.8392714, 9.1440045 49.8392942, 9.1439898 49.8393198, 9.1439659 49.8393424)",,,,,
679808068,Miltenberger Straße,tertiary,50,,False,True,96.07,"LINESTRING (9.1438478 49.8391571, 9.1438523 49.8391075, 9.1437637 49.8388403, 9.1436004 49.8383096)",2,MIL 38,,,
23228280,Römerstraße,tertiary,,,False,False,13.683,"LINESTRING (9.1439659 49.8393424, 9.1440389 49.8393816, 9.1440952 49.8394316)",2,MIL 38,,,
191055680,Wendelinusplatz,tertiary,50,roundabout,True,False,35.239,"LINESTRING (9.1439659 49.8393424, 9.1439412 49.8393573, 9.1439125 49.8393688, 9.1438614 49.8393791, 9.1438198 49.8393798, 9.1437785 49.8393742, 9.1437257 49.8393548, 9.1436968 49.8393352, 9.1436774 49.8393137, 9.1436659 49.83929, 9.1436638 49.8392557, 9.1436781 49.8392225)",,,,,
"[37828552, 23302716]","['Lindenstraße', 'Kreßstraße']",tertiary,,,True,False,69.148,"LINESTRING (9.1483234 49.8445566, 9.1482406 49.8445304, 9.1481741 49.8444944, 9.1478185 49.8440429)",,MIL 38,,,
144828217,Jahnstraße,residential,,,False,True,52.61,"LINESTRING (9.1483234 49.8445566, 9.1483127 49.8446506, 9.1482769 49.8448087, 9.1481646 49.8450155)",,,,,
23228279,Kreßstraße,tertiary,,,True,False,88.101,"LINESTRING (9.1494631 49.8442607, 9.1487369 49.8444526, 9.1483234 49.8445566)",,MIL 38,,,
53264262,Römerstraße,tertiary,50,,False,False,229.25099999999998,"LINESTRING (9.1494631 49.8442607, 9.1496312 49.8444809, 9.1498998 49.8448362, 9.1501136 49.8451337, 9.1501942 49.8452422, 9.1507292 49.8459898, 9.1508404 49.8461209)",,MIL 38,,,
160047671,Römerstraße,tertiary,30,,True,False,71.707,"LINESTRING (9.1490206 49.8436825, 9.1491341 49.8438359, 9.1492145 49.8439457, 9.1492482 49.8439918, 9.1494631 49.8442607)",,MIL 38,,,
24798641,Römerstraße,residential,20,,True,False,55.374,"LINESTRING (9.1455364 49.840326, 9.1457429 49.8404416, 9.1457855 49.8404647, 9.1460737 49.8405557, 9.1461885 49.8405827)",,,,,
25756732,Untere Wallstraße,residential,30,,False,False,125.42,"LINESTRING (9.1455364 49.840326, 9.1457741 49.8401824, 9.1459908 49.8400881, 9.1462063 49.8400123, 9.1464303 49.8399451, 9.1470193 49.8397401)",,,,,
477684838,Obere Wallstraße,residential,,,False,True,137.15800000000002,"LINESTRING (9.1455364 49.840326, 9.1453582 49.840402, 9.1451872 49.8405046, 9.1451757 49.8405446, 9.1451753 49.840616, 9.1453311 49.8408166, 9.1455531 49.8410687, 9.1458249 49.8413349)",,,,,
24626819,Obere Gasse,living_street,,,False,False,89.15,"LINESTRING (9.1461885 49.8405827, 9.1463457 49.8404586, 9.1467267 49.8403032, 9.1468745 49.8402593, 9.1469192 49.8402449, 9.1472156 49.8401496)",,,,,
