osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,access,tunnel
4683309,True,2,Breite Straße,secondary,50,False,148.828,"LINESTRING (6.7770291 51.2230587, 6.7770351 51.2231904, 6.7770615 51.2239035, 6.7770772 51.2243968)",,,,
"[1234414754, 25983540, 523064844]",False,"['4', '5', '3']",Benrather Straße,tertiary,50,True,101.19699999999999,"LINESTRING (6.7770291 51.2230587, 6.7770113 51.223059, 6.7768824 51.2230605, 6.7767874 51.2230606, 6.7766158 51.2230642, 6.7764861 51.2230605, 6.776336 51.2230491, 6.7762166 51.2230437, 6.7757657 51.2230455, 6.7757177 51.2230463, 6.7756786 51.2230477, 6.7756383 51.2230502, 6.7756045 51.2230531, 6.7755786 51.2230558)",,,,
"[1092308072, 142763398]",True,2,Benrather Straße,tertiary,50,False,84.663,"LINESTRING (6.7770291 51.2230587, 6.7771483 51.2230208, 6.777249 51.2230129, 6.7779179 51.2230036, 6.7781782 51.223, 6.7782293 51.2230005)",,,,
143518322,False,,Carlsplatz,residential,30,False,76.932,"LINESTRING (6.7729038 51.2237659, 6.7728911 51.2231662, 6.7728891 51.2230741)",,,,
"[544916260, 94998629, 45770518, 143518343]",True,,"['Schulstraße', 'Maxplatz']",residential,,False,109.35499999999999,"LINESTRING (6.7710321 51.223741, 6.7715461 51.2235522, 6.7717599 51.2234789, 6.7718705 51.2234405, 6.7718974 51.2234228, 6.7719081 51.2233986, 6.7718971 51.2232386, 6.7718908 51.2231235, 6.7719046 51.2230975, 6.7719336 51.2230787)",,,,
62081072,False,2,Steinstraße,tertiary,50,False,23.950000000000003,"LINESTRING (6.7828573 51.2230038, 6.7827192 51.2230013, 6.7826753 51.2230008, 6.7825135 51.2229983)",,,,
62081073,True,3,Berliner Allee,secondary,50,False,108.994,"LINESTRING (6.7828573 51.2230038, 6.7829134 51.2231802, 6.7829904 51.2234719, 6.7830046 51.2235407, 6.7830865 51.2238601, 6.7831148 51.2239705)",L 55,,,
"[323137794, 1168259851]",True,3,Berliner Allee,secondary,50,False,120.566,"LINESTRING (6.7825292 51.2219392, 6.7825864 51.2221273, 6.7828046 51.2228334, 6.7828195 51.2228755, 6.7828573 51.2230038)",L 55,,,
14035765,False,3,Kreuzstraße,residential,30,True,51.535000000000004,"LINESTRING (6.7824081 51.2214862, 6.7825692 51.2214875, 6.7826245 51.2214841, 6.782671 51.2214845, 6.7827236 51.2214983, 6.7827467 51.221516, 6.7827567 51.2215413, 6.7828163 51.221752)",,,,
23444510,False,3,Berliner Allee,secondary,50,False,19.68,"LINESTRING (6.7824081 51.2214862, 6.7822932 51.2214788, 6.7822436 51.2214754, 6.782127 51.2214681)",L 55,,,
147549048,True,3,Berliner Allee,secondary,50,False,27.954,"LINESTRING (6.7824081 51.2214862, 6.7824294 51.2215659, 6.7824818 51.2217333)",L 55,,,
14035761,True,1,Stresemannstraße,residential,30,False,30.112,"LINESTRING (6.7828163 51.221752, 6.7827662 51.2217881, 6.7826558 51.2218147, 6.7826067 51.2218489, 6.7825676 51.2218853, 6.7825292 51.2219392)",,,,
14035765,False,3,Kreuzstraße,residential,30,False,51.535,"LINESTRING (6.7828163 51.221752, 6.7827567 51.2215413, 6.7827467 51.221516, 6.7827236 51.2214983, 6.782671 51.2214845, 6.7826245 51.2214841, 6.7825692 51.2214875, 6.7824081 51.2214862)",,,,
"[137268121, 277447986, 277447987, 30678535]",False,5,Benrather Straße,tertiary,50,"[False, True]",51.761,"LINESTRING (6.7792736 51.2230249, 6.7790863 51.2230299, 6.7790492 51.2230307, 6.7790111 51.2230314, 6.7786192 51.223038, 6.778596 51.2230384, 6.7785649 51.2230389, 6.7785307 51.2230391)",,yes,,
"[323137798, 323137799]",False,"['2', '3']",Steinstraße,tertiary,50,True,130.677,"LINESTRING (6.7792736 51.2230249, 6.7794141 51.223022, 6.7794541 51.2230212, 6.7795453 51.2230194, 6.7796046 51.2230184, 6.7796721 51.2230168, 6.7797348 51.2230155, 6.7798454 51.2230133, 6.7802156 51.2230075, 6.7807931 51.2230043, 6.7810122 51.2230058, 6.7811496 51.2230068)",,,,
"[1092566016, 1092566013, 1092566014, 1092566015]",True,2,Königsallee,residential,50,False,147.709,"LINESTRING (6.7792736 51.2230249, 6.7792919 51.2231527, 6.7792928 51.2232075, 6.7792965 51.2234329, 6.7792973 51.2234795, 6.7793092 51.2241976, 6.7793118 51.2243527)",,,,
62081072,False,2,Steinstraße,tertiary,50,True,23.950000000000003,"LINESTRING (6.7825135 51.2229983, 6.7826753 51.2230008, 6.7827192 51.2230013, 6.7828573 51.2230038)",,,,
"[147549049, 1092570643]",True,"['4', '3']",Berliner Allee,secondary,50,False,140.033,"LINESTRING (6.7825135 51.2229983, 6.7824834 51.2228852, 6.7824177 51.2226407, 6.7823041 51.22221, 6.7822599 51.2220256, 6.782195 51.2217549)",L 55,,,
"[147549051, 323137798]",False,"['2', '3']",Steinstraße,tertiary,50,False,94.98799999999999,"LINESTRING (6.7825135 51.2229983, 6.782368 51.2229989, 6.7822736 51.2229994, 6.7817192 51.2230019, 6.781557 51.2230028, 6.7814055 51.2230044, 6.7813471 51.223005, 6.7811496 51.2230068)",,,,
"[30479379, 23436244]",True,2,"['Schadowstraße', 'Blumenstraße']",tertiary,50,False,206.34,"LINESTRING (6.7793241 51.2255238, 6.7794852 51.2255189, 6.7797071 51.2255198, 6.7798503 51.2255197, 6.7799278 51.2255162, 6.7799894 51.2255122, 6.7800163 51.2255057, 6.7811722 51.224794, 6.7812107 51.2247703, 6.7814714 51.2246008, 6.7815298 51.2245644, 6.7816278 51.2245062)",,,,
"[27039104, 408281260]",False,3,Theodor-Körner-Straße,tertiary,50,True,56.79299999999999,"LINESTRING (6.7793241 51.2255238, 6.7791727 51.2255271, 6.7790957 51.2255265, 6.7790209 51.2255273, 6.7788929 51.2255288, 6.7786932 51.2255328, 6.7786114 51.2255341, 6.7785094 51.2255411)",,,,
"[323137798, 323137799]",False,"['2', '3']",Steinstraße,tertiary,50,False,130.677,"LINESTRING (6.7811496 51.2230068, 6.7810122 51.2230058, 6.7807931 51.2230043, 6.7802156 51.2230075, 6.7798454 51.2230133, 6.7797348 51.2230155, 6.7796721 51.2230168, 6.7796046 51.2230184, 6.7795453 51.2230194, 6.7794541 51.2230212, 6.7794141 51.223022, 6.7792736 51.2230249)",,,,
"[147549051, 323137798]",False,"['2', '3']",Steinstraße,tertiary,50,True,94.988,"LINESTRING (6.7811496 51.2230068, 6.7813471 51.223005, 6.7814055 51.2230044, 6.781557 51.2230028, 6.7817192 51.2230019, 6.7822736 51.2229994, 6.782368 51.2229989, 6.7825135 51.2229983)",,,,
"[1247262712, 23436276, 1267569396]",False,2,Josephinenstraße,residential,,True,141.79299999999998,"LINESTRING (6.7811496 51.2230068, 6.7811455 51.2231211, 6.7811745 51.2231627, 6.7820027 51.2236947, 6.7822969 51.2238916, 6.7824145 51.2239633)",,,,
