osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,bridge,junction,width
30284997,True,1,Freiburger Straße,residential,False,53.80500000000001,"LINESTRING (7.8517404 48.1162054, 7.8515487 48.1162027, 7.8514503 48.1162115, 7.8513847 48.1162301, 7.8513053 48.1162659, 7.8512275 48.1163296, 7.8511872 48.1164216)",,,,,
319758698,False,2,Kaiserstuhlstraße,secondary,True,59.894,"LINESTRING (7.8517404 48.1162054, 7.8519517 48.116333, 7.852077 48.1163899, 7.8521769 48.1164208, 7.8522803 48.116449, 7.8524229 48.1164768)",L 186,30,,,
"[45395409, 45395410, 20195275]",False,,Schwarzwaldstraße,residential,True,174.716,"LINESTRING (7.8524229 48.1164768, 7.8520802 48.1165293, 7.8520513 48.1165312, 7.8514491 48.1165699, 7.8512328 48.1165784, 7.8511329 48.1165953, 7.8506247 48.1168723, 7.8503816 48.1170191, 7.8503339 48.1170479)",,30,,,
319758698,False,2,Kaiserstuhlstraße,secondary,False,59.894000000000005,"LINESTRING (7.8524229 48.1164768, 7.8522803 48.116449, 7.8521769 48.1164208, 7.852077 48.1163899, 7.8519517 48.116333, 7.8517404 48.1162054)",L 186,30,,,
319758698,False,2,Kaiserstuhlstraße,secondary,True,48.775,"LINESTRING (7.8524229 48.1164768, 7.8526985 48.1164926, 7.8529432 48.1164912, 7.8530789 48.1164904)",L 186,30,,,
"[319758696, 319758697, 30285036]",False,"['2', '3']",Kaiserstuhlstraße,secondary,True,74.059,"LINESTRING (7.8530789 48.1164904, 7.8534734 48.1164676, 7.853592 48.1164607, 7.8536883 48.1164516, 7.8538616 48.1164327, 7.8540697 48.1164153)",L 186,30,,,
319758698,False,2,Kaiserstuhlstraße,secondary,False,48.775000000000006,"LINESTRING (7.8530789 48.1164904, 7.8529432 48.1164912, 7.8526985 48.1164926, 7.8524229 48.1164768)",L 186,30,,,
"[319758696, 319758697, 30285036]",False,"['2', '3']",Kaiserstuhlstraße,secondary,False,74.059,"LINESTRING (7.8540697 48.1164153, 7.8538616 48.1164327, 7.8536883 48.1164516, 7.853592 48.1164607, 7.8534734 48.1164676, 7.8530789 48.1164904)",L 186,30,,,
252384805,False,,F.-J.-Baumgartner-Straße,residential,True,285.401,"LINESTRING (7.8540697 48.1164153, 7.8540908 48.1165481, 7.8540629 48.1166157, 7.8540372 48.1166478, 7.8540039 48.116675, 7.8539035 48.1167228, 7.8537665 48.1167721, 7.853671 48.1168146, 7.8536219 48.1168364, 7.8526864 48.1172316, 7.8520187 48.1175137, 7.8511019 48.1178979)",,30,,,
30283758,False,3,Freiburger Straße,residential,False,23.866,"LINESTRING (7.8511872 48.1164216, 7.8511396 48.1163063, 7.8511278 48.1162116)",,50,,,
"[35572663, 45395415, 30285031]",False,2,Freiburger Straße,residential,False,290.93399999999997,"LINESTRING (7.8511872 48.1164216, 7.8512099 48.1164625, 7.8512279 48.1164897, 7.8516637 48.1170332, 7.8517773 48.117222, 7.8518485 48.1173823, 7.8518816 48.117501, 7.8518837 48.1176148, 7.8518713 48.1177767, 7.8518466 48.1178797, 7.8518057 48.1179572, 7.8517548 48.1180595, 7.8516667 48.1182024, 7.8515498 48.1183461, 7.8512553 48.1186422, 7.8510693 48.118788)",,"['50', '30']",yes,,
906620179,True,1,,residential,False,9.414,"LINESTRING (7.8509457 48.1189915, 7.85097 48.1190306, 7.8509724 48.1190729)",,30,,roundabout,
17700246,False,,Bahnhofstraße,living_street,True,84.34,"LINESTRING (7.8490393 48.1194965, 7.8490528 48.1195234, 7.8491247 48.1196415, 7.8493631 48.120093, 7.8493929 48.1202153)",,,,,
"[31065266, 17506965]",False,2,Freiburger Straße,living_street,"[False, True]",126.939,"LINESTRING (7.8490393 48.1194965, 7.8491578 48.1194618, 7.8492143 48.1194461, 7.84972 48.1193079, 7.8500182 48.1192128, 7.850095 48.1191883, 7.8501405 48.1191738, 7.8502 48.1191549, 7.8503228 48.1191157, 7.8504688 48.1190829, 7.8505466 48.1190707, 7.8506169 48.1190639)",,,,,12
"[490878753, 160743234, 161950631, 239654218, 239654219, 227758766, 340134351, 340134352, 863572625, 18168988, 18168989, 146797278]",False,2,"['Bahnhofstraße', 'Cornelia-Passage']",living_street,"[False, True]",179.86899999999997,"LINESTRING (7.8490393 48.1194965, 7.848999 48.1194517, 7.8488959 48.1193926, 7.8488258 48.1193633, 7.8488008 48.1193547, 7.8487733 48.1193452, 7.8487203 48.1193393, 7.8486665 48.1193427, 7.8485959 48.1193575, 7.8485087 48.1193842, 7.8484307 48.1194121, 7.8483875 48.1194276, 7.8482999 48.1194607, 7.8481553 48.1195153, 7.8481737 48.1195645, 7.848222 48.1196907, 7.8482329 48.119719, 7.848239 48.1197277, 7.8482692 48.1198296, 7.8482777 48.1198514, 7.8483032 48.1198848, 7.8483866 48.1199272, 7.8484283 48.1200087, 7.84844 48.1200301, 7.8484851 48.1201085, 7.8485186 48.1202145, 7.848566 48.1203813)",,10,yes,,
17742982,False,,Marktplatz,living_street,False,5.002,"LINESTRING (7.8493929 48.1202153, 7.8494037 48.1202597)",,,,,
17700246,False,,Bahnhofstraße,living_street,False,84.34,"LINESTRING (7.8493929 48.1202153, 7.8493631 48.120093, 7.8491247 48.1196415, 7.8490528 48.1195234, 7.8490393 48.1194965)",,,,,
"[40029819, 17743015]",False,,"['Markgrafenstraße', 'Marktplatz']",living_street,"[False, True]",60.099,"LINESTRING (7.8493929 48.1202153, 7.8495018 48.1201978, 7.849875 48.1201101, 7.8500731 48.1200721, 7.8501655 48.1200551)",,10,,,
17742982,False,,Marktplatz,living_street,True,5.002,"LINESTRING (7.8494037 48.1202597, 7.8493929 48.1202153)",,,,,
17744684,False,,Talstraße,residential,False,107.74799999999999,"LINESTRING (7.852661 48.121271, 7.8527134 48.1213511, 7.8528282 48.1215233, 7.8528588 48.1215692, 7.8529999 48.121781, 7.8532228 48.1221642)",,30,,,
359514712,False,2,Hochburger Straße,tertiary,False,141.993,"LINESTRING (7.852661 48.121271, 7.8529163 48.1212094, 7.8529708 48.1211958, 7.8531298 48.1211474, 7.8534425 48.1210441, 7.8537098 48.1209343, 7.8543374 48.1206654)",,30,,,
"[424780733, 425973470, 321319430]",False,2,Hochburger Straße,tertiary,True,77.192,"LINESTRING (7.852661 48.121271, 7.8523667 48.1213414, 7.8522297 48.1213719, 7.8519888 48.1214301, 7.8518806 48.1214549, 7.8517586 48.1214965, 7.8516902 48.1215175)",,50,,,
17744683,False,,Wilhelmstraße,residential,False,94.71300000000001,"LINESTRING (7.8543374 48.1206654, 7.8543937 48.1207275, 7.8548022 48.1211505, 7.8550282 48.1213815)",,30,,,
359514712,False,2,Hochburger Straße,tertiary,False,121.941,"LINESTRING (7.8543374 48.1206654, 7.8555949 48.1201195, 7.8557145 48.1200675)",,30,,,
359514712,False,2,Hochburger Straße,tertiary,True,141.993,"LINESTRING (7.8543374 48.1206654, 7.8537098 48.1209343, 7.8534425 48.1210441, 7.8531298 48.1211474, 7.8529708 48.1211958, 7.8529163 48.1212094, 7.852661 48.121271)",,30,,,
30284382,False,2,Hochburger Straße,tertiary,True,156.183,"LINESTRING (7.8574639 48.1192878, 7.8570968 48.1194412, 7.8568731 48.1195462, 7.8567921 48.1195824, 7.856656 48.1196433, 7.8564784 48.1197229, 7.8564315 48.1197439, 7.8563622 48.1197772, 7.8561823 48.1198637, 7.8561568 48.1198748, 7.8560937 48.1199037, 7.8558375 48.1200168, 7.8557145 48.1200675)",,30,,,
17744684,False,,Talstraße,residential,False,83.519,"LINESTRING (7.8532228 48.1221642, 7.8537123 48.1228405)",,30,,,
17744684,False,,Talstraße,residential,True,107.74799999999999,"LINESTRING (7.8532228 48.1221642, 7.8529999 48.121781, 7.8528588 48.1215692, 7.8528282 48.1215233, 7.8527134 48.1213511, 7.852661 48.121271)",,30,,,
"[17744688, 17744687]",False,,Kandelstraße,living_street,False,163.36399999999998,"LINESTRING (7.8532228 48.1221642, 7.8536548 48.1220317, 7.8538702 48.1218111, 7.8543802 48.1216699, 7.85454 48.1216008, 7.8550282 48.1213815)",,,,,
17744684,False,,Talstraße,residential,False,79.424,"LINESTRING (7.8537123 48.1228405, 7.854237 48.123463)",,30,,,
17744684,False,,Talstraße,residential,True,83.519,"LINESTRING (7.8537123 48.1228405, 7.8532228 48.1221642)",,30,,,
17744686,False,,Talstraße,residential,False,42.089,"LINESTRING (7.8537123 48.1228405, 7.8542103 48.1226595)",,30,,,
17744686,False,,Talstraße,residential,True,42.089,"LINESTRING (7.8542103 48.1226595, 7.8537123 48.1228405)",,30,,,
"[232678691, 69990637]",False,,Talstraße,residential,False,73.39899999999999,"LINESTRING (7.8542103 48.1226595, 7.8542229 48.1226354, 7.8542655 48.1225989, 7.8545432 48.1225301, 7.8546038 48.122548, 7.8546121 48.1225692, 7.8545917 48.1226071, 7.8545627 48.1226372, 7.8543156 48.1226877, 7.8542777 48.1226797, 7.8542103 48.1226595)",,30,,,
"[232678691, 69990637]",False,,Talstraße,residential,True,73.39899999999999,"LINESTRING (7.8542103 48.1226595, 7.8542777 48.1226797, 7.8543156 48.1226877, 7.8545627 48.1226372, 7.8545917 48.1226071, 7.8546121 48.1225692, 7.8546038 48.122548, 7.8545432 48.1225301, 7.8542655 48.1225989, 7.8542229 48.1226354, 7.8542103 48.1226595)",,30,,,
17744683,False,,Wilhelmstraße,residential,False,52.693,"LINESTRING (7.8550282 48.1213815, 7.8554055 48.1217829)",,30,,,
17744683,False,,Wilhelmstraße,residential,True,94.713,"LINESTRING (7.8550282 48.1213815, 7.8548022 48.1211505, 7.8543937 48.1207275, 7.8543374 48.1206654)",,30,,,
"[17744688, 17744687]",False,,Kandelstraße,living_street,True,163.36399999999998,"LINESTRING (7.8550282 48.1213815, 7.85454 48.1216008, 7.8543802 48.1216699, 7.8538702 48.1218111, 7.8536548 48.1220317, 7.8532228 48.1221642)",,,,,
17744691,False,,Kandelstraße,residential,False,109.438,"LINESTRING (7.8550282 48.1213815, 7.8550972 48.1213177, 7.8560559 48.120902, 7.8562344 48.1208241)",,30,,,
"[907573249, 30284707]",False,2,Romaneistraße,residential,False,131.683,"LINESTRING (7.8528694 48.1187481, 7.8527562 48.1187253, 7.8526504 48.1187133, 7.852494 48.1187234, 7.8523822 48.1187449, 7.8522057 48.1188082, 7.8520209 48.1188874, 7.8517596 48.1190045, 7.8516077 48.1190575, 7.8514721 48.1190911, 7.8513114 48.1191274, 7.851259 48.1191375)",,30,,,
"[30284753, 37060677]",False,2,Romaneistraße,residential,False,123.76599999999999,"LINESTRING (7.8528694 48.1187481, 7.8530494 48.1188091, 7.8531261 48.1188397, 7.8532677 48.1188856, 7.8533847 48.1189121, 7.8535291 48.1189213, 7.8536659 48.1189071, 7.8538219 48.118869, 7.854367 48.1186382)",,30,,,
38871379,False,,Markgrafenstraße,residential,False,55.510999999999996,"LINESTRING (7.8528694 48.1187481, 7.8529129 48.1185279, 7.8529502 48.1183741, 7.8529669 48.1182533)",,,,,
"[39655243, 35810486]",False,,Markgrafenstraße,living_street,True,99.27099999999999,"LINESTRING (7.8528694 48.1187481, 7.8528674 48.1188434, 7.8528397 48.1189129, 7.8527819 48.1190337, 7.8526671 48.1191596, 7.8524141 48.1194219, 7.8522687 48.1195219)",,,,,
23206224,False,2,Moltkestraße,residential,False,93.118,"LINESTRING (7.854367 48.1186382, 7.8550348 48.1193471)",,30,,,
30284426,False,2,Romaneistraße,residential,False,151.63,"LINESTRING (7.854367 48.1186382, 7.8557856 48.1180322, 7.8560895 48.1179053)",,30,,,
"[30284753, 37060677]",False,2,Romaneistraße,residential,True,123.76599999999999,"LINESTRING (7.854367 48.1186382, 7.8538219 48.118869, 7.8536659 48.1189071, 7.8535291 48.1189213, 7.8533847 48.1189121, 7.8532677 48.1188856, 7.8531261 48.1188397, 7.8530494 48.1188091, 7.8528694 48.1187481)",,30,,,
23206224,False,2,Moltkestraße,residential,True,93.118,"LINESTRING (7.8550348 48.1193471, 7.854367 48.1186382)",,30,,,
23209886,False,,Schlosserstraße,residential,True,42.575,"LINESTRING (7.8550348 48.1193471, 7.8545582 48.1195601)",,,,,
23206224,False,2,Moltkestraße,residential,False,94.687,"LINESTRING (7.8550348 48.1193471, 7.8552628 48.1195913, 7.8554215 48.1197613, 7.8556676 48.1200247, 7.8557145 48.1200675)",,30,,,
23206224,False,2,Moltkestraße,residential,True,94.687,"LINESTRING (7.8557145 48.1200675, 7.8556676 48.1200247, 7.8554215 48.1197613, 7.8552628 48.1195913, 7.8550348 48.1193471)",,30,,,
30284382,False,2,Hochburger Straße,tertiary,False,156.18300000000002,"LINESTRING (7.8557145 48.1200675, 7.8558375 48.1200168, 7.8560937 48.1199037, 7.8561568 48.1198748, 7.8561823 48.1198637, 7.8563622 48.1197772, 7.8564315 48.1197439, 7.8564784 48.1197229, 7.856656 48.1196433, 7.8567921 48.1195824, 7.8568731 48.1195462, 7.8570968 48.1194412, 7.8574639 48.1192878)",,30,,,
30284384,False,2,Moltkestraße,residential,False,91.382,"LINESTRING (7.8557145 48.1200675, 7.8557748 48.1201381, 7.8560519 48.1204358, 7.8563667 48.1207644)",,30,,,
359514712,False,2,Hochburger Straße,tertiary,True,121.941,"LINESTRING (7.8557145 48.1200675, 7.8555949 48.1201195, 7.8543374 48.1206654)",,30,,,
18652822,False,,Markgraf-Jacob-Allee,residential,False,83.275,"LINESTRING (7.8500886 48.1221265, 7.8501888 48.1222857, 7.8502612 48.1224145, 7.850481 48.1228279)",,,,,
"[424780732, 321319428, 239654223]",False,"['2', '3']",Hebelstraße,tertiary,False,103.27600000000001,"LINESTRING (7.8500886 48.1221265, 7.8503108 48.1220643, 7.8506004 48.1219712, 7.8507455 48.1219246, 7.8508339 48.1218966, 7.8509948 48.1218333, 7.8511334 48.1217671, 7.8511966 48.1217386, 7.851253 48.1217131, 7.8513098 48.1216875)",,30,,,
239654223,False,2,Hebelstraße,tertiary,True,34.056,"LINESTRING (7.8500886 48.1221265, 7.8499278 48.1221681, 7.8497302 48.1222097, 7.849654 48.122224)",,30,,,
"[239654222, 17743030]",False,2,Hebelstraße,tertiary,False,92.86999999999998,"LINESTRING (7.8484384 48.1221666, 7.8485881 48.1222128, 7.848716 48.1222448, 7.848839 48.1222673, 7.8489032 48.1222731, 7.8490699 48.1222774, 7.8492319 48.1222693, 7.8494233 48.1222545, 7.8496067 48.1222327, 7.849654 48.122224)",,30,,,
"[907573233, 455410931, 17743030]",False,2,"['Karl-Friedrich-Straße', 'Hebelstraße']",tertiary,"[False, True]",185.034,"LINESTRING (7.8484384 48.1221666, 7.8482978 48.1221309, 7.8481725 48.122098, 7.8481064 48.122072, 7.8480112 48.1220172, 7.847939 48.1219821, 7.84788 48.1219572, 7.8478106 48.121933, 7.8477233 48.1219063, 7.8476277 48.1219142, 7.8474994 48.1219357, 7.8473947 48.1219636, 7.8473335 48.1219799, 7.8471985 48.1220159, 7.8468225 48.1221175, 7.8466263 48.1221726, 7.8466165 48.1221753, 7.8462119 48.1222861, 7.8461631 48.1222996)",,30,,,
"[322259824, 322259825, 23464476]",False,,Torgasse,living_street,False,66.625,"LINESTRING (7.8484384 48.1221666, 7.8484527 48.122142, 7.8484596 48.1221301, 7.8484847 48.1220943, 7.8485494 48.1220066, 7.848573 48.1219176, 7.8485049 48.1218135, 7.8483583 48.121691, 7.8483003 48.1216426)",,,yes,,
18652822,False,,Markgraf-Jacob-Allee,residential,True,83.275,"LINESTRING (7.850481 48.1228279, 7.8502612 48.1224145, 7.8501888 48.1222857, 7.8500886 48.1221265)",,,,,
"[19873784, 19873785, 19873787]",False,2,Schützenstraße,residential,True,91.513,"LINESTRING (7.8467389 48.1165854, 7.8468454 48.116624, 7.8468818 48.1166391, 7.8469743 48.1166776, 7.8476033 48.1169392, 7.8477806 48.1170246)",,50,yes,,
20000138,False,,Steinstraße,living_street,False,110.617,"LINESTRING (7.8455532 48.122468, 7.8455981 48.1225496, 7.8458554 48.123003, 7.8460799 48.1233986)",,,,,
"[907573233, 907573238]",False,2,Karl-Friedrich-Straße,tertiary,True,48.999,"LINESTRING (7.8455532 48.122468, 7.8455881 48.1224584, 7.8456063 48.1224534, 7.8458224 48.1223918, 7.8458622 48.1223827, 7.8460315 48.1223359, 7.8461631 48.1222996)",,30,,,
