osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,ref,bridge
1225841972,Dittrichring,residential,20,7.4,False,False,7.759,"LINESTRING (12.3717646 51.3396532, 12.371748 51.3395842)",,,
4310322,Dittrichring,residential,20,6.7,False,False,153.646,"LINESTRING (12.3717646 51.3396532, 12.3717889 51.3397542, 12.3718002 51.3398405, 12.371818 51.339976, 12.3718299 51.3400666, 12.3718417 51.3401566, 12.3718696 51.3403683, 12.3718767 51.3404228, 12.3718809 51.3404546, 12.3718978 51.3405829, 12.3719161 51.3407225, 12.3719224 51.3407709, 12.3719419 51.3409188, 12.3719589 51.3410294)",,,
"[1203908554, 58606940]",Thomaskirchhof,residential,20,,True,False,33.89,"LINESTRING (12.3717646 51.3396532, 12.371492 51.3397012, 12.3714486 51.3397092, 12.3712964 51.3397388)",3,,
4293824,Goerdelerring,primary,50,,True,False,39.482,"LINESTRING (12.3711119 51.3444257, 12.3710425 51.3443531, 12.3709894 51.3442975, 12.370975 51.3442817, 12.3709498 51.3442538, 12.3708272 51.3441184)",3,,
"[4493056, 642998817, 642998818]",Ranstädter Steinweg,primary,50,"['7', '7.5']",True,False,72.885,"LINESTRING (12.3711119 51.3444257, 12.3709984 51.344417, 12.3707671 51.3443965, 12.3706835 51.3443885, 12.3705489 51.3443744, 12.370347 51.3443455, 12.3700823 51.3443032)",2,B 87,
1091019845,,primary,50,10,True,False,5.281,"LINESTRING (12.3768483 51.3444921, 12.3767733 51.3444843)",2,B 87,
252979686,Gerberstraße,secondary,50,14,True,False,12.261,"LINESTRING (12.3768483 51.3444921, 12.3768715 51.344465, 12.3768968 51.3444388, 12.3769313 51.3444089, 12.3769444 51.3444)",3,,
173452729,Käthe-Kollwitz-Straße,tertiary,50,,True,False,26.651,"LINESTRING (12.3691696 51.3420071, 12.3693089 51.3420786, 12.3693689 51.3421095, 12.369466 51.3421593)",2,,
965667701,Dittrichring,primary,50,,True,False,46.498000000000005,"LINESTRING (12.3691696 51.3420071, 12.3691646 51.3419545, 12.3691654 51.34191, 12.3691723 51.3418698, 12.3691795 51.3418423, 12.3691996 51.3417832, 12.3692287 51.3417261, 12.3692657 51.341677, 12.3693359 51.3416124)",2,,
59459450,Goerdelerring,primary,50,11,True,False,39.245000000000005,"LINESTRING (12.3711811 51.3441092, 12.3711956 51.3441296, 12.3712299 51.3441807, 12.371287 51.3442698, 12.3713124 51.344309, 12.3713882 51.3444375)",3,,
"[252565264, 252565258, 59459451, 643208204]",Tröndlinring,primary,50,"['11', '14']",True,False,292.563,"LINESTRING (12.3711811 51.3441092, 12.3717548 51.3440959, 12.371819 51.3440948, 12.3722792 51.3440924, 12.3728277 51.3440911, 12.3730226 51.3440922, 12.3732971 51.3440972, 12.3736351 51.344107, 12.3740041 51.3441276, 12.3743724 51.3441358, 12.3750338 51.3441428, 12.3753905 51.3441452)","['4', '3']",B 87,
"[1091926353, 4307251, 1090823557, 150289833]",Goethestraße,residential,50,5,True,False,82.136,"LINESTRING (12.3811008 51.3434365, 12.3811227 51.3434262, 12.3811395 51.3434166, 12.3811709 51.3433903, 12.3811911 51.3433644, 12.3812257 51.3433073, 12.3812458 51.34327, 12.3812542 51.3432383, 12.3812609 51.3432025, 12.3812613 51.3431614, 12.3812569 51.343125, 12.3812414 51.3430691, 12.3811822 51.3429255, 12.381167 51.3428792, 12.3811557 51.342818, 12.3811476 51.3427729, 12.381137 51.3427332)",1,,
152425368,Willy-Brandt-Platz,primary,50,13,True,False,51.769000000000005,"LINESTRING (12.3811008 51.3434365, 12.3811892 51.3434106, 12.3812592 51.3433963, 12.3813211 51.3433864, 12.3813824 51.34338, 12.3814596 51.3433729, 12.381826 51.3433409)",4,B 87,
"[209190544, 4293819, 387618108, 642998823]",Goerdelerring,primary,50,16.5,True,False,247.75800000000004,"LINESTRING (12.369466 51.3421593, 12.3695136 51.3422204, 12.3695469 51.3422631, 12.3704743 51.3433631, 12.3705204 51.3434133, 12.3706346 51.3435135, 12.3707359 51.3436, 12.3708731 51.3437256, 12.3709883 51.3438563, 12.3709914 51.3438598, 12.3710186 51.3438917, 12.3711233 51.3440308, 12.3711811 51.3441092)","['4', '5', '3']",,
49603104,Gottschedstraße,residential,,,True,False,13.431000000000001,"LINESTRING (12.3712964 51.3397388, 12.371224 51.3397522, 12.371186 51.3397593, 12.3711111 51.3397733)",2,,
"[30244965, 1059344895]",Dittrichring,primary,50,7.8,True,False,220.888,"LINESTRING (12.3712964 51.3397388, 12.3713325 51.3399145, 12.3713355 51.3399369, 12.3713707 51.3401674, 12.3713718 51.340258, 12.3713592 51.3403242, 12.3713352 51.3403813, 12.3712968 51.3404474, 12.3712487 51.340506, 12.3711647 51.3405884, 12.3709591 51.3407589, 12.3708435 51.3408583, 12.3706883 51.3409654, 12.3700797 51.341322, 12.3699606 51.3413934)",1,,
30244958,Brühl,residential,20,,False,False,12.467,"LINESTRING (12.3765261 51.3430115, 12.3767051 51.3430197)",,,
"[1167164929, 1167164930, 253332003, 1167164905, 1167164906, 1167164907, 1167164908, 58606926, 4310324, 1167164886, 1167164887, 1167164888, 1167164926]","['Brühl', 'Katharinenstraße']",residential,20,"['8', '9', '6.5']",False,"[False, True]",253.503,"LINESTRING (12.3765261 51.3430115, 12.3764172 51.343013, 12.3759128 51.3430202, 12.3757643 51.3430239, 12.3754464 51.3430278, 12.3753365 51.3430291, 12.3750053 51.3430332, 12.3749979 51.3429573, 12.3749952 51.3429292, 12.3749917 51.342894, 12.3749678 51.3426486, 12.3749659 51.3426287, 12.3749601 51.3425696, 12.3749671 51.3424002, 12.3749681 51.3423697, 12.3749704 51.3422972, 12.3749784 51.3420462, 12.3749924 51.3418954, 12.3749962 51.3418785, 12.3750345 51.3417067)",,,
"[1164481465, 1103623610, 1125610078, 1125610079]",Reichsstraße,residential,20,7.5,False,False,145.475,"LINESTRING (12.3765261 51.3430115, 12.3765283 51.3429492, 12.3765327 51.3428269, 12.3765539 51.3422452, 12.3765616 51.3421585, 12.3765669 51.3420986, 12.3765946 51.3418959, 12.3766159 51.3417486, 12.376623 51.3417052)",,,
