osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,tunnel
"[972489033, 41658547]",St 2223,Obere Vorstadt,secondary,50,False,False,114.03300000000002,"LINESTRING (10.8228086 49.2455015, 10.8228196 49.2456007, 10.8228722 49.2456969, 10.8229887 49.24594, 10.8230342 49.2460952, 10.8231084 49.2463071, 10.823223 49.2464859)",,,
95514237,St 2223,Spalter Straße,secondary,50,False,True,33.661,"LINESTRING (10.8228086 49.2455015, 10.8228393 49.2454255, 10.822926 49.2453413, 10.8230344 49.2452411)",,,
5134677,AN 15,Ansbacher Straße,tertiary,50,False,True,198.06400000000002,"LINESTRING (10.8242918 49.247565, 10.8245656 49.247543, 10.8247022 49.24749, 10.8248216 49.2473401, 10.8249052 49.2471305, 10.8249705 49.2469001, 10.8249997 49.2466048, 10.8250033 49.246493, 10.8250477 49.2463179, 10.8251238 49.2461926, 10.8252446 49.2460562)",,,
"[165278528, 32726251, 32726252]",St 2223,Obere Vorstadt,secondary,50,False,True,145.18699999999998,"LINESTRING (10.8242918 49.247565, 10.8242449 49.2473889, 10.8241508 49.2472524, 10.8233074 49.2465685, 10.823223 49.2464859)",yes,,
149336102,St 2223,Ansbacher Straße,secondary,50,False,False,93.432,"LINESTRING (10.8242918 49.247565, 10.824307 49.2477012, 10.8242693 49.2478835, 10.824167 49.2481071, 10.8239821 49.2483668)",,,
34913353,,Luitpoldstraße,residential,,False,False,136.364,"LINESTRING (10.8239821 49.2483668, 10.8247386 49.2484479, 10.8257276 49.2485555, 10.8258253 49.2485876)",,,
149336102,St 2223,Ansbacher Straße,secondary,50,False,False,173.129,"LINESTRING (10.8239821 49.2483668, 10.8238683 49.2485487, 10.8238487 49.2485855, 10.8236034 49.2490448, 10.8234607 49.2493119, 10.8233563 49.2494546, 10.8232322 49.2495574, 10.8229347 49.2497351)",,,
149336102,St 2223,Ansbacher Straße,secondary,50,False,True,93.432,"LINESTRING (10.8239821 49.2483668, 10.824167 49.2481071, 10.8242693 49.2478835, 10.824307 49.2477012, 10.8242918 49.247565)",,,
5134677,AN 15,Ansbacher Straße,tertiary,50,False,False,198.06400000000002,"LINESTRING (10.8252446 49.2460562, 10.8251238 49.2461926, 10.8250477 49.2463179, 10.8250033 49.246493, 10.8249997 49.2466048, 10.8249705 49.2469001, 10.8249052 49.2471305, 10.8248216 49.2473401, 10.8247022 49.24749, 10.8245656 49.247543, 10.8242918 49.247565)",,,
"[32726259, 156069860, 156069859]",,"['Markgrafenbrücke', 'An der Markgrafenbrücke']",residential,30,True,False,184.318,"LINESTRING (10.8252446 49.2460562, 10.8248931 49.2459219, 10.8246439 49.2458345, 10.8244585 49.2457552, 10.8230344 49.2452411)",yes,1,
"[464637896, 172545571, 464637895]",AN 15,Hauptstraße,tertiary,"['50', '20']",False,True,32.36,"LINESTRING (10.8252446 49.2460562, 10.8254907 49.2461763, 10.8255554 49.2462079, 10.8256016 49.2462305)",,,building_passage
722756606,,Retzendorfer Straße,residential,30,False,True,217.67,"LINESTRING (10.8252446 49.2460562, 10.8261985 49.2456514, 10.8266072 49.245428, 10.8266788 49.2454176, 10.8271914 49.2453599, 10.8273992 49.2452863, 10.8278004 49.2450938)",,,
172545570,AN 15,Hauptstraße,tertiary,20,False,False,30.212,"LINESTRING (10.8267315 49.2470124, 10.8264006 49.2468476)",,,
172545570,AN 15,Hauptstraße,tertiary,20,False,True,44.575,"LINESTRING (10.8267315 49.2470124, 10.8272664 49.2472093)",,,
677125457,,Bahnhofstraße,residential,20,False,False,53.192,"LINESTRING (10.8267315 49.2470124, 10.8264436 49.2474523)",,,
"[464637992, 464637993, 172545570, 5134678]",AN 15,Hauptstraße,tertiary,"['50', '20']",False,False,125.09799999999998,"LINESTRING (10.8288403 49.2476642, 10.8287371 49.2476298, 10.8284541 49.2475355, 10.828384 49.2475122, 10.8283494 49.2475033, 10.8279989 49.2474244, 10.8272664 49.2472093)",,,building_passage
5134738,AN 15,Heinrich-Brandt-Straße,tertiary,50,False,False,77.75,"LINESTRING (10.8288403 49.2476642, 10.8295223 49.2479195, 10.8297612 49.2480209)",,,
28874387,,Am Stadtgraben,residential,,False,False,152.135,"LINESTRING (10.8288403 49.2476642, 10.8293677 49.2470969, 10.8295014 49.2469528, 10.8299541 49.2465055)",,,
5134738,AN 15,Heinrich-Brandt-Straße,tertiary,50,False,False,68.02799999999999,"LINESTRING (10.8305223 49.2485681, 10.8307405 49.2488017, 10.8309558 49.2491093)",,,
5134738,AN 15,Heinrich-Brandt-Straße,tertiary,50,False,True,82.338,"LINESTRING (10.8305223 49.2485681, 10.8301257 49.2482496, 10.8297612 49.2480209)",,,
5134739,,Jahnring,living_street,,False,False,263.659,"LINESTRING (10.8305223 49.2485681, 10.8307524 49.2484902, 10.8308917 49.2484393, 10.8318212 49.248092, 10.832364 49.2479287, 10.8331016 49.2477589, 10.8333843 49.2477586, 10.8338614 49.247793)",,,
10856664,,Bahnhofstraße,residential,,False,False,126.057,"LINESTRING (10.8257688 49.2492421, 10.8258586 49.2493618, 10.8259993 49.2494896, 10.8261449 49.249624, 10.8262632 49.2497337, 10.8262726 49.2497423, 10.8264484 49.2499107, 10.8265902 49.250008, 10.8267541 49.2500779, 10.8268449 49.2501108)",,,
10856664,,Bahnhofstraße,residential,,False,True,74.35399999999998,"LINESTRING (10.8257688 49.2492421, 10.8257523 49.249164, 10.8258761 49.2486632, 10.8258253 49.2485876)",,,
34913355,,Bahnhofstraße,residential,,False,False,161.924,"LINESTRING (10.8257688 49.2492421, 10.8256015 49.2494575, 10.8253343 49.2496328, 10.8250965 49.2497041, 10.8249235 49.2498109, 10.8250953 49.2499438, 10.8245632 49.2502564)",,,
156179044,,An der Stadtmauer,residential,,False,True,162.66799999999998,"LINESTRING (10.8260605 49.2481589, 10.8265564 49.2482522, 10.8267707 49.2482658, 10.8277292 49.2482385, 10.8281113 49.2481789, 10.8282491 49.2481293)",,,
677125457,,Bahnhofstraße,residential,20,False,False,51.83,"LINESTRING (10.8260605 49.2481589, 10.8259249 49.2485221, 10.8258253 49.2485876)",,,
677125457,,Bahnhofstraße,residential,20,False,True,83.347,"LINESTRING (10.8260605 49.2481589, 10.8263276 49.2476711, 10.8264436 49.2474523)",,,
41671124,AN 15,Heinrich-Brandt-Straße,tertiary,50,False,True,37.775,"LINESTRING (10.8316183 49.2500403, 10.8313776 49.2497391)",,,
41671228,,Heilsbronner Straße,residential,,False,False,151.68900000000002,"LINESTRING (10.8316183 49.2500403, 10.8320183 49.2508413, 10.8323222 49.2513238)",,,
123419878,,Eichenstraße,residential,,False,False,268.217,"LINESTRING (10.8324923 49.2520245, 10.8315581 49.2520382, 10.8315107 49.2520413, 10.8310947 49.2520685, 10.830668 49.2520963, 10.8299559 49.2521544, 10.8288195 49.2522643)",,,
898102469,,Heilsbronner Straße,residential,,False,True,79.01,"LINESTRING (10.8324923 49.2520245, 10.832444 49.2516989, 10.8323222 49.2513238)",,,
32725072,,Ludwigstraße,residential,,False,False,58.585,"LINESTRING (10.8278004 49.2450938, 10.8283648 49.2454704)",,,
722756606,,Retzendorfer Straße,residential,30,False,False,217.67,"LINESTRING (10.8278004 49.2450938, 10.8273992 49.2452863, 10.8271914 49.2453599, 10.8266788 49.2454176, 10.8266072 49.245428, 10.8261985 49.2456514, 10.8252446 49.2460562)",,,
32725072,,Ludwigstraße,residential,,False,True,162.963,"LINESTRING (10.8299541 49.2465055, 10.8283648 49.2454704)",,,
28874387,,Am Stadtgraben,residential,,False,False,57.866,"LINESTRING (10.8299541 49.2465055, 10.8301741 49.2462075, 10.8302667 49.2460278)",,,
28874387,,Am Stadtgraben,residential,,False,True,152.135,"LINESTRING (10.8299541 49.2465055, 10.8295014 49.2469528, 10.8293677 49.2470969, 10.8288403 49.2476642)",,,
32725072,,Ludwigstraße,residential,,False,False,53.92400000000001,"LINESTRING (10.8299541 49.2465055, 10.8303977 49.2466101, 10.8306555 49.2466651)",,,
