osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,width,bridge,junction
27279613,Bismarckstraße,residential,30,False,False,9.871,,,"LINESTRING (6.9344805 51.1707508, 6.934507 51.1706636)",,,
"[206336624, 26664020]",Berliner Straße,primary,50,True,False,281.972,2,B 228,"LINESTRING (6.9344805 51.1707508, 6.9342845 51.1707181, 6.9338233 51.1706279, 6.9335124 51.1705578, 6.9332344 51.1704862, 6.9329025 51.170391, 6.9326253 51.1703093, 6.9323527 51.1702136, 6.9320062 51.1700841, 6.9316691 51.1699413, 6.9311773 51.1697318, 6.9311284 51.1697109, 6.9308987 51.1696107)",,,
"[469723409, 1221349466]",Benrather Straße,secondary,50,True,False,108.01100000000001,"['2', '3']",L 404,"LINESTRING (6.9292264 51.1680127, 6.9293254 51.1679692, 6.929728 51.1677928, 6.929888 51.1677262, 6.9299361 51.1677062, 6.9304093 51.1675025, 6.9304993 51.1674593)",,,
18360111,Südstraße,residential,30,False,False,126.11,2,,"LINESTRING (6.9362271 51.1657739, 6.9377572 51.1663786)",,,
18360111,Südstraße,residential,30,False,True,129.263,2,,"LINESTRING (6.9362271 51.1657739, 6.9347863 51.1651509, 6.9346978 51.165117)",,,
26678663,Südstraße,residential,30,False,False,74.465,,,"LINESTRING (6.9362271 51.1657739, 6.9358657 51.1661097, 6.9356297 51.166329)",,,
18359823,Richrather Straße,secondary,50,False,False,53.061,3,L 404,"LINESTRING (6.9344546 51.1650545, 6.9346202 51.1649488, 6.9346615 51.1649189, 6.9349371 51.1646867)",,,
"[354562404, 26649647]",Neustraße,residential,50,False,False,253.78700000000003,"['2', '3']",,"LINESTRING (6.9344546 51.1650545, 6.9343268 51.1650044, 6.9342419 51.1649706, 6.9337693 51.1647848, 6.9337301 51.164769, 6.9327353 51.1643651, 6.9326988 51.1643502, 6.9325877 51.1643247, 6.932481 51.1643186, 6.9323751 51.164328, 6.9312804 51.1646698)",,,
354562391,Klotzstraße,secondary,50,False,True,34.782,3,L 404,"LINESTRING (6.9344546 51.1650545, 6.9342547 51.1651657, 6.934206 51.1651915, 6.9340787 51.1652601)",,,
1061001964,Südstraße,residential,30,False,False,18.532,2,,"LINESTRING (6.9344546 51.1650545, 6.9345888 51.1650771, 6.9346484 51.1650944, 6.9346978 51.165117)",,,
18360111,Südstraße,residential,30,False,False,129.263,2,,"LINESTRING (6.9346978 51.165117, 6.9347863 51.1651509, 6.9362271 51.1657739)",,,
1061001964,Südstraße,residential,30,False,True,18.532,2,,"LINESTRING (6.9346978 51.165117, 6.9346484 51.1650944, 6.9345888 51.1650771, 6.9344546 51.1650545)",,,
"[407535234, 26680617, 121471146, 26680618, 18365939]",Neustraße,residential,30,False,True,389.283,,,"LINESTRING (6.9258915 51.1653045, 6.9266205 51.1648152, 6.9268202 51.1647249, 6.9273896 51.1645081, 6.9274751 51.1644967, 6.9275643 51.1645363, 6.9280104 51.1649798, 6.9281463 51.1650662, 6.9282766 51.1651054, 6.9283686 51.1651112, 6.9291123 51.1650644, 6.9296638 51.1650256, 6.9298695 51.1650121, 6.930022 51.1650025, 6.9301367 51.1649927, 6.9303643 51.1649677, 6.9304898 51.1649465)",6,yes,
"[180612792, 354562399]",Neustraße,residential,30,True,False,149.78900000000002,"['2', '1']",,"LINESTRING (6.9258915 51.1653045, 6.9251182 51.1658394, 6.9249521 51.1659488, 6.9248494 51.166046, 6.9247316 51.1662368, 6.9247152 51.166264, 6.9246991 51.1662915, 6.9246455 51.1663798)",6,,
26994349,Benrather Straße,primary,50,False,False,25.742,3,B 228,"LINESTRING (6.9246455 51.1663798, 6.9244577 51.1663321, 6.9243023 51.1662945)",,,
354562288,Bahnhofsallee,residential,30,False,True,35.206,2,,"LINESTRING (6.9246455 51.1663798, 6.9245867 51.1664852, 6.9245572 51.1665194, 6.9244706 51.1665799, 6.9243631 51.1666313)",,,
"[354562339, 354562326]",Benrather Straße,primary,50,False,True,139.424,2,B 228,"LINESTRING (6.9246455 51.1663798, 6.9249315 51.1664497, 6.9249947 51.1664657, 6.9252595 51.1665327, 6.9255563 51.166609, 6.9257141 51.1666496, 6.9264983 51.1668513)",,,
206344239,Benrather Straße,secondary,50,False,False,11.356,4,L 85,"LINESTRING (6.9289619 51.1682238, 6.928848 51.1682968)",,,
26619646,Benrather Straße,secondary,50,True,False,30.68,2,L 404,"LINESTRING (6.9289619 51.1682238, 6.929038 51.1681119, 6.9292264 51.1680127)",,,
"[206336620, 26633878]",Berliner Straße,primary,50,True,False,203.31199999999998,"['2', '3']",B 228,"LINESTRING (6.9289619 51.1682238, 6.9291183 51.1683434, 6.9294593 51.1686535, 6.9294761 51.1686685, 6.929765 51.1688768, 6.9299705 51.1690155, 6.930171 51.1691358, 6.930351 51.169222, 6.9307486 51.1694044, 6.9307974 51.1694262, 6.9309915 51.1695154)",,,
38876757,Gerresheimer Straße,tertiary,50,False,True,12.416,4,,"LINESTRING (6.9309915 51.1695154, 6.9308987 51.1696107)",,,
26680169,Schwanenstraße,residential,30,False,False,36.619,4,,"LINESTRING (6.9309915 51.1695154, 6.931082 51.1694189, 6.9311061 51.1693967, 6.9311291 51.1693755, 6.9312703 51.1692364)",,,
"[26992228, 26664021]",Berliner Straße,primary,50,True,False,278.509,2,B 228,"LINESTRING (6.9309915 51.1695154, 6.93122 51.1696191, 6.9317103 51.1698428, 6.9320109 51.1699722, 6.932336 51.170102, 6.9326949 51.1702287, 6.9331912 51.1703804, 6.9333305 51.1704171, 6.9338997 51.1705492, 6.9342531 51.1706177, 6.9343145 51.1706295, 6.934507 51.1706636)",,,
137978479,,primary_link,50,True,False,48.399,1,,"LINESTRING (6.9291829 51.1685963, 6.929071 51.1685947, 6.9289756 51.1685374, 6.9288638 51.1684937, 6.928816 51.1684848, 6.9287082 51.1684831, 6.9285477 51.1684877)",,,
206336709,Berliner Straße,primary,50,True,False,40.689,2,B 228,"LINESTRING (6.9291829 51.1685963, 6.9289992 51.1684233, 6.9289757 51.1684029, 6.928848 51.1682968)",,,
27279613,Bismarckstraße,residential,30,False,True,9.871,,,"LINESTRING (6.934507 51.1706636, 6.9344805 51.1707508)",,,
"[701305449, 26680202, 24887460, 435633428]",Bismarckstraße,"['residential', 'living_street']","['30', 'walk']",False,False,124.016,2,,"LINESTRING (6.934507 51.1706636, 6.9345414 51.1705763, 6.9345526 51.1705432, 6.9345664 51.1705035, 6.9345929 51.170423, 6.9347927 51.1697488, 6.9348131 51.1696799, 6.9348477 51.1695691)",,,
206336625,Berliner Straße,primary,50,True,False,146.41500000000002,2,B 228,"LINESTRING (6.934507 51.1706636, 6.9348784 51.1707142, 6.9353018 51.1707702, 6.9354637 51.1707865, 6.9357261 51.170809, 6.9362793 51.1708343, 6.9363433 51.1708359, 6.9365828 51.1708426)",,,
"[1221509540, 20181932]",Heiligenstraße,"['living_street', 'residential']",30,True,False,123.676,,,"LINESTRING (6.936383 51.1681883, 6.9364384 51.1681126, 6.9365503 51.1679486, 6.9365692 51.1679242, 6.9366232 51.1678543, 6.9371183 51.1671762)",,,
701309210,Heiligenstraße,living_street,walk,False,True,73.533,,,"LINESTRING (6.936383 51.1681883, 6.9363515 51.16823, 6.936099 51.1685655, 6.9359341 51.1687867)",,,
26678665,Heiligenstraße,residential,30,False,False,84.041,,,"LINESTRING (6.9371183 51.1671762, 6.9360432 51.1668345)",,,
26679047,Heiligenstraße,residential,30,False,False,43.89,,,"LINESTRING (6.9371183 51.1671762, 6.937375 51.1668158)",,,
26679047,Heiligenstraße,residential,30,False,False,55.44,,,"LINESTRING (6.937375 51.1668158, 6.9377572 51.1663786)",,,
26679047,Heiligenstraße,residential,30,False,True,43.89,,,"LINESTRING (6.937375 51.1668158, 6.9371183 51.1671762)",,,
20183514,Albert-Schweitzer-Weg,living_street,walk,False,False,136.745,,,"LINESTRING (6.9364815 51.1631913, 6.9361037 51.1630784, 6.9360328 51.1630793, 6.9359884 51.1631005, 6.9359391 51.1631425, 6.9358624 51.1632078, 6.9357912 51.1632173, 6.9357166 51.1632078, 6.9355751 51.1631601, 6.9351032 51.1629871, 6.9349704 51.1629635, 6.9347615 51.1629576)",,,
"[354562432, 488563202, 695993059, 488563206]",Richrather Straße,secondary,"['50', '30']",False,True,198.113,2,L 404,"LINESTRING (6.9364815 51.1631913, 6.9362901 51.1633693, 6.9361947 51.1634626, 6.936081 51.1635756, 6.9359608 51.1636948, 6.9359294 51.1637254, 6.9357505 51.1638995, 6.935644 51.1640026, 6.9349371 51.1646867)",,,
20183514,Albert-Schweitzer-Weg,living_street,walk,False,True,136.745,,,"LINESTRING (6.9347615 51.1629576, 6.9349704 51.1629635, 6.9351032 51.1629871, 6.9355751 51.1631601, 6.9357166 51.1632078, 6.9357912 51.1632173, 6.9358624 51.1632078, 6.9359391 51.1631425, 6.9359884 51.1631005, 6.9360328 51.1630793, 6.9361037 51.1630784, 6.9364815 51.1631913)",,,
"[488563209, 488563211, 20183805]",Schützenstraße,residential,30,False,True,198.554,,,"LINESTRING (6.9347615 51.1629576, 6.934734 51.1634841, 6.93473 51.163606, 6.9347318 51.1636694, 6.934728 51.1645311, 6.9347572 51.1645843, 6.9348217 51.1646421, 6.9349371 51.1646867)",,,
18359823,Richrather Straße,secondary,50,False,True,53.061,3,L 404,"LINESTRING (6.9349371 51.1646867, 6.9346615 51.1649189, 6.9346202 51.1649488, 6.9344546 51.1650545)",,,
