osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name,bridge,ref,width
22946933,2,unclassified,50,False,False,35.64,"LINESTRING (8.5123135 49.245619, 8.512443 49.2455306, 8.5126402 49.2453799)",,,,
23084242,1,unclassified,100,True,False,22.459,"LINESTRING (8.5123135 49.245619, 8.5123831 49.2456033, 8.5124374 49.2456006, 8.5124897 49.2456138, 8.5125345 49.2456319, 8.5125895 49.2456628)",Haslacher Straße,,,
22939140,2,unclassified,50,False,False,62.39099999999999,"LINESTRING (8.5146817 49.2469538, 8.5147953 49.2470622, 8.5148665 49.2471497, 8.5149997 49.2473667, 8.5150528 49.2474572)",Haslacher Straße,,,
"[70656370, 84656011, 30900188, 30900189]",2,unclassified,"['50', '100']",False,True,177.798,"LINESTRING (8.5146817 49.2469538, 8.5145876 49.2468906, 8.514212 49.2466721, 8.5141005 49.2466133, 8.5140467 49.2465833, 8.5139106 49.2465048, 8.5138035 49.2464399, 8.5128658 49.2458813)",Haslacher Straße,yes,,
"[564053202, 22939130]",,residential,50,False,False,134.357,"LINESTRING (8.5146817 49.2469538, 8.5147565 49.2469029, 8.5148203 49.2468762, 8.514936 49.2468336, 8.5157439 49.2465948, 8.5157909 49.2465597, 8.5158031 49.2465092, 8.515642 49.2462018)",Belchenstraße,,,
564053203,,residential,30,False,True,110.438,"LINESTRING (8.5146817 49.2469538, 8.514601 49.2470267, 8.513822 49.2477732)",Wiesentaler Straße,,,
56045494,3,secondary,70,False,True,6.698,"LINESTRING (8.5175463 49.2513124, 8.5174747 49.2513504)",,,L 555,11
22939137,,residential,30,False,True,62.81100000000001,"LINESTRING (8.5172139 49.2509739, 8.5173077 49.2509457, 8.5173684 49.2509276, 8.5174419 49.2509025, 8.5179997 49.2507375)",Kirrlacher Straße,,,
"[314879633, 53855890]",1,unclassified,"['50', '100']",True,False,44.708999999999996,"LINESTRING (8.5172139 49.2509739, 8.5173313 49.2510934, 8.5173671 49.251132, 8.5174949 49.2512598, 8.5175463 49.2513124)",Haslacher Straße,,,
56045495,,residential,30,False,False,23.851,"LINESTRING (8.5172139 49.2509739, 8.5171628 49.250988, 8.5171141 49.251, 8.5169112 49.2510573)",Kirrlacher Straße,,,
134120520,2,unclassified,50,False,True,123.10900000000001,"LINESTRING (8.5172139 49.2509739, 8.5171379 49.2508426, 8.516887 49.2504309, 8.51668 49.2500991, 8.5165858 49.2499455)",Haslacher Straße,,,
22939119,,residential,30,False,True,136.847,"LINESTRING (8.5146245 49.2517325, 8.5145921 49.2516845, 8.5143942 49.2513212, 8.5140877 49.2505542)",Schönbornstraße,,,
"[498093776, 171075298, 22939134]",,residential,30,False,False,299.459,"LINESTRING (8.5146245 49.2517325, 8.5145089 49.2517647, 8.5142888 49.2518222, 8.5140332 49.2518772, 8.5137927 49.2519073, 8.5123949 49.2520591, 8.5121976 49.2520768, 8.5121315 49.2520791, 8.5120873 49.2520761, 8.5115266 49.2511523)","['Marienstraße', 'Kirrlacher Straße']",,,
"[564053204, 498093775]",,residential,30,False,True,60.607,"LINESTRING (8.5146245 49.2517325, 8.5152116 49.251553, 8.5153827 49.2515042)",Kirrlacher Straße,,,
564053203,,residential,30,False,False,123.254,"LINESTRING (8.5128751 49.2486933, 8.513822 49.2477732)",Wiesentaler Straße,,,
22939119,,residential,30,False,False,225.899,"LINESTRING (8.5128751 49.2486933, 8.512985 49.248794, 8.5133784 49.2492532, 8.5136678 49.2497202, 8.5138652 49.2500876, 8.5140877 49.2505542)",Schönbornstraße,,,
22939133,,residential,30,False,True,88.834,"LINESTRING (8.5128751 49.2486933, 8.5126947 49.2487532, 8.511737 49.2489851)",Wiesentaler Straße,,,
22939118,,residential,30,False,False,73.969,"LINESTRING (8.5165858 49.2499455, 8.5164985 49.2499685, 8.5164062 49.2499928, 8.5156421 49.2501966)",Bonhoefferstraße,,,
22939124,,residential,30,False,False,74.046,"LINESTRING (8.5165858 49.2499455, 8.5166843 49.2499193, 8.5167199 49.2499099, 8.5174317 49.2497039, 8.5174937 49.2496554)",Kniebisstraße,,,
134120520,2,unclassified,50,False,False,123.10900000000001,"LINESTRING (8.5165858 49.2499455, 8.51668 49.2500991, 8.516887 49.2504309, 8.5171379 49.2508426, 8.5172139 49.2509739)",Haslacher Straße,,,
"[56757345, 365887518]",2,unclassified,50,False,True,175.201,"LINESTRING (8.5165858 49.2499455, 8.5165321 49.2498455, 8.5165008 49.2497968, 8.5159829 49.248973, 8.5157913 49.2486553, 8.5156876 49.2484832)",Haslacher Straße,,,
"[22939133, 22939134]",,residential,30,False,False,322.225,"LINESTRING (8.5115266 49.2511523, 8.5104368 49.2492859, 8.511737 49.2489851)","['Marienstraße', 'Wiesentaler Straße']",,,
"[498093776, 171075298, 22939134]",,residential,30,False,True,299.459,"LINESTRING (8.5115266 49.2511523, 8.5120873 49.2520761, 8.5121315 49.2520791, 8.5121976 49.2520768, 8.5123949 49.2520591, 8.5137927 49.2519073, 8.5140332 49.2518772, 8.5142888 49.2518222, 8.5145089 49.2517647, 8.5146245 49.2517325)","['Marienstraße', 'Kirrlacher Straße']",,,
564053207,,residential,30,False,True,101.07300000000001,"LINESTRING (8.5115266 49.2511523, 8.5122386 49.2509743, 8.5128331 49.250838)",Bonhoefferstraße,,,
22939118,,residential,30,False,True,102.11099999999999,"LINESTRING (8.5140877 49.2505542, 8.5144658 49.2504727, 8.5148363 49.2504078, 8.515092 49.2503429, 8.5154165 49.2502561)",Bonhoefferstraße,,,
22939119,,residential,30,False,False,136.84699999999998,"LINESTRING (8.5140877 49.2505542, 8.5143942 49.2513212, 8.5145921 49.2516845, 8.5146245 49.2517325)",Schönbornstraße,,,
22939119,,residential,30,False,True,225.899,"LINESTRING (8.5140877 49.2505542, 8.5138652 49.2500876, 8.5136678 49.2497202, 8.5133784 49.2492532, 8.512985 49.248794, 8.5128751 49.2486933)",Schönbornstraße,,,
"[564053208, 564053207]",,residential,30,False,False,96.37800000000001,"LINESTRING (8.5140877 49.2505542, 8.5130702 49.2507819, 8.5130173 49.2507951, 8.5128331 49.250838)",Bonhoefferstraße,,,
22939120,,residential,30,False,False,220.861,"LINESTRING (8.511737 49.2489851, 8.5128331 49.250838)",Styrumstraße,,,
22939133,,residential,30,False,False,88.834,"LINESTRING (8.511737 49.2489851, 8.5126947 49.2487532, 8.5128751 49.2486933)",Wiesentaler Straße,,,
"[22939133, 22939134]",,residential,30,False,True,322.225,"LINESTRING (8.511737 49.2489851, 8.5104368 49.2492859, 8.5115266 49.2511523)","['Marienstraße', 'Wiesentaler Straße']",,,
22939120,,residential,30,False,True,220.861,"LINESTRING (8.5128331 49.250838, 8.511737 49.2489851)",Styrumstraße,,,
564053207,,residential,30,False,False,101.07300000000001,"LINESTRING (8.5128331 49.250838, 8.5122386 49.2509743, 8.5115266 49.2511523)",Bonhoefferstraße,,,
"[564053208, 564053207]",,residential,30,False,True,96.378,"LINESTRING (8.5128331 49.250838, 8.5130173 49.2507951, 8.5130702 49.2507819, 8.5140877 49.2505542)",Bonhoefferstraße,,,
22939118,,residential,30,False,True,17.661,"LINESTRING (8.5154165 49.2502561, 8.5156421 49.2501966)",Bonhoefferstraße,,,
22939118,,residential,30,False,False,102.111,"LINESTRING (8.5154165 49.2502561, 8.515092 49.2503429, 8.5148363 49.2504078, 8.5144658 49.2504727, 8.5140877 49.2505542)",Bonhoefferstraße,,,
22939121,,residential,30,False,True,300.05699999999996,"LINESTRING (8.5154165 49.2502561, 8.5139373 49.2478613, 8.5138874 49.2478152, 8.513822 49.2477732)",Prinz-Eugen-Straße,,,
22939118,,residential,30,False,False,17.661,"LINESTRING (8.5156421 49.2501966, 8.5154165 49.2502561)",Bonhoefferstraße,,,
22939118,,residential,30,False,True,73.969,"LINESTRING (8.5156421 49.2501966, 8.5164062 49.2499928, 8.5164985 49.2499685, 8.5165858 49.2499455)",Bonhoefferstraße,,,
"[397788904, 22939122, 258133455]",,residential,30,True,False,125.12700000000001,"LINESTRING (8.5156421 49.2501966, 8.5156878 49.2502784, 8.5157049 49.2503062, 8.5157854 49.2504328, 8.5158217 49.2504899, 8.5160559 49.250849, 8.5162711 49.2511914, 8.5163059 49.2512348)",Markgrafenstraße,,,5.5
"[56045498, 498093775]",,residential,30,False,False,73.402,"LINESTRING (8.5163059 49.2512348, 8.515791 49.2513884, 8.5153827 49.2515042)",Kirrlacher Straße,,,
